"rownum","Item","rid","rid","i32","rid","[rid]","bool","bool","rid","i32","rid","Script","rid"
0,9270,2284,"",225,"",[],"","","",1276,"","",""
1,9271,1870,"",351,"",[],"","","",1276,"","",""
2,9272,1869,"",352,"",[],"","","",1276,"","",""
3,9279,2301,"",979,"",[],"",1,886,1276,"","",""
4,9280,2302,"",980,"",[],"",1,886,1276,"","",""
5,9281,2303,"",981,"",[],"",1,886,1276,"","",""
6,9282,2304,"",982,"",[],"",1,886,1276,"","",""
7,5643,2583,"",1156,"",[],"","",901,1276,"","",""
8,5644,2584,"",1157,"",[],"","",902,1276,"","",""
9,5645,2594,"",1160,"",[],"","",903,1276,"","",""
10,9815,953,"",207,"",[],"",1,888,1276,"","",""
11,9817,954,"",212,"",[],"",1,6134,1276,"","",""
12,9819,955,"",323,"",[],"",1,889,1276,"","",""
13,9821,956,"",328,"",[],"",1,6135,1276,"","",""
14,5547,2007,"",662,"",[],"","",884,662,898,"skill_book",""
15,5548,2008,"",663,"",[],"","",884,663,898,"skill_book",""
16,5549,2009,"",664,"",[],"","",884,664,898,"skill_book",""
17,5550,2010,"",665,"",[],"","",884,665,898,"skill_book",""
18,5551,2012,"",675,"",[],"","",884,675,898,"skill_book",""
19,5552,2013,"",676,"",[],"","",884,676,898,"skill_book",""
20,5646,1518,1516,1276,1516,[],"","",904,1276,"","sentinel_controller",""
