"rownum","Hideout_NPCsKey","Regular_NPCsKeys","HideoutDoodadsKey","NPCMasterKey","rid","rid","i32","rid","i32","bool","rid"
0,169,[171],1280,1,"","",112,108,47,"",""
1,326,"[341,325]",1281,2,"","",606,110,47,"",""
2,339,"[24,226,338]",1277,3,"",242,1276,11,47,1,""
3,334,"[329,332]",1282,4,"","",68,111,47,"",76
4,337,[335],1283,5,"","",592,118,47,"",87
5,393,"[391,392]",1284,13,"","",372,122,47,"",""
6,397,[394],1285,14,"","",660,123,47,"",""
7,408,[406],1286,15,"","",353,106,47,"",15
8,507,[507],1287,21,"","",1092,"",47,1,""
9,516,[508],1288,22,"","",1093,"",47,1,""
10,517,[509],1289,23,"","",1094,"",47,1,""
11,518,[510],1290,24,"","",1095,"",47,1,""
12,526,"[524,525]",1291,26,"","",1155,"",41,1,""
13,528,"[189,295,310,311]",1292,0,"","",1163,73,47,1,""
