"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas"
0,1138,7204,"",381,1953,"[113,33,1,96,94]",4,7,11,15,16,330.811,379.08,141,7.615,-6.371,"","",""
1,1139,8295,"",381,1954,[0],4,7,11,15,16,359.806,366.509,52,-14.497,6.285,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaelstromOfChaos.dds","",""
2,1150,7193,"",390,1965,"[52,3,66,103]",3,6,10,14,16,761.834,481.347,216,1.144,-29.671,"","",""
3,1151,8471,"",390,1966,[2],3,6,10,14,16,814.05,463.017,77,-26.108,9.165,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/OlmecsSanctum.dds","",""
4,1140,7201,"",382,1955,"[5,100,40]",12,15,16,16,16,775.822,155.17,115,-18.063,2.368,"","",""
5,1141,11177,"",382,1956,[4],12,15,16,16,16,802.291,168.784,50,-13.234,-6.807,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/HallowedGround.dds","",""
6,1194,7209,"",426,2008,"[63,56,79,7,77]",12,15,16,16,16,221.048,158.203,190,10.003,0.027,"","",""
7,1195,8314,"",426,2009,[6],12,15,16,16,16,176.947,162.79,67,22.252,-4.309,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheCowardsTrial.dds","",""
8,1148,7173,"",389,1963,"[95,9,49]",15,16,16,16,16,768.255,96.76,104,-10.307,-6.522,"","",""
9,1149,11417,"",389,1964,[8],15,16,16,16,16,798.119,95.337,51,-14.932,0.712,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/PillarsOfArun.dds","",""
10,1172,7287,"",406,1986,"[113,80,11,94]",2,5,9,13,16,375.885,442.036,185,-3.226,-10.737,"","",""
11,1173,11415,"",406,1987,[10],2,5,9,13,16,355.078,415.604,54,10.404,13.216,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/TheTwilightTemple.dds","",""
12,1183,7210,"",415,1997,"[39,72,18,13]",3,6,10,14,16,631.769,404.768,109,4.362,11.155,"","",""
13,1184,11176,"",415,1998,[12],3,6,10,14,16,656.698,425.594,53,-12.464,-10.413,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ThePutridCloister.dds","",""
14,1218,7235,"",446,2031,"[15,58,32]",7,10,14,16,16,798.298,285.225,112,-1.866,-1.929,"","",""
15,1219,8625,"",446,2032,[14],7,10,14,16,16,824.61,267.751,52,-13.156,8.737,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/DeathAndTaxes.dds","",""
16,1211,7213,"",441,2024,"[83,71,68,75,17]",6,9,13,16,16,503.007,300.217,249,-11.451,-13.748,"","",""
17,1212,8357,"",441,2025,[16],6,9,13,16,16,515.197,275.206,48,-6.095,12.505,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/ActonsNightmare.dds","",""
18,1167,7206,"",403,1982,"[48,109,97,19,12,34]",4,7,11,15,16,644.077,373.445,209,1.693,9.749,"","",""
19,1168,8407,"",403,1983,[18],4,7,11,15,16,691.811,388.672,72,-23.867,-7.613,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/MaoKun.dds","",""
20,1110,7187,"",350,1925,"[39,21,90]",1,4,8,12,16,555.605,423.461,109,9.678,-13.556,"",1,""
