"rownum","TaggedStat","rid","[rid]","rid","rid"
0,16156,24,[],"",""
1,16157,9023,[],"",""
2,16263,"",[439],"",""
3,16270,"",[442],"",""
4,16282,"",[],1,""
5,16283,"",[],2,""
6,16284,"",[],4,""
7,16285,"",[],12,""
8,16286,"",[],9,""
9,16287,"",[],10,""
10,16288,"",[],24,""
11,16345,11,[],"",""
12,16346,10,[],"",""
13,16347,16280,[],"",""
14,16348,1749,[],"",""
15,16349,7641,[],"",""
16,16269,"",[],"",1
17,16275,"",[],"",8
18,16276,"",[],"",2
19,16312,"",[],"",3
20,16313,"",[],"",4
21,16314,"",[],"",5
22,16315,"",[],"",6
23,16316,"",[],"",7
24,16317,"",[],"",9
25,16318,"",[],"",10
26,16319,"",[],"",12
27,16320,"",[],"",13
28,16321,"",[],"",14
29,16322,"",[],"",15
30,16323,"",[],"",16
31,16324,"",[],"",17
32,16325,"",[],"",18
33,16326,"",[],"",19
34,16327,"",[],"",20
35,16328,"",[],"",21
36,16329,"",[],"",22
37,16330,"",[],"",23
38,16331,"",[],"",24
39,16433,2398,[],"",""
