"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","bool","bool","[rid]","[rid]","i32","bool","bool","i32"
0,6570,1944,1946,1,1,60,1,20,120,"",1,[],[],0,1,"",0
1,6569,2181,2181,1,1,60,1,20,120,1,1,[],[],0,1,"",0
2,6884,2610,2610,1,1,60,1,20,120,"","",[],[],0,1,"",0
3,6885,2610,2610,1,1,60,1,20,120,"",1,[],[],0,1,"",0
4,6886,2610,2610,1,1,60,1,20,120,"",1,[],[],0,1,"",0
5,4973,1076,1076,1,1,60,1,20,120,"","",[],[],0,1,"",0
6,7648,3454,3454,1,1,60,0,20,120,"","",[],[],0,1,"",0
7,7856,3723,3723,1,1,60,1,20,120,"",1,[],[],0,1,"",0
8,7857,3723,3723,1,1,60,1,20,120,"",1,[],[],0,1,"",0
9,7860,3723,3723,1,1,105,1,40,120,1,1,[],[],0,1,"",0
10,7861,3723,3723,1,1,80,1,20,120,1,1,[],[],0,1,"",0
11,8223,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
12,8224,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
13,8225,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
14,8227,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
15,8228,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
16,8229,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
17,8230,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
18,8231,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
19,8232,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
20,8234,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
21,8236,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
22,8237,4381,4381,1,"",30,1,15,120,"",1,[],[],30,"","",0
23,8708,4381,4381,1,1,0,1,5,60,"","",[],[],0,"","",0
24,8993,4381,4381,1,"",105,1,20,75,"",1,[],[],0,"",1,0
25,8994,4381,4381,1,"",105,1,24,75,"",1,[],[],0,"",1,0
26,8995,4381,4381,1,"",105,1,15,75,"",1,[],[],0,"",1,0
27,7649,3454,3454,1,1,60,0,20,120,1,1,[],[],0,1,"",0
28,8226,4381,4381,1,1,60,1,20,120,"",1,[],[],0,"","",0
