"rownum","Id","RecipeItems","WorldArea","MicrotransactionPortalVariation","AreaLevel","rid","i32","bool","bool","bool","OpenAchievemnts","bool"
0,"Disabled","[6962,6963,6964,6965]",0,"",0,"",1,"","","",[],""
1,"Atziri1","[6890,6891,6892,6893]",753,24,0,"",0,"","","",[],""
2,"Atziri2","[6895,6896,6897,6898]",754,24,0,"",0,"","","",[],""
3,"VaalFragment1_1",[6890],1500,"",72,"",0,"","","",[],1
4,"VaalFragment1_2",[6891],1500,"",70,"",0,"","","",[],1
5,"VaalFragment1_3",[6892],1500,"",71,"",0,"","","",[],1
6,"VaalFragment1_4",[6893],1500,"",69,"",0,"","","",[],1
7,"VaalFragment2_1",[6895],1500,"",74,"",0,"","","",[],1
8,"VaalFragment2_2",[6896],1500,"",76,"",0,"","","",[],1
9,"VaalFragment2_3",[6897],1500,"",75,"",0,"","","",[],1
10,"VaalFragment2_4",[6898],1500,"",73,"",0,"","","",[],1
11,"Disabled2","[6900,6901,6902,6903]",0,"",0,"",0,"","","",[],""
12,"ShapersRealm","[6905,6906,6907,6908]",1246,20,0,"",0,"",1,"",[],""
13,"EldersRealm","[6910,6911,6912,6913]",1279,108,0,"",0,"",1,"",[],""
14,"UberEldersRealm","[6915,6916,6917,6918]",1280,20,0,"",0,"",1,"",[],""
15,"BreachDomainFire",[6926],1060,"",0,"",0,"","","",[],""
16,"BreachDomainCold",[6927],1061,"",0,"",0,"","","",[],""
17,"BreachDomainLightning",[6928],1062,"",0,"",0,"","","",[],""
18,"BreachDomainPhysical",[6929],1058,"",0,"",0,"","","",[],""
19,"BreachDomainChaos",[6930],1059,"",0,"",0,"","","",[],""
20,"ClassicVault",[6966],276,27,0,"",0,"","","",[],""
21,"MaligaroMap",[5603],107,"",0,1282,0,"","","",[],""
22,"340Vault",[6967],277,27,0,"",0,"","","",[],""
23,"UberVenariusVault",[6969],279,27,0,"",0,"","","",[],""
24,"UberEaterOfWorldsVault",[6970],280,27,0,"",0,"","","",[],""
25,"UberMavenVault",[6971],281,27,0,"",0,"","","",[],""
26,"UberSearingExarchVault",[6972],282,27,0,"",0,"","","",[],""
27,"UberSirusVault",[6973],283,27,0,"",0,"","","",[],""
28,"UberShaperVault",[6974],284,27,0,"",0,"","","",[],""
29,"UberUberElderVault",[6975],285,27,0,"",0,"","","",[],""
30,"BreachDomainFire2",[6931],1065,"",0,"",0,"","","",[],""
31,"BreachDomainCold2",[6932],1066,"",0,"",0,"","","",[],""
32,"BreachDomainLightning2",[6933],1067,"",0,"",0,"","","",[],""
33,"BreachDomainPhysical2",[6934],1063,"",0,"",0,"","","",[],""
34,"BreachDomainChaos2",[6935],1064,"",0,"",0,"","","",[],""
35,"BreachDomainFire3",[6936],1070,"",0,"",0,"","","",[],""
36,"BreachDomainCold3",[6937],1071,"",0,"",0,"","","",[],""
37,"BreachDomainLightning3",[6938],1072,"",0,"",0,"","","",[],""
38,"BreachDomainPhysical3",[6939],1068,"",0,"",0,"","","",[],""
39,"BreachDomainChaos3",[6940],1069,"",0,"",0,"","","",[],""
40,"BreachDomainFire4",[6941],1075,"",0,"",0,"","","",[],""
41,"BreachDomainCold4",[6942],1076,"",0,"",0,"","","",[],""
42,"BreachDomainLightning4",[6943],1077,"",0,"",0,"","","",[],""
43,"BreachDomainPhysical4",[6944],1073,"",0,"",0,"","","",[],""
44,"BreachDomainChaos4",[6945],1074,"",0,"",0,"","","",[],""
45,"BreachDomainFire5",[6946],1080,"",0,"",0,"","","",[],""
