"rownum","Id","ChestsKeys","[i32]","i32","i32","i32"
0,"Barrels","[0,1,2,3,4]","[2,2,10,4,2]",4,6,10
1,"BarrelsOld","[8,9,10,11,12]","[2,2,10,4,2]",4,6,10
2,"BarrelsSmall","[0,1,2,3,4]","[2,2,10,4,2]",3,4,10
3,"BarrelsSmallOld","[8,9,10,11,12]","[2,2,10,4,2]",3,4,10
4,"Pots","[78,79,80,81,82,83]",[],4,6,8
5,"Urns","[84,85,86,87,88]",[],4,6,8
6,"GoldPots","[135,136,137,138,139,140]",[],4,6,8
7,"DarkPots","[162,163,164,165,166,167]",[],4,6,8
8,"GoldPotsBroken","[141,142,143,144,145,146]",[],4,6,8
9,"BarrelsCrates","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",3,6,10
10,"BarrelsCratesOld","[8,9,10,11,12,40,41]","[2,2,10,4,2,5,5]",3,6,10
11,"BarrelsCratesSmall","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",3,4,10
12,"BarrelsCratesSmallOld","[8,9,10,11,12,40,41]","[2,2,10,4,2,5,5]",3,4,10
13,"Baskets","[13,14,15]",[],3,4,5
14,"BasketsOld","[16,17,18]",[],3,4,5
15,"CairnsSmall","[26,27,28]",[],3,4,8
16,"BramblefallCairns","[2249,2250,2251]",[],3,4,8
17,"ExplosiveBarrels","[0,1,8,9]","[2,2,4,4]",6,12,16
18,"WealthyBarrels","[487,488,489]","[4,1,2]",5,9,16
19,"VolatileBarrels",[490],[],4,8,16
20,"BloodwormBarrels",[492],[],5,10,16
21,"ParasiteBarrels",[493],[],5,10,16
22,"BeaconBarrels","[494,495,496,497]","[2,2,2,2]",4,8,16
23,"SilverPots","[168,169,170,171,172,173]",[],4,6,8
24,"InfestationEggsGreen","[60,61,62]","[2,1,2]",4,6,10
25,"InfestationEggsGreenSmall","[60,61,62]","[2,1,2]",3,4,10
26,"InfestationEggsPurple","[54,55,56]","[2,1,2]",4,6,10
27,"InfestationEggsPurpleSmall","[54,55,56]","[2,1,2]",3,4,10
28,"FungalBloomCluster","[66,64,65]","[2,1,2]",3,4,10
29,"AbyssBonesCluster",[521],[],2,4,8
30,"VaseCeramicCluster","[530,531,532]",[],4,6,8
31,"VaseNewCluster","[533,534,535,542,543,544]",[],4,6,8
32,"VaseOldCluster","[539,540,541]",[],4,6,8
33,"VaseMetalCluster","[536,537,538]",[],4,6,8
34,"VaseOrnateCluster","[542,543,544]",[],4,6,8
35,"WormJarCluster","[67,68,69,70]",[],4,6,10
36,"RatCrateCluster","[71,72,73]",[],4,6,10
37,"SynthesisPoisonCluster","[1547,1548,1549]","[1,2,2]",4,7,10
38,"SynthesisSkeletonCluster",[1550],[],3,5,10
39,"SynthesisExplosiveCluster",[1551],[],4,8,12
40,"SynthesisBloodwormCluster",[1552],[],3,5,10
41,"SynthesisParasiteCluster",[1553],[],3,5,10
42,"SynthesisCursedCluster",[1556],[],1,3,8
43,"MarakethUrns","[32,33,34]",[],2,4,12
44,"IncursionLargeCausticPlants","[60,61,62,63]","[4,2,4,1]",4,6,16
45,"IncursionParasiticCausticPlants","[60,61,62,63]","[2,1,2,2]",5,7,16
46,"HeistClusterChestBunker","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",1,2,12
47,"HeistClusterChestMines","[8,9,10,11,12]","[2,2,10,4,2]",3,6,10
48,"HeistClusterChestReliquary","[162,163,164,165,166,167]",[],4,6,8
49,"HeistClusterChestDungeon","[74,75,76,77]",[],3,5,10
50,"HeistClusterChestMansion","[135,136,137,138,139,140]",[],1,2,12
51,"HeistClusterChestSewers","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",3,6,10
52,"HeistClusterChestRobotTunnels","[536,537,538,168,169,170]","[3,5,3,2,2,2]",2,4,10
53,"HeistClusterChestLibrary","[233,530,531,532,533,534,535]","[1,3,3,3,2,2,2]",1,3,10
54,"VolatileBarrelsRoyale",[491],[],4,8,16
