"rownum","BaseItemTypesKey","MaxCharges","PerCharge","MaxCharges2","PerCharge2"
0,"Metadata/Items/Flasks/FourFlaskLife1",60,10,60,10
1,"Metadata/Items/Flasks/FourFlaskLife2",65,10,65,10
2,"Metadata/Items/Flasks/FourFlaskLife3",70,10,70,10
3,"Metadata/Items/Flasks/FourFlaskLife4",75,10,75,10
4,"Metadata/Items/Flasks/FourFlaskLife5",75,10,75,10
5,"Metadata/Items/Flasks/FourFlaskLife6",75,10,75,10
6,"Metadata/Items/Flasks/FourFlaskLife7",75,10,75,10
7,"Metadata/Items/Flasks/FourFlaskLife8",75,10,75,10
8,"Metadata/Items/Flasks/FourFlaskLife9",75,10,75,10
9,"Metadata/Items/Flasks/FourFlaskMana1",60,10,60,10
10,"Metadata/Items/Flasks/FourFlaskMana2",65,10,65,10
11,"Metadata/Items/Flasks/FourFlaskMana3",70,10,70,10
12,"Metadata/Items/Flasks/FourFlaskMana4",75,10,75,10
13,"Metadata/Items/Flasks/FourFlaskMana5",75,10,75,10
14,"Metadata/Items/Flasks/FourFlaskMana6",75,10,75,10
15,"Metadata/Items/Flasks/FourFlaskMana7",75,10,75,10
16,"Metadata/Items/Flasks/FourFlaskMana8",75,10,75,10
17,"Metadata/Items/Flasks/FourFlaskMana9",75,10,75,10
18,"Metadata/Items/Flasks/FourCharm1",40,40,40,40
19,"Metadata/Items/Flasks/FourCharm2",40,30,40,30
20,"Metadata/Items/Flasks/FourCharm3",40,20,40,20
21,"Metadata/Items/Flasks/FourCharm4",40,30,40,30
22,"Metadata/Items/Flasks/FourCharm5",40,30,40,30
23,"Metadata/Items/Flasks/FourCharm6",40,20,40,20
24,"Metadata/Items/Flasks/FourCharm7",40,20,40,20
25,"Metadata/Items/Flasks/FourCharm8",40,20,40,20
26,"Metadata/Items/Flasks/FourCharm9",40,20,40,20
27,"Metadata/Items/Flasks/FourCharm10",40,20,40,20
28,"Metadata/Items/Flasks/FourCharm11",40,30,40,30
29,"Metadata/Items/Flasks/FourCharm12",80,80,80,80
