"rownum","PlayerLevel","MonsterLevel","i32","i32","i32","i32","i32","i32"
0,1,1,15,9,11,51,100,100
1,2,2,20,10,14,56,100,100
2,3,3,24,11,17,60,101,101
3,4,4,28,13,20,65,101,101
4,5,5,33,14,24,70,102,102
5,6,6,38,15,27,75,102,102
6,7,7,45,16,31,80,103,103
7,8,8,50,18,35,86,103,103
8,9,9,58,19,38,91,104,104
9,10,10,67,20,42,97,104,104
10,11,11,78,22,46,103,105,105
11,12,12,89,23,50,110,105,105
12,13,13,103,25,54,116,106,106
13,14,14,118,27,59,123,106,106
14,15,15,134,28,63,130,107,107
15,16,16,158,30,67,137,107,107
16,17,17,178,32,72,145,108,108
17,18,18,200,34,76,152,108,108
18,19,19,224,35,81,160,109,109
19,20,20,249,37,86,169,109,109
20,21,21,276,39,91,177,110,110
21,22,22,305,41,96,186,110,110
22,23,23,335,43,101,195,111,111
23,24,24,366,46,106,204,111,111
24,25,25,400,48,111,214,112,112
25,26,26,434,50,117,224,112,112
26,27,27,472,52,122,234,113,113
27,28,28,510,55,128,245,113,113
28,29,29,551,57,134,256,114,114
29,30,30,593,60,140,267,114,114
30,31,31,637,63,146,279,115,115
31,32,32,683,65,152,291,115,115
32,33,33,731,68,158,304,116,116
33,34,34,790,71,165,317,116,116
34,35,35,853,74,171,330,117,117
35,36,36,921,77,178,344,117,117
36,37,37,995,80,185,358,118,118
37,38,38,1074,83,191,372,118,118
38,39,39,1160,87,199,387,119,119
39,40,40,1253,90,206,403,119,119
40,41,41,1353,94,213,419,120,120
41,42,42,1462,97,221,435,120,120
42,43,43,1578,101,228,452,121,121
43,44,44,1705,105,236,470,121,121
44,45,45,1841,108,244,488,122,122
45,46,46,1967,112,252,506,122,122
46,47,47,2101,117,261,526,123,123
47,48,48,2244,121,269,545,123,123
48,49,49,2395,125,278,566,124,124
49,50,50,2556,130,286,587,124,124
50,51,51,2726,134,295,608,125,125
51,52,52,2909,139,304,630,125,125
52,53,53,3102,144,314,653,126,126
53,54,54,3307,149,323,677,126,126
54,55,55,3525,154,333,701,127,127
55,56,56,3756,159,343,726,127,127
56,57,57,4002,164,353,752,128,128
57,58,58,4264,170,363,778,128,128
58,59,59,4540,175,373,806,129,129
59,60,60,4834,181,384,834,129,129
60,61,61,5147,187,395,863,130,130
61,62,62,5478,193,406,892,130,130
62,63,63,5829,199,417,923,131,131
63,64,64,6203,206,429,955,131,131
64,65,65,6513,212,440,987,132,132
65,66,66,6904,219,452,1020,132,132
66,67,67,7318,226,464,1055,133,133
67,68,68,7757,233,477,1090,133,133
68,69,69,8222,240,489,1126,134,134
69,70,70,8716,248,502,1164,134,134
70,71,70,8716,248,502,1164,135,135
71,72,71,9239,256,515,1202,135,135
72,73,71,9239,256,515,1202,136,136
73,74,72,9793,263,528,1242,136,136
74,75,72,9793,263,528,1242,137,137
75,76,73,10381,271,542,1283,137,137
76,77,73,10381,271,542,1283,138,138
77,78,74,11003,280,556,1324,138,138
78,79,74,11003,280,556,1324,139,139
79,80,75,11664,288,570,1368,139,139
80,81,75,11664,288,570,1368,140,140
81,82,76,12363,297,584,1412,140,140
82,83,76,12363,297,584,1412,141,141
83,84,77,13105,306,598,1457,141,141
84,85,77,13105,306,598,1457,142,142
85,86,78,13892,315,613,1504,142,142
86,87,78,13892,315,613,1504,143,143
87,88,79,14725,324,628,1552,143,143
88,89,79,14725,324,628,1552,144,144
89,90,80,15609,334,644,1602,144,144
90,91,80,15609,334,644,1602,145,145
91,92,81,16545,344,659,1653,145,145
92,93,81,16545,344,659,1653,146,146
93,94,82,17538,354,675,1705,146,146
94,95,82,17538,354,675,1705,147,147
95,96,83,18590,364,691,1759,147,147
96,97,83,18590,364,691,1759,147,147
97,98,83,18590,364,691,1759,147,147
98,99,83,18590,364,691,1759,147,147
99,100,83,18590,364,691,1759,147,147
