"rownum","Id","QuestKey","QuestFlag","i32","RewardWindowTake","bool","bool","RewardWindowTitle","bool","bool","bool","bool","rid","rid","i32","i32"
0,"TheMiller",0,2936,4205,"","","","","","","","","","",0,0
1,"MudBurrower",1,2929,4205,"","","","","","","","","","",100,500
2,"MudBurrower2",1,141,4205,"","","","","","","","","","",0,0
3,"TreeOfSouls",2,"",4205,"","",1,"","","","","","","",0,0
4,"UnaLute",6,"",4205,"","",1,"","","","","","","",0,0
5,"GraveyardFight",7,3129,4205,"","","","","","","","","","",0,0
6,"TheOutcast",8,4791,4205,"","","","","","","","","","",0,0
7,"TheExecutioner",9,2994,4205,"","","","","","","","","","",0,0
8,"TheIronCount",10,3132,4205,"","","","","","","","","","",0,0
9,"FindTheSuicideNote",23,"",4205,"","",1,"","","","","","","",0,0
10,"AscentToPower",25,4885,4205,"","","","","","","","","","",0,0
11,"AscentToPower2",25,"",4205,"","",1,"","","","","","","",0,0
12,"CaravanRescue",16,3704,4205,"","","","","","","","","","",200,1000
13,"OpenTheDesertGates",17,4778,4205,"","","","","","","","","","",0,0
14,"PryTheFlameRuby",20,4568,4205,"","","","","","","","","","",400,2000
15,"BurnTheWaterGoddess",18,4571,4205,"","","","","","","","","","",400,2000
16,"StealTheMastodonTusks",19,4573,4205,"","","","","","","","","","",400,2000
17,"HornOfTheVastiri",17,"",4205,"","",1,"","","","","","","",0,0
18,"JungleDepthsLandmark",28,4869,4205,"","","","","","","","","","",0,0
19,"CleanseTheSnakePit",29,"",4205,"","",1,"","","","","","","",0,0
20,"CleanseTheSnakePit2",29,137,4205,"","","","","","","","","","",0,0
21,"RaidTheTreasureVault",30,4864,4205,"","","","","","","","","","",1000,5000
22,"RaidTheTreasureVault2",30,139,4205,"","","","","","","","","","",0,0
23,"KillTheBogWitch",31,3778,4205,"","","","","","","","","","",0,0
24,"SearchForTheVaalRepository",26,4849,4205,"","","","","","","","","","",0,0
25,"FindTheSpearPiecesTreasureDeed",32,"",4205,"","",1,"","","","","","","",0,0
26,"FindTheSpearPiecesBoatCharter",32,"",4205,"","",1,"","","","","","","",0,0
27,"EndgameQuestlineTier1",43,"",4205,"","",1,"","","","","","","",0,0
28,"EndgameQuestlineTier2",43,"",4205,"","",1,"","","","","","","",0,0
29,"EndgameQuestlineTier3",43,"",4205,"","",1,"","","","","","","",0,0
30,"EndgameQuestlineTier4",43,"",4205,"","",1,"","","","","","","",0,0
31,"EndgameQuestlineTier5",43,"",4205,"","",1,"","","","","","","",0,0
32,"EndgameQuestlineTier6",43,"",4205,"","",1,"","","","","","","",0,0
33,"EndgameQuestlineTier7",43,"",4205,"","",1,"","","","","","","",0,0
34,"EndgameQuestlineTier8",43,"",4205,"","",1,"","","","","","","",0,0
35,"EndgameQuestlineTier9",43,"",4205,"","",1,"","","","","","","",0,0
36,"EndgameQuestlineTier10",43,"",4205,"","",1,"","","","","","","",0,0
37,"EndgameQuestlineTier11",43,"",4205,"","",1,"","","","","","","",0,0
38,"EndgameQuestlineTier12",43,"",4205,"","",1,"","","","","","","",0,0
39,"EndgameQuestlineTier13",43,"",4205,"","",1,"","","","","","","",0,0
40,"EndgameQuestlineTier14",43,"",4205,"","",1,"","","","","","","",0,0
41,"EndgameQuestlineTier15",43,"",4205,"","",1,"","","","","","","",0,0
42,"EndgameUniqueMaps1",59,"",4205,"","",1,"","","","","","","",0,0
43,"EndgameUniqueMaps2",59,"",4205,"","",1,"","","","","","","",0,0
44,"EndgameUniqueMaps3",59,"",4205,"","",1,"","","","","","","",0,0
45,"EndgameUniqueMaps4",59,"",4205,"","",1,"","","","","","","",0,0
46,"EndgameUniqueMaps5",59,"",4205,"","",1,"","","","","","","",0,0
47,"EndgameQuestInvestigateTower",44,"",4205,"","",1,"","","","","","","",0,0
48,"EndgameLeagueBreach1",49,"",4125,"","","","","","","","","","",0,0
49,"EndgameLeagueDelirium1",51,"",4129,"","","","","","","","","","",0,0
50,"EndgameLeagueRitual1",53,"",4136,"","","","","","","","","","",0,0
51,"EndgameLeagueExpedition1",55,"",4144,"","","","","","","","","","",0,0
52,"EndgamePrecursorTower",61,"",91,"","","","","","","","","","",0,0
53,"EndgameBreachAtlasSkillBooks1",62,"",4205,"","",1,"","","","","","","",0,0
54,"EndgameBreachAtlasSkillBooks2",62,"",4205,"","",1,"","","","","","","",0,0
55,"EndgameBreachAtlasSkillBooks3",62,"",4205,"","",1,"","","","","","","",0,0
56,"EndgameBreachAtlasSkillBooks4",62,"",4205,"","",1,"","","","","","","",0,0
57,"EndgameRitualAtlasSkillBooks1",63,"",4205,"","",1,"","","","","","","",0,0
58,"EndgameRitualAtlasSkillBooks2",63,"",4205,"","",1,"","","","","","","",0,0
59,"EndgameRitualAtlasSkillBooks3",63,"",4205,"","",1,"","","","","","","",0,0
60,"EndgameRitualAtlasSkillBooks4",63,"",4205,"","",1,"","","","","","","",0,0
61,"EndgameExpeditionAtlasSkillBooks1",64,"",4205,"","",1,"","","","","","","",0,0
62,"EndgameExpeditionAtlasSkillBooks2",64,"",4205,"","",1,"","","","","","","",0,0
63,"EndgameExpeditionAtlasSkillBooks3",64,"",4205,"","",1,"","","","","","","",0,0
64,"EndgameExpeditionAtlasSkillBooks4",64,"",4205,"","",1,"","","","","","","",0,0
65,"EndgameDeliriumAtlasSkillBooks1",65,"",4205,"","",1,"","","","","","","",0,0
66,"EndgameDeliriumAtlasSkillBooks2",65,"",4205,"","",1,"","","","","","","",0,0
67,"EndgameDeliriumAtlasSkillBooks3",65,"",4205,"","",1,"","","","","","","",0,0
68,"EndgameDeliriumAtlasSkillBooks4",65,"",4205,"","",1,"","","","","","","",0,0
69,"EndgameMapBossAtlasSkillBooks1",66,"",4205,"","",1,"","","","","","","",0,0
70,"EndgameMapBossAtlasSkillBooks2",66,"",4205,"","",1,"","","","","","","",0,0
71,"EndgameMapBossAtlasSkillBooks3",66,"",4205,"","",1,"","","","","","","",0,0
72,"EndgameMapBossAtlasSkillBooks4",66,"",4205,"","",1,"","","","","","","",0,0
73,"EndgameMapBossAtlasSkillBooks5",66,"",4205,"","",1,"","","","","","","",0,0
74,"EndgameArbiterBossAtlasSkillBooks1",67,"",4205,"","",1,"","","","","","","",0,0
75,"EndgameArbiterBossAtlasSkillBooks2",67,"",4205,"","",1,"","","","","","","",0,0
76,"EndgameArbiterBossAtlasSkillBooks3",67,"",4205,"","",1,"","","","","","","",0,0
77,"EndgameArbiterBossAtlasSkillBooks4",67,"",4205,"","",1,"","","","","","","",0,0
78,"BlankRuneQuest",69,131,4205,"","","","","","","","","","",0,0
