"rownum","string","rid"
0,"Metadata/Items/Currency/OmenOnLowLifeRecoverCharges",3236
1,"Metadata/Items/Currency/OmenOnLowLifeFullyHeal",3237
2,"Metadata/Items/Currency/OmenOnDeathPreventExpLoss",3238
3,"Metadata/Items/Currency/OmenOnChaosLowestLevelMod",3239
4,"Metadata/Items/Currency/OmenOnChaosPrefix",3240
5,"Metadata/Items/Currency/OmenOnChaosSuffix",3241
6,"Metadata/Items/Currency/OmenOnAlchemyMaximumPrefixes",3242
7,"Metadata/Items/Currency/OmenOnAlchemyMaximumSuffixes",3243
8,"Metadata/Items/Currency/OmenOnRegalPrefix",3244
9,"Metadata/Items/Currency/OmenOnRegalSuffix",3245
10,"Metadata/Items/Currency/OmenOnVaalRemoveDoNothingOutcome",3246
11,"Metadata/Items/Currency/OmenOnExaltAddTwoMods",3247
12,"Metadata/Items/Currency/OmenOnExaltAddPrefixes",3248
13,"Metadata/Items/Currency/OmenOnExaltAddSuffixes",3249
14,"Metadata/Items/Currency/OmenOnAnnulRemoveTwoMods",3250
15,"Metadata/Items/Currency/OmenOnAnnulRemovePrefixes",3251
16,"Metadata/Items/Currency/OmenOnAnnulRemoveSuffixes",3252
17,"Metadata/Items/Currency/OmenShrineAdditionalEffect",3253
18,"Metadata/Items/Currency/OmenStrongboxOpenableAgain",3254
19,"Metadata/Items/Currency/OmenTormentedMonsterReleased",3255
20,"Metadata/Items/Currency/OmenRogueExileSummonsPartyMember",3256
21,"Metadata/Items/MapFragments/CurrencyRitualBossFragment",686
