"rownum","ItemClass","bool","bool","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","i32"
0,36,"","",3715,"",6351,6352,"","","","","","","","","","","","","","","","",19914,2819,"","",12
1,7,"","",9075,547,6299,6300,6325,6326,6337,6338,6311,6312,13271,13272,96,37,2912,2929,"","",492,89,77,9306,"",738,9
2,8,"","",2315,2371,6297,6298,402,403,404,405,400,401,"","",2372,41,2905,2922,107,458,497,93,81,"",406,734,9
3,9,"","",9077,2340,6303,6304,6329,6330,6343,6344,6317,6318,"","",602,40,2904,2921,"","",490,92,80,9304,"",728,9
4,11,"","",9072,2734,6305,6306,6331,6332,6345,6346,6319,6320,"","",601,34,2915,2932,"","",493,86,74,9303,"",735,9
5,12,"","",9076,2369,6307,6308,6333,6334,6347,6348,6321,6322,"","",647,38,2910,2927,"","",496,90,78,9305,1094,731,9
6,13,1,"",14873,548,2170,2171,2172,2173,6341,6342,6315,6316,13273,13274,603,39,2914,2931,105,457,491,91,79,"",2809,737,5
7,14,1,"","","","","","","","","","","","","","","","","","","","","","","","",739,6
8,15,1,"",9077,2340,6303,6304,6329,6330,6343,6344,6317,6318,"","",602,40,2904,2921,"","",490,92,80,9304,"",730,3
9,16,1,"",9072,2734,6305,6306,6331,6332,6345,6346,6319,6320,"","",601,34,2915,2932,"","",493,86,74,9303,"",736,1
10,17,1,"",9076,2369,6307,6308,6333,6334,6347,6348,6321,6322,"","",647,38,2910,2927,"","",496,90,78,9305,1094,732,1
11,20,"","","","","","","","","","","","","","","","","","","","","","","","","","",11
12,26,"","","","","","","","","","","","","","","","","","","","","","","","","",741,2
13,32,"","","","","","","","","","","","","","","","","","","","","","","","","",733,9
14,6,"","",9074,549,6301,6302,6327,6328,6339,6340,6313,6314,13269,13270,2735,36,2913,2930,"","",494,88,76,9307,"",740,7
15,37,1,"","","","","","","","","","","","","","","","","","","","","","","","","",12
16,57,1,"",9073,2370,6309,6310,6335,6336,6349,6350,6323,6324,"","",2736,35,2909,2926,106,456,495,87,75,9302,9279,739,6
17,77,"",1,12694,12698,12701,12702,12703,12704,12705,12706,12707,12708,"","",12699,"","","","","",12696,12695,12697,12700,"",1038,3
18,78,1,"",16619,16624,16626,16627,16628,16629,16630,16631,16632,16633,"","",16625,16635,"","","","",16622,16621,16623,"",16620,1039,4
19,79,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
20,83,"","",16399,16404,16407,16408,16409,16410,16411,16412,16413,16414,"","",16405,"","","","","",16402,16401,16403,16406,16400,"",8
21,92,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
22,96,1,"","","","","","","","","","","","","","","","","","","","","","","","","",12
23,99,"","","","","","","","","","","","","","","","","","","","","","","","","","",12
24,93,"","",9072,2734,6305,6306,6331,6332,6345,6346,6319,6320,"","",601,34,2915,2932,"","",493,86,74,9303,"",735,9
25,94,1,"",9072,2734,6305,6306,6331,6332,6345,6346,6319,6320,"","",601,34,2915,2932,"","",493,86,74,9303,"",736,1
