"rownum","SpecializedStash","Name","ShowInStashes","bool"
0,13,"Blight","[0,1,7,10,13]",1
1,3,"Currency","[0,1,7,10,3]",""
2,15,"Delirium","[0,1,7,10,15]",""
3,12,"Delve","[0,1,7,10,12]",1
4,6,"Divination Card","[0,1,7,10,6]",1
5,8,"Essence","[0,1,7,10,8,11]",""
6,9,"Fragment","[0,1,7,10,9]",""
7,5,"Waystone","[0,1,7,10,5]",""
8,14,"Breach","[0,1,7,10,14]",""
9,4,"Unique","[0,1,7,10,4]",""
10,17,"Flask","[0,1,7,10,17]",""
11,18,"Gem","[0,1,7,10,18]",""
12,19,"Socketables","[0,1,7,10,19]",""
13,20,"Expedition","[0,1,7,10,20]",""
14,21,"Ritual","[0,1,7,10,21]",""
