"rownum","rid","rid","i32"
0,15634,15634,3
1,15635,15635,3
2,15631,15631,0
3,15632,15632,0
4,15633,15633,0
5,15636,15636,0
6,15637,210,0
7,15639,5881,0
8,15642,210,1
9,15643,210,2
10,15644,210,3
11,15645,11185,1
12,15563,11185,2
13,15646,166,1
14,15647,166,2
15,15648,15399,1
16,15649,15399,2
17,15661,15558,3
18,15659,15659,1
19,15660,15660,3
20,15621,15621,4
21,15622,15622,4
22,15623,15623,4
23,15652,15652,0
24,15653,15652,1
25,15654,15652,3
26,15656,15655,1
27,15657,15655,2
28,15658,15658,3
29,15650,15650,0
30,15651,15650,3
31,15638,15638,0
32,15640,15638,2
33,15641,15638,3
34,15564,15564,4
35,15662,15683,1
36,15663,15663,0
37,15664,15684,3
38,15672,15672,3
39,15673,15673,2
40,15674,15674,1
41,15675,15675,2
42,15676,15676,2
43,15704,15652,2
44,15711,15711,4
45,15710,15710,4
