"rownum","i32","i32","i32","string"
0,1,0,355,"Complete a Tier 16+ Map"
1,2,0,356,"Defeat an Elder Guardian"
2,3,0,357,"Defeat a Shaper Guardian"
3,4,0,1468,"Complete 100 Atlas Bonus Objectives"
4,5,0,1469,"Complete 115 Atlas Bonus Objectives"
5,0,1,350,"Complete the \""Call to Arms\"" quest"
6,1,1,350,"Complete the \""Call to Arms\"" quest"
7,2,1,350,"Complete the \""Call to Arms\"" quest"
8,3,1,350,"Complete the \""Call to Arms\"" quest"
9,4,1,350,"Complete the \""Call to Arms\"" quest"
10,5,1,1464,"Complete 20 Atlas Bonus Objectives"
11,0,2,350,"Complete the \""Call to Arms\"" quest"
12,2,2,350,"Complete the \""Call to Arms\"" quest"
13,3,2,350,"Complete the \""Call to Arms\"" quest"
14,5,2,350,"Complete the \""Call to Arms\"" quest"
15,0,3,350,"Complete the \""Call to Arms\"" quest"
16,5,3,350,"Complete the \""Call to Arms\"" quest"
17,0,4,350,"Complete the \""Call to Arms\"" quest"
18,2,4,350,"Complete the \""Call to Arms\"" quest"
19,3,4,350,"Complete the \""Call to Arms\"" quest"
20,5,4,350,"Complete the \""Call to Arms\"" quest"
21,0,5,1466,"Complete 60 Atlas Bonus Objectives"
22,1,5,350,"Complete the \""Call to Arms\"" quest"
23,2,5,350,"Complete the \""Call to Arms\"" quest"
24,3,5,350,"Complete the \""Call to Arms\"" quest"
25,4,5,350,"Complete the \""Call to Arms\"" quest"
26,5,5,350,"Complete the \""Call to Arms\"" quest"
27,0,6,362,"Defeat The Elder in The Shaper's Realm"
28,1,6,363,"Defeat The Maven"
29,2,6,364,"Defeat The Eater of Worlds"
30,3,6,365,"Defeat The Searing Exarch"
31,4,6,361,"Defeat The Shaper"
