"rownum","BaseItemTypesKey","ReqStr","ReqDex","ReqInt"
0,"Metadata/Items/Armours/Shields/ShieldStr1",11,0,0
1,"Metadata/Items/Armours/Shields/ShieldStr2",20,0,0
2,"Metadata/Items/Armours/Shields/ShieldStr3",33,0,0
3,"Metadata/Items/Armours/Shields/ShieldStr4",47,0,0
4,"Metadata/Items/Armours/Shields/ShieldStr5",62,0,0
5,"Metadata/Items/Armours/Shields/ShieldStr6",76,0,0
6,"Metadata/Items/Armours/Shields/ShieldStr7",87,0,0
7,"Metadata/Items/Armours/Shields/ShieldStr8",96,0,0
8,"Metadata/Items/Armours/Shields/ShieldStr9",105,0,0
9,"Metadata/Items/Armours/Shields/ShieldStr10",114,0,0
10,"Metadata/Items/Armours/Shields/ShieldStr11",123,0,0
11,"Metadata/Items/Armours/Shields/ShieldStr12",132,0,0
12,"Metadata/Items/Armours/Shields/ShieldStr13",139,0,0
13,"Metadata/Items/Armours/Shields/ShieldStr14",159,0,0
14,"Metadata/Items/Armours/Shields/ShieldStr15",159,0,0
15,"Metadata/Items/Armours/Shields/ShieldStr16",159,0,0
16,"Metadata/Items/Armours/Shields/ShieldStr17",159,0,0
17,"Metadata/Items/Armours/Shields/ShieldStrE1",76,0,0
18,"Metadata/Items/Armours/Shields/ShieldStrE2",121,0,0
19,"Metadata/Items/Armours/Shields/ShieldStrE3",159,0,0
20,"Metadata/Items/Armours/Shields/ShieldDex1",0,13,0
21,"Metadata/Items/Armours/Shields/ShieldDex2",0,26,0
22,"Metadata/Items/Armours/Shields/ShieldDex3",0,44,0
23,"Metadata/Items/Armours/Shields/ShieldDex4",0,60,0
24,"Metadata/Items/Armours/Shields/ShieldDex5",0,74,0
25,"Metadata/Items/Armours/Shields/ShieldDex6",0,85,0
26,"Metadata/Items/Armours/Shields/ShieldDex7",0,94,0
27,"Metadata/Items/Armours/Shields/ShieldDex8",0,103,0
28,"Metadata/Items/Armours/Shields/ShieldDex9",0,112,0
29,"Metadata/Items/Armours/Shields/ShieldDex10",0,121,0
30,"Metadata/Items/Armours/Shields/ShieldDex11",0,130,0
31,"Metadata/Items/Armours/Shields/ShieldDex12",0,137,0
32,"Metadata/Items/Armours/Shields/ShieldDex13",0,154,0
33,"Metadata/Items/Armours/Shields/ShieldDex14",0,159,0
34,"Metadata/Items/Armours/Shields/ShieldDex15",0,159,0
35,"Metadata/Items/Armours/Shields/ShieldDex16",0,159,0
36,"Metadata/Items/Armours/Shields/ShieldDexE1",0,76,0
37,"Metadata/Items/Armours/Shields/ShieldDexE2",0,121,0
38,"Metadata/Items/Armours/Shields/ShieldDexE3",0,159,0
39,"Metadata/Items/Armours/Shields/ShieldInt1",0,0,15
40,"Metadata/Items/Armours/Shields/ShieldInt2",0,0,29
41,"Metadata/Items/Armours/Shields/ShieldInt3",0,0,42
42,"Metadata/Items/Armours/Shields/ShieldInt4",0,0,60
43,"Metadata/Items/Armours/Shields/ShieldInt5",0,0,71
44,"Metadata/Items/Armours/Shields/ShieldInt6",0,0,83
45,"Metadata/Items/Armours/Shields/ShieldInt7",0,0,92
46,"Metadata/Items/Armours/Shields/ShieldInt8",0,0,101
47,"Metadata/Items/Armours/Shields/ShieldInt9",0,0,110
48,"Metadata/Items/Armours/Shields/ShieldInt10",0,0,119
49,"Metadata/Items/Armours/Shields/ShieldInt11",0,0,128
50,"Metadata/Items/Armours/Shields/ShieldInt12",0,0,134
51,"Metadata/Items/Armours/Shields/ShieldInt13",0,0,141
52,"Metadata/Items/Armours/Shields/ShieldInt14",0,0,159
53,"Metadata/Items/Armours/Shields/ShieldInt15",0,0,159
54,"Metadata/Items/Armours/Shields/ShieldInt16",0,0,159
55,"Metadata/Items/Armours/Shields/ShieldIntE1",0,0,76
56,"Metadata/Items/Armours/Shields/ShieldIntE2",0,0,121
57,"Metadata/Items/Armours/Shields/ShieldIntE3",0,0,159
58,"Metadata/Items/Armours/Shields/ShieldStrDex1",11,11,0
59,"Metadata/Items/Armours/Shields/ShieldStrDex2",19,19,0
60,"Metadata/Items/Armours/Shields/ShieldStrDex3",29,29,0
61,"Metadata/Items/Armours/Shields/ShieldStrDex4",37,37,0
62,"Metadata/Items/Armours/Shields/ShieldStrDex5",44,44,0
63,"Metadata/Items/Armours/Shields/ShieldStrDex6",52,52,0
64,"Metadata/Items/Armours/Shields/ShieldStrDex7",59,59,0
65,"Metadata/Items/Armours/Shields/ShieldStrDex8",64,64,0
66,"Metadata/Items/Armours/Shields/ShieldStrDex9",70,70,0
67,"Metadata/Items/Armours/Shields/ShieldStrDex10",74,74,0
68,"Metadata/Items/Armours/Shields/ShieldStrDex11",85,85,0
69,"Metadata/Items/Armours/Shields/ShieldStrDex12",85,85,0
70,"Metadata/Items/Armours/Shields/ShieldStrDex13",85,85,0
71,"Metadata/Items/Armours/Shields/ShieldStrInt1",13,0,13
72,"Metadata/Items/Armours/Shields/ShieldStrInt2",20,0,20
73,"Metadata/Items/Armours/Shields/ShieldStrInt3",29,0,29
74,"Metadata/Items/Armours/Shields/ShieldStrInt4",37,0,37
75,"Metadata/Items/Armours/Shields/ShieldStrInt5",46,0,46
76,"Metadata/Items/Armours/Shields/ShieldStrInt6",53,0,53
77,"Metadata/Items/Armours/Shields/ShieldStrInt7",60,0,60
78,"Metadata/Items/Armours/Shields/ShieldStrInt8",65,0,65
79,"Metadata/Items/Armours/Shields/ShieldStrInt9",71,0,71
80,"Metadata/Items/Armours/Shields/ShieldStrInt10",76,0,76
81,"Metadata/Items/Armours/Shields/ShieldStrInt11",85,0,85
82,"Metadata/Items/Armours/Shields/ShieldStrInt12",85,0,85
83,"Metadata/Items/Armours/Shields/ShieldStrInt13",85,0,85
84,"Metadata/Items/Armours/Shields/ShieldDexInt1",0,11,11
85,"Metadata/Items/Armours/Shields/ShieldDexInt2",0,19,19
86,"Metadata/Items/Armours/Shields/ShieldDexInt3",0,29,29
87,"Metadata/Items/Armours/Shields/ShieldDexInt4",0,37,37
88,"Metadata/Items/Armours/Shields/ShieldDexInt5",0,44,44
89,"Metadata/Items/Armours/Shields/ShieldDexInt6",0,52,52
90,"Metadata/Items/Armours/Shields/ShieldDexInt7",0,59,59
91,"Metadata/Items/Armours/Shields/ShieldDexInt8",0,64,64
92,"Metadata/Items/Armours/Shields/ShieldDexInt9",0,70,70
93,"Metadata/Items/Armours/Shields/ShieldDexInt10",0,74,74
94,"Metadata/Items/Armours/Shields/ShieldDexInt11",0,85,85
95,"Metadata/Items/Armours/Shields/ShieldDexInt12",0,85,85
96,"Metadata/Items/Armours/Shields/ShieldDexInt13",0,85,85
97,"Metadata/Items/Armours/Shields/ShieldDemigods",0,0,0
98,"Metadata/Items/Armours/Helmets/HelmetStr1",9,0,0
99,"Metadata/Items/Armours/Helmets/HelmetStr2",21,0,0
100,"Metadata/Items/Armours/Helmets/HelmetStr3",42,0,0
101,"Metadata/Items/Armours/Helmets/HelmetStr4",58,0,0
102,"Metadata/Items/Armours/Helmets/HelmetStr5",75,0,0
103,"Metadata/Items/Armours/Helmets/HelmetStr6",85,0,0
104,"Metadata/Items/Armours/Helmets/HelmetStr7",101,0,0
105,"Metadata/Items/Armours/Helmets/HelmetStr8",114,0,0
106,"Metadata/Items/Armours/Helmets/HelmetStr9",138,0,0
107,"Metadata/Items/Armours/Helmets/HelmetStr10",148,0,0
108,"Metadata/Items/Armours/Helmets/HelmetStr11",138,0,0
109,"Metadata/Items/Armours/Helmets/HelmetStr12",170,0,0
110,"Metadata/Items/Armours/Helmets/HelmetStr13",194,0,0
111,"Metadata/Items/Armours/Helmets/HelmetStr14",224,0,0
112,"Metadata/Items/Armours/Helmets/HelmetDex1",0,13,0
113,"Metadata/Items/Armours/Helmets/HelmetDex2",0,27,0
114,"Metadata/Items/Armours/Helmets/HelmetDex3",0,46,0
115,"Metadata/Items/Armours/Helmets/HelmetDex4",0,66,0
116,"Metadata/Items/Armours/Helmets/HelmetDex5",0,87,0
117,"Metadata/Items/Armours/Helmets/HelmetDex6",0,99,0
118,"Metadata/Items/Armours/Helmets/HelmetDex7",0,114,0
119,"Metadata/Items/Armours/Helmets/HelmetDex8",0,138,0
120,"Metadata/Items/Armours/Helmets/HelmetDex9",0,138,0
121,"Metadata/Items/Armours/Helmets/HelmetDex10",0,150,0
122,"Metadata/Items/Armours/Helmets/HelmetDex11",0,170,0
123,"Metadata/Items/Armours/Helmets/HelmetDex12",0,194,0
124,"Metadata/Items/Armours/Helmets/HelmetDex13",0,224,0
125,"Metadata/Items/Armours/Helmets/HelmetInt1",0,0,13
126,"Metadata/Items/Armours/Helmets/HelmetInt2",0,0,23
