"rownum","rid","Tier","Text","i32","[rid]","[i32]","i32","RuneItem","[i32]","Stats","StatsValues","UpgradeTextAudio"
0,0,1,"Establish Recruitment",131,[],[],5,[],[],"[20433,20434,20476]","[15,3,1]",19238
1,0,2,"Can establish Farming, Smelting and Runesmithing\nRecruits can have job specialty up to rank 2\n(this improvement increases the reroll cost for new recruits)\nFaustus offers Black Market deals",1344,[6],[5],8,[],[],[20476],[1],19239
2,0,3,"+20 to Maximum Town Population\nRecruits can have job specialty up to rank 3\n(this improvement increases the reroll cost for new recruits)",1345,"[16,10]","[5,10]",31,[],[],"[20433,20476]","[20,1]",19240
3,0,4,"+2 to number of new Recruits when Rerolling\nRecruits can have job specialty up to rank 4\n(this improvement increases the reroll cost for new recruits)",1346,"[17,10,11]","[10,20,10]",252,[],[],"[20434,20476]","[2,1]",19241
4,0,5,"Can establish Disenchanting and Recombination\nRecruits can have job specialty up to rank 5\n(this improvement increases the reroll cost for new recruits)",1347,"[18,11,12]","[10,25,10]",666,[],[],[20476],[1],19242
5,0,6,"+25 to Maximum Town Population\nRecruits can have job specialty up to rank 6\n(this improvement increases the reroll cost for new recruits)",1348,"[18,10,12]","[50,20,75]",2536,[],[],"[20433,20476]","[25,1]",19243
6,0,7,"Can establish Mapping\nRecruits can have job specialty up to rank 7\n(this improvement increases the reroll cost for new recruits)",1349,"[19,12,13]","[30,75,150]",4954,[],[],[20476],[1],19244
7,0,8,"+2 to number of new Recruits when Rerolling\nRecruits can have job specialty up to rank 8\n(this improvement increases the reroll cost for new recruits)",1350,"[19,11,13]","[60,250,250]",11666,[],[],"[20434,20476]","[2,1]",19245
8,0,9,"+30 to Maximum Town Population\nRecruits can have job specialty up to rank 9\n(this improvement increases the reroll cost for new recruits)",1351,"[19,13,14]","[120,400,700]",17062,[],[],"[20433,20476]","[30,1]",19246
9,0,10,"Recruits can have job specialty up to rank 10\n(this improvement increases the reroll cost for new recruits)",1352,"[19,13,14]","[160,1200,700]",20225,[],[],[20476],[1],19247
10,0,11,"25% reduced Recruitment Reroll Cost\nRaulf offers an Improved Reroll",1353,"[10,13,14]","[2500,2000,2000]",100000,[],[],"[20483,20476,20807]","[-25,1,1]",19248
11,1,1,"Establish Mining",613,[],[],5,[],[],"[20419,20418]","[1,3]",""
12,1,2,"+2 to Maximum Miners\nCan Mine Orichalcum\n15% increased Mining Speed",1354,[5],[3],14,[],[],"[20419,20418,20400]","[1,2,15]",""
13,1,3,"+2 to Maximum Miners\nCan Mine Petrified Amber",1355,"[5,6,10]","[10,8,10]",74,[],[],"[20419,20418]","[1,2]",""
14,1,4,"+2 to Maximum Miners\nCan Mine Bismuth",1356,"[15,16,17,10]","[5,5,5,10]",476,[],[],"[20419,20418]","[1,2]",""
15,1,5,"10% increased Ore found in Areas",1357,"[15,17,18]","[30,15,10]",1658,[],[],[20573],[10],""
16,1,6,"+3 to Maximum Miners\nCan Mine Verisium",1358,"[16,18,11]","[40,25,20]",4960,[],[],"[20419,20418]","[1,3]",""
17,1,7,"15% increased Mining Speed",1359,"[15,16,19]","[80,70,25]",9155,[],[],[20400],[15],""
18,1,8,"15% increased Ore found in Areas",1360,"[16,17,19]","[150,100,35]",15350,[],[],[20573],[15],""
19,1,9,"Ores found in Areas are more likely to be rarer varieties",1361,"[15,17,19]","[200,120,50]",22065,[],[],[20571],[1],""
20,1,10,"20% increased Ore found in Areas",1362,"[16,18,12]","[250,100,100]",27155,[],[],[20573],[20],""
21,1,11,"Marking Ore in Areas grants Gold equal to the amount of Ore",1363,"[17,18,19]","[200,120,80]",45570,[],[],[20574],[1],""
22,2,1,"Establish Smelting",1364,"[5,6]","[3,3]",10,[],[],"[20421,20420]","[2,3]",18656
23,2,2,"Can smelt Petrified Amber Ore",1365,"[15,16]","[4,3]",56,[],[],[20421],[1],18657
24,2,3,"15% increased Smelting Speed",1366,"[15,16,17]","[10,8,6]",363,[],[],[20401],[15],18658
25,2,4,"+2 to Maximum Smelters",1367,"[15,17,10]","[35,25,25]",1268,[],[],[20420],[2],18659
26,2,5,"Can smelt Bismuth Ore",1368,"[16,17]","[80,80]",3722,[],[],[20421],[1],18660
27,2,6,"+2 to Maximum Smelters",1369,"[17,18,10]","[100,50,50]",7100,[],[],[20420],[2],18661
28,2,7,"Can smelt Verisium Ore",1370,"[15,16,18]","[200,150,75]",11958,[],[],[20421],[1],18662
29,2,8,"+2 to Maximum Smelters",1371,"[18,19,11]","[150,50,80]",17264,[],[],[20420],[2],18663
30,2,9,"20% increased Smelting Speed",1372,"[15,18,19]","[300,100,75]",21359,[],[],[20401],[20],18664
31,2,10,"+3 to Maximum Smelters",1373,"[16,18,12]","[300,150,100]",27000,[],[],[20420],[3],18665
32,2,11,"25% increased Smelting Speed",1374,"[17,18,19]","[400,250,150]",44115,[],[],[20401],[25],18666
33,3,1,"Establish Farming",1375,[],[],23,[],[],"[20424,20425,20426]","[2,3,2]",19335
34,3,2,"Can grow Pumpkins",1376,[],[],126,[],[],[20426],[1],19336
35,3,3,"+2 Farming Plots",1377,[],[],797,[],[],[20424],[2],19337
36,3,4,"10% increased Farming Speed",1378,[15],[80],2230,[],[],[20403],[10],19338
37,3,5,"Can grow Orgourd",1379,[],[],8184,[],[],[20426],[1],19339
38,3,6,"+1 Farming Plot",1380,[],[],15616,[],[],[20424],[1],19340
39,3,7,"Can grow Blue Zanthimum",1381,[],[],26307,[],[],[20426],[1],19341
40,3,8,"15% increased Farming Speed",1382,[15],[800],30360,[],[],[20403],[15],19342
41,3,9,"5% increased Crop yield per different Crop being Farmed",1383,[15],[1000],37240,[],[],[20440],[5],19343
42,3,10,"+1 Farming Plot",1384,[],[],55700,[],[],[20424],[1],19344
43,3,11,"Plots yield 10% increased Crop per adjacent Plot being Farmed",1385,[19],[500],80000,[],[],[20441],[10],19345
44,4,1,"Establish Shipping",1386,[5],[5],5,[],[],"[20427,20428,20429,20443]","[1,2,1,1]",18286
45,4,2,"Can Ship to Ngakanu",1387,"[5,6]","[15,5]",25,[],[],"[20429,20443]",[1],18291
46,4,3,"+2 to Maximum Ship Crew",1388,"[15,16,11]","[7,6,10]",186,[],[],"[20428,20443]","[2,1]",18287
47,4,4,"15% increased Ship Speed",1389,"[16,17]","[25,20]",490,[],[],"[20405,20443]","[15,1]",18289
48,4,5,"Can Ship to Pondium and Te Onui",1390,"[15,16,18]","[80,60,25]",1876,[],[],"[20429,20443]","[2,1]",18294
49,4,6,"+1 Ship",1391,"[17,18]","[120,70]",3688,[],[],"[20427,20443]","[1,1]",18292
50,4,7,"Can Ship to Kalguur",1392,"[15,16,19]","[200,200,50]",7641,[],[],"[20429,20443]","[1,1]",18295
51,4,8,"20% increased Ship Speed",1393,"[17,19]","[350,140]",12816,[],[],"[20405,20443]","[20,1]",18290
52,4,9,"+2 to Maximum Ship Crew",1394,"[18,19,10]","[320,200,150]",15856,[],[],"[20428,20443]","[2,1]",18288
53,4,10,"+1 Ship",1395,"[15,17,18]","[600,400,300]",18790,[],[],"[20427,20443]","[1,1]",18293
54,4,11,"Ports Quotas are 50% more rewarding",1396,"[16,18,19]","[500,300,200]",32745,[],[],"[20794,20443]","[50,1]",18296
