"rownum","string","string","[rid]","i32","i32","i32","bool","i32","i32","i32","i32","u16","bool"
0,"NULL","",[],0,0,0,"",0,335544320,0,0,0,""
1,"ShipCommandeered","Pirates have commandeered the Ship! They will execute the Crew and steal the Shipment unless you intervene.",[],0,0,0,"",33554432,369098752,1,0,0,""
2,"Lose50%Metals","<kalguurred>{A well-armed merchant vessel demanded half of our shipment of ore!}","[0,1,2,3,4,5,6,7,8,9]",50,0,0,"",16777216,-234881024,2,16777216,0,""
3,"Lose100%Metals","<kalguurred>{Our crew had to dump our shipment of ore to outrun a pirate fleet!}","[0,1,2,3,4,5,6,7,8,9]",100,0,0,"",16777216,-704643072,4,16777216,0,""
4,"Lose50%Plants","<kalguurred>{A wasting disease destroyed half of our shipment of crops!}","[10,11,12,13,14]",50,0,0,"",16777216,1207959552,6,16777216,0,""
5,"Lose100%Plants","<kalguurred>{The crew became stuck in a calm sea and had to eat our shipment of crops!}","[10,11,12,13,14]",100,0,0,"",16777216,-301989888,7,16777216,0,""
6,"Lose100%ArcaneDust","<kalguurred>{Our shipment of Thaumaturgic Dust collapsed into a portal and vanished!}",[15],100,0,0,"",16777216,1207959552,9,16777216,0,""
7,"Lose50%AllResourcesOutgoing","<kalguurred>{A Karui raiding party waiting outside Kingsmarch demand half of our entire shipment!}",[],50,0,0,"",16777216,-704643072,10,16777216,0,""
8,"Lose50%AllResourcesAtPort","<kalguurred>{Corrupt customs officials demanded half of our entire shipment!}",[],50,0,0,"",16777216,-704643072,10,16777216,0,""
9,"Lose25%AllResourcesAtPort","<kalguurred>{A quarter of our entire shipment was somehow misplaced at port!}",[],25,0,0,"",16777216,-33554432,12,16777216,0,""
10,"Lose75%AllResourcesOutgoing","<kalguurred>{The King decided to institute a one-time tax of three-quarters of our entire outgoing shipment!}",[],75,0,0,"",16777216,-1610612736,14,16777216,0,""
11,"Lose50%RewardsAtPort","<kalguurred>{Trade disruptions at port caused economic shocks. We only received half of what we expected.}",[],0,50,0,"",16777216,939524096,16,16777216,0,""
12,"Lose50%RewardsReturning","<kalguurred>{Pirates seized half of our profits on the voyage back!}",[],0,50,0,"",16777216,939524096,16,16777216,0,""
13,"Lose25%RewardsAtPort","<kalguurred>{We were out-negotiated at port, and have received a quarter less than we expected.}",[],0,25,0,"",16777216,1577058304,18,16777216,0,""
14,"Lose75%RewardsReturning","<kalguurred>{The ship experienced a tremendous storm at sea, and three-quarters of our returns have been lost.}",[],0,75,0,"",16777216,100663296,20,16777216,0,""
15,"LoseCrewMemberPubBrawl","<kalguurred>{Unfortunately, a crew member was killed in a tavern brawl.}",[],0,0,0,1,16777216,1744830464,21,83886080,0,""
16,"LoseCrewMemberOverboardOutgoing","<kalguurred>{A storm knocked a crewmember overboard on the voyage out.}",[],0,0,0,1,16777216,1744830464,21,83886080,0,""
17,"LoseCrewMemberOverboardReturning","<kalguurred>{One of our crew decided to stay at port and start a new life.}",[],0,0,0,1,16777216,1744830464,21,83886080,0,""
18,"ShipmentDelayed100%","<kalguurred>{Dangerous weather has caused a delay.}",[],0,0,100,"",16777216,603979776,24,16777216,0,""
19,"LoseAllRewardsOutgoing","<kalguurred>{Our ship was seized by a pirate fleet on the way to port. The entire shipment has been lost.}",[],100,0,0,"",0,-1946157056,25,167772160,0,""
20,"LoseAllRewardsReturning","<kalguurred>{A mysterious green light surrounded the ship on its voyage home. When it passed, everything was gone.}",[],0,100,0,"",0,-1946157056,25,167772160,0,""
