"rownum","InfluenceMod","UpgradedMod","HighestTier"
0,15009,25088,1
1,15010,25089,1
2,15011,15012,""
3,15012,25090,1
4,15013,15014,""
5,15014,25091,1
6,15015,15016,""
7,15016,25092,1
8,15017,25093,1
9,15019,25094,1
10,15021,15022,""
11,15022,25095,1
12,15023,15024,""
13,15024,25096,1
14,15025,25097,1
15,15026,15027,""
16,15027,25098,1
17,15028,15029,""
18,15029,25099,1
19,15030,15031,""
20,15031,25100,1
21,15032,15033,""
22,15033,25101,1
23,15034,15035,""
24,15035,25102,1
25,15036,15037,""
26,15037,25103,1
27,15038,15039,""
28,15039,25104,1
29,15040,15041,""
30,15041,25105,1
31,15042,15043,""
32,15043,25106,1
33,15044,15045,""
34,15045,25107,1
35,21193,21194,""
36,21194,25108,1
37,21269,21270,""
38,21270,25109,1
39,21271,25110,1
40,21275,21276,""
41,21276,25113,1
42,21277,25114,1
43,21278,21279,""
44,21279,25115,1
45,21280,21281,""
46,21281,25116,1
47,21282,21283,""
48,21283,25117,1
49,21284,25118,1
50,21285,25119,1
51,21286,21287,""
52,21287,21288,""
53,21288,25120,1
54,21289,21290,""
55,21290,25121,1
56,21291,25122,1
57,21292,21293,""
58,21293,25123,1
59,21294,21295,""
60,21295,25124,1
61,21296,25125,1
62,21297,21298,""
63,21298,25126,1
64,21299,25127,1
65,21300,25128,1
66,21301,25129,1
67,21302,21303,""
68,21303,25130,1
69,21304,25131,1
70,21305,21306,""
71,21306,25132,1
72,21307,21308,""
73,21308,25133,1
74,21309,21310,""
75,21310,25134,1
76,21311,21312,""
77,21312,25135,1
78,21313,21314,""
79,21314,25136,1
80,21315,25138,1
81,21316,25139,1
82,21317,21318,""
83,21318,25140,1
84,21319,21320,""
85,21320,25141,1
86,21321,21322,""
87,21322,25142,1
88,21323,21324,""
89,21324,25143,1
90,14942,14943,""
91,14943,14944,""
92,14944,25144,1
93,14945,14946,""
94,14946,14947,""
95,14947,25145,1
96,14948,14949,""
97,14949,25146,1
98,14950,14951,""
99,14951,14952,""
100,14952,25147,1
101,14953,14954,""
102,14954,14955,""
103,14955,25148,1
104,14959,14960,""
105,14960,14961,""
106,14961,25150,1
107,14962,14963,""
108,14963,14964,""
109,14964,25151,1
110,14965,14966,""
111,14966,14967,""
112,14967,25152,1
113,14968,14969,""
114,14969,14970,""
115,14970,25153,1
116,14971,14972,""
117,14972,14973,""
118,14973,25154,1
119,14974,14975,""
120,14975,14976,""
121,14976,25155,1
