"rownum","Id","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15598]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15598,15792]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15787]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15787,15792]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15788]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15788,15792]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15789]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15789,15792]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15790]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15790,15792]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15791]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15791,15792]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[15587]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[15587,15588]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[15587]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[15587]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[15587]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[15587]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[15589]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[15589,15588]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[15589]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[15589]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[15589]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[15589]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[15590]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[15590,15588]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[15590]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[15590]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[15590]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[15590]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[15591]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[15591,15588]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[15591]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[15591]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[15591]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[15591]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15592]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15592,15588]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15592]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15592]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15592]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15592]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15595,15593]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15595,15593,15588]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15595,15593]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15595,15593]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15595,15593]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15595,15593]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15596,15594]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15596,15594,15588]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15596,15594]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15596,15594]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15596,15594]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15596,15594]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15597,15587]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15597,15595]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[15587,15588,20513]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[15587,15588,20513]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[15587,15588,20513]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[15587,15588,20513]"
