"rownum","string","string","string","string","string","[rid]"
0,"LabDefenceAisling1","Add a Veiled Mod to a Rare item","add_veiled_mods 0","","",[]
1,"LabDefenceAisling2","Add a Veiled Mod to a Rare item, with a low chance of adding a second Veiled Mod","add_veiled_mods 5","","",[]
2,"LabDefenceAisling3","Add a Veiled Modifier to a Rare item, with a chance of adding a second Veiled Modifier","add_veiled_mods 15","","",[]
3,"LabDefenceAisling4","Replace a random Modifier on a Rare item with a Veiled Modifier","replace_mod_with_veiled_mod","","",[]
4,"LabDefenceGravicius1","Swap a Divination Card with a new random one","swap_divination_card BetrayalDivCardSwap1","","",[]
5,"LabDefenceGravicius2","Swap a Divination Card with a new random one","swap_divination_card BetrayalDivCardSwap2","","",[]
6,"LabDefenceGravicius3","Swap a Divination Card with a new random one","swap_divination_card BetrayalDivCardSwap3","","",[]
7,"LabDefenceGravicius4","Swap a Divination Card with a new random one","swap_divination_card BetrayalDivCardSwap3","","",[]
8,"AssassinHillock1","Modify a Map's quality to 25%","set_quality map 25","","",[]
9,"AssassinHillock2","Modify a Map's quality to 30%","set_quality map 30","","",[]
10,"AssassinHillock3","Modify a Map's quality to 35%","set_quality map 35","","",[]
11,"AssassinHillock4","Modify a Map's quality to 35%","set_quality map 35","","",[]
12,"BaseDefenceHillock1","Modify an Armour Piece's quality to 24%","set_quality armour 24","","",[]
13,"BaseDefenceHillock2","Modify an Armour Piece's quality to 26%","set_quality armour 26","","",[]
14,"BaseDefenceHillock3","Modify an Armour Piece's quality to 28%","set_quality armour 28","","",[]
15,"BaseDefenceHillock4","Modify an Armour Piece's quality to 30%","set_quality armour 30","","",[]
16,"CartEscortHillock1","Modify a Weapon's quality to 24%","set_quality weapon 24","","",[]
17,"CartEscortHillock2","Modify a Weapon's quality to 26%","set_quality weapon 26","","",[]
18,"CartEscortHillock3","Modify a Weapon's quality to 28%","set_quality weapon 28","","",[]
19,"CartEscortHillock4","Modify a Weapon's quality to 30%","set_quality weapon 30","","",[]
20,"LabDefenceHillock1","Modify a Flask's quality to 22%","set_quality flask 22","","",[]
21,"LabDefenceHillock2","Modify a Flask's quality to 24%","set_quality flask 24","","",[]
22,"LabDefenceHillock3","Modify a Flask's quality to 26%","set_quality flask 26","","",[]
23,"LabDefenceHillock4","Modify a Flask's quality to 28%","set_quality flask 28","","",[]
24,"LabDefenceLeo1","","","Modify a Flask's quality to 22%","set_quality flask 22",[]
