"rownum","rid","rid","i32"
0,16326,16326,3
1,16327,16327,3
2,16323,16323,0
3,16324,16324,0
4,16325,16325,0
5,16328,16328,0
6,16329,216,0
7,16331,6193,0
8,16334,216,1
9,16335,216,2
10,16336,216,3
11,16337,11823,1
12,16255,11823,2
13,16338,172,1
14,16339,172,2
15,16340,16082,1
16,16341,16082,2
17,16353,16250,3
18,16351,16351,1
19,16352,16352,3
20,16313,16313,4
21,16314,16314,4
22,16315,16315,4
23,16344,16344,0
24,16345,16344,1
25,16346,16344,3
26,16348,16347,1
27,16349,16347,2
28,16350,16350,3
29,16342,16342,0
30,16343,16342,3
31,16330,16330,0
32,16332,16330,2
33,16333,16330,3
34,16256,16256,4
35,16355,16376,1
36,16356,16356,0
37,16354,16354,3
38,16357,16377,3
39,16365,16365,3
40,16366,16366,2
41,16367,16367,1
42,16368,16368,2
43,16369,16369,2
44,16397,16344,2
45,16404,16404,4
46,16403,16403,4
