"rownum","Level","MoreLife"
0,1,-76
1,2,-74
2,3,-72
3,4,-70
4,5,-68
5,6,-66
6,7,-64
7,8,-61
8,9,-58
9,10,-52
10,11,-46
11,12,-41
12,13,-34
13,14,-28
14,15,-22
15,16,-16
16,17,-8
17,18,-4
18,64,0
19,65,0
20,66,0
21,67,0
22,68,0
23,69,9
24,70,20
25,71,33
26,72,46
27,73,62
28,74,79
29,75,96
30,76,118
31,77,138
32,78,162
33,79,191
34,80,226
35,81,267
36,82,308
37,83,320
38,84,331
39,85,345
40,86,361
41,87,379
42,88,394
43,89,394
44,90,394
45,91,394
46,92,394
47,93,394
48,94,394
49,95,394
50,96,394
51,97,394
52,98,394
53,99,394
54,100,394
