"rownum","Id","rid","rid","bool","bool","i32","bool","bool","bool","bool","bool","bool","bool"
0,"SpectreMinion",724,3461,1,"",0,"","",1,"","","",""
1,"DominatedNormalMinion",8070,8076,1,"",0,"","",1,"","","",""
2,"DominatedMagicMinion",8071,8077,1,"",0,"","",1,"","","",""
3,"DominatedRareMinion",8072,8078,1,"",0,"","",1,"","","",""
4,"VaalDominatedMinion",17859,17899,1,"",0,"","",1,"","","",""
5,"TotemMinion",953,3396,"",1,0,"","",1,1,"","",""
6,"TrapMinion",950,3727,"",1,0,"","",1,1,1,1,""
7,"ZombieMinion",723,3464,1,"",0,"","",1,"","","",""
8,"SkeletonMinion",725,3462,1,"",0,"","",1,"","","",""
9,"VaalSkeletonMinion",725,3462,1,"",0,"","",1,"","","",""
10,"SupportGhostMinion",8367,"",1,"",0,"","",1,"","","",""
11,"RemoteMineMinion",951,3726,"",1,0,"","",1,1,"",1,""
12,"IncaMinion",4579,"",1,"",0,"","",1,"","","",""
13,"InsectMinion",4580,"",1,"",0,"","",1,"","","",""
14,"WaterElementalMinion",1180,"",1,"",0,"","",1,"","","",""
15,"GenericUnlimitedMinion","","",1,"",0,1,"",1,"","","",""
16,"AxisSoldierMinion","","",1,"",0,1,"","","","","",""
17,"AnimatedArmourMinion","",7588,1,"",1,"",1,1,"","","",""
18,"AnimatedWeaponMinion",5713,5714,1,"",0,"",1,1,"","","",""
19,"RagingSpiritMinion",2101,3463,1,"",0,"","",1,"","","",""
20,"DoubleMinion",14184,"","",1,0,"","",1,1,"","",""
21,"GenericUnlimitedMinionWithDrops","","",1,"",0,1,"","","","","",""
22,"TaniwhaTailMinion",4581,"",1,"",0,"","",1,"","","",""
23,"GolemMinion",2888,"",1,"",0,"","",1,"","","",""
24,"MissionFollower","","","","",0,1,"","","","","",""
25,"ManifestedUniqueWeaponMinion","",18497,1,"",0,1,"",1,"","","",""
26,"RangedAnimatedWeaponMinion",3450,19235,1,"",0,"",1,1,"","","",""
27,"WolfMinion",4582,3879,1,"",0,"","",1,"","","",""
28,"GenericUnlimitedNonMinion","","","",1,0,1,"",1,"","","",""
29,"EssenceSpiritMinion",4884,4885,1,"",0,"","",1,"","","",""
30,"SpiderMinion",5299,5300,1,"",0,"","",1,"","","",""
31,"BeastMinion",6188,6428,1,"",0,"","",1,"","","",""
32,"GenericLimitedMinion",5477,5478,1,"",0,"","",1,"","","",""
33,"Harbinger","","",1,"",1,"","",1,"","","",""
34,"MirageArcher",7076,"","","",0,"","",1,"",1,1,""
35,"Effigy",7232,"","",1,0,"","",1,"","","",""
36,"Clone",8069,"",1,"",0,"","",1,"","","",""
37,"HeraldScorpion",8129,"",1,"",0,"","",1,"","","",""
38,"HeraldChampion",8141,8292,1,"",0,"","",1,"","","",""
39,"Relic",8158,8159,1,"",0,"","",1,"","","",""
40,"ReplicateMinion",9508,9509,1,"",0,"","",1,"","","",""
41,"BurrowingViperMinion","","","",1,0,1,"",1,1,"","",""
42,"MirageWarrior",10719,10720,"",1,0,"","",1,1,"","",""
43,"DoubleCryWarrior",11861,11862,"",1,0,"","",1,1,"","",""
44,"GenericLimitedTo3Minion","","",1,"",3,"","",1,"","","",""
45,"MirageChieftain","","",1,"",0,1,"",1,"","","",""
46,"GenericLimitedMinionWithDrops",5477,"",1,"",0,"","","","","","",""
47,"TauntingContraption","","",1,"",1,"","",1,"","","",""
48,"AbsolutionSentinel",14210,14234,1,"",0,"","",1,"","","",""
49,"VaalAbsolutionSentinel",17858,17900,1,"",0,"","",1,"","","",""
50,"Reaper",14641,"",1,"",0,"","",1,"","","",""
51,"ArbalistMinion",14436,"",1,"",0,"","",1,"","","",""
52,"Triggerbots","","",1,"",0,1,"",1,"","","",""
53,"VaalAnimatedWeaponMinion",5713,17736,1,"",0,"",1,1,"","","",""
54,"VaalRangedAnimatedWeaponMinion",3450,17737,1,"",0,"",1,1,"","","",""
55,"VaalIceShotMirage",18091,"","",1,0,"","",1,1,"","",""
56,"IzaroSpiritMinion","","",1,"",1,"","",1,"","","",""
57,"RadiantSentinel","","",1,"",1,"","",1,"","","",""
58,"GuardianFireRelic","","",1,"",1,"","",1,"","","",""
59,"GuardianColdRelic","","",1,"",1,"","",1,"","","",""
60,"GuardianLightningRelic","","",1,"",1,"","",1,"","","",""
61,"AncestralEmbraceMinion","","",1,"",1,"","",1,"","","",""
62,"VoodooDoll","","","","",1,"","",1,"","","",""
63,"BlinkMirrorArrowRainOfArrowsClones",19214,"",1,"",0,"","",1,"","","",""
64,"BlinkMirrorArrowElementalHitClones",19215,"",1,"",0,"","",1,"","","",""
65,"SacredWisp",20202,"","","",0,1,1,1,"",1,1,1
