"rownum","Id","Base_ENVFile","[string]","[string]","[rid]","[i32]","rid","rid","bool"
0,"NULL","",[],[],[],[],"","",""
1,"NoMusic","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
2,"1_1","Metadata/EnvironmentSettings/1_1_1.env",[],[],[],[],"","",""
3,"1_1w","Metadata/EnvironmentSettings/1_1_1.env",[],[],[],[],"","",""
4,"1_1_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","",""
5,"1_2","Metadata/EnvironmentSettings/1_1_2_Night.env",[],[],[],[],"","",""
6,"1_2_remakeledges","Metadata/EnvironmentSettings/1_1_2_LedgeRemake.env",[],[],[],[],"","",""
7,"1_2a","Metadata/EnvironmentSettings/1_1_2a.env",[],[],[],[],"","",""
8,"1_3","Metadata/EnvironmentSettings/1_1_3_Dawn.env","[""Metadata/EnvironmentSettings/1_1_3_Sunny.env""]",[],[],[],0,"",""
9,"1_3a","Metadata/EnvironmentSettings/1_1_3a_Dark.env","[""Metadata/EnvironmentSettings/1_1_3a_Sunny.env""]",[],[227],[],"","",""
10,"1_4_0","Metadata/EnvironmentSettings/1_1_4_0.env",[],[],[],[],"","",""
11,"1_4_0_synthesis","Metadata/EnvironmentSettings/1_1_4_0_synthesis.env",[],[],[],[],"","",""
12,"1_4_1","Metadata/EnvironmentSettings/1_1_4_1.env",[],[],[],[],"","",""
13,"1_4_2","Metadata/EnvironmentSettings/1_1_4_2.env",[],[],[],[],"","",""
14,"1_5","Metadata/EnvironmentSettings/1_1_5.env",[],[],[],[],"","",""
15,"1_6","Metadata/EnvironmentSettings/1_1_6.env",[],[],[],[],"","",""
16,"1_7_1","Metadata/EnvironmentSettings/1_1_7_1.env",[],[],[],[],"","",""
17,"1_7_2","Metadata/EnvironmentSettings/1_1_7_2.env",[],[],[],[],"","",""
18,"1_7_3","Metadata/EnvironmentSettings/1_1_7_3.env",[],[],[],[],"","",""
19,"1_7_3_silent","Metadata/EnvironmentSettings/boss_silent.env",[],[],[],[],"","",""
20,"1_8","Metadata/EnvironmentSettings/1_1_8.env",[],[],[],[],"","",""
21,"1_9","Metadata/EnvironmentSettings/1_1_9.env",[],[],[],[],"","",""
22,"1_9test","Metadata/EnvironmentSettings/1_1_9test.env",[],[],[],[],"","",""
23,"1_9a","Metadata/EnvironmentSettings/1_1_9a.env",[],[],[],[],"","",""
24,"1_11_1","Metadata/EnvironmentSettings/1_1_11_1.env",[],[],[],[],"","",""
25,"1_11_2","Metadata/EnvironmentSettings/1_1_11_2.env",[],[],[],[],"","",""
26,"1_11_3_silent","Metadata/EnvironmentSettings/boss_silent.env",[],[],[],[],"","",""
27,"1_11_3_boss","Metadata/EnvironmentSettings/1_1_11_3.env",[],[],[],[],"","",""
28,"1_town","Metadata/EnvironmentSettings/1_1_town.env",[],[],[],[],"","",""
29,"1_town_v2","Metadata/EnvironmentSettings/1_1_town_v2.env",[],[],[],[],"","",""
30,"2_1","Metadata/EnvironmentSettings/1_2_1.env","[""Metadata/EnvironmentSettings/corrupted/1_2_1.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
31,"2_2","Metadata/EnvironmentSettings/1_2_2.env",[],[],[],[],"","",""
32,"2_2_prophecy","Metadata/EnvironmentSettings/1_2_2_prophecy.env",[],[],[],[],"","",""
33,"2_2a","Metadata/EnvironmentSettings/1_2_2a.env",[],[],[],[],"","",""
34,"2_3","Metadata/EnvironmentSettings/1_2_3.env",[],[],[],[],"","",""
35,"2_4","Metadata/EnvironmentSettings/1_2_4.env",[],[],[],[],"","",""
36,"2_5_1","Metadata/EnvironmentSettings/1_2_5_1.env",[],[],[],[],"","",""
37,"2_5_2","Metadata/EnvironmentSettings/1_2_5_2.env",[],[],[],[],"","",""
38,"2_6_1","Metadata/EnvironmentSettings/1_2_6_1.env",[],[],[],[],"","",""
39,"2_6_2","Metadata/EnvironmentSettings/1_2_6_2.env",[],[],[],[],"","",""
40,"2_6_3","Metadata/EnvironmentSettings/1_2_6_3.env",[],[],[],[],"","",""
41,"2_7","Metadata/EnvironmentSettings/1_2_7.env","[""Metadata/EnvironmentSettings/corrupted/1_2_7.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
42,"2_7_synthesis","Metadata/EnvironmentSettings/1_2_7_synthesis.env",[],[],[],[],"","",""
43,"2_8","Metadata/EnvironmentSettings/1_2_8.env","[""Metadata/EnvironmentSettings/corrupted/1_2_8.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
44,"2_9","Metadata/EnvironmentSettings/1_2_9.env","[""Metadata/EnvironmentSettings/corrupted/1_2_9.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
45,"2_10","Metadata/EnvironmentSettings/1_2_10.env","[""Metadata/EnvironmentSettings/corrupted/1_2_10.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
46,"2_11_1","Metadata/EnvironmentSettings/1_2_11_1.env","[""Metadata/EnvironmentSettings/corrupted/1_2_11_1.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
47,"2_11_2","Metadata/EnvironmentSettings/1_2_11_2.env","[""Metadata/EnvironmentSettings/corrupted/1_2_11_2.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
48,"2_12","Metadata/EnvironmentSettings/1_2_12.env","[""Metadata/EnvironmentSettings/corrupted/1_2_12.env""]","[""琀琀椀渀最猀⼀渀漀开洀甀猀椀挀⸀攀渀瘀""]",[88],[],"","",""
49,"2_13","Metadata/EnvironmentSettings/1_2_13.env",[],[],[],[],"","",""
