"rownum","string","i32","i32","bool","i32","i32","i32","i32","i32","bool","bool","bool"
0,"None",0,0,"",1677721600,0,0,335544320,0,"","",""
1,"Act2Default",3,0,"",1627389952,16777216,0,771751936,0,"","",""
2,"Act3Default",3,0,"",1627389952,16777216,0,1476395008,0,"","",""
3,"Act4Default",3,0,"",1627389952,16777216,0,-2113929216,0,"","",""
4,"Act5EarlyDefault",3,0,"",1627389952,16777216,0,-1241513984,0,"","",""
5,"Act5LateDefault",4,0,"",1610612736,33554432,0,-402653184,0,"","",""
6,"Act6Default",8,0,"",1543503872,83886080,0,570425344,1,"","",""
7,"Act7Default",8,0,"",1543503872,83886080,0,-1946157056,1,"","",""
8,"Act8Default",8,0,"",1543503872,83886080,0,-167772160,1,"","",""
9,"Act9Default",8,0,"",1543503872,83886080,0,1610612736,2,"","",""
10,"Act10Default",8,0,"",1543503872,83886080,0,-872415232,2,"","",""
11,"Map",30,4,1,1090519040,184549376,0,637534208,3,"","",""
