"rownum","rid","[i32]","rid","[i32]","rid","i32","[rid]","[i32]","[i32]"
0,3801,"[0,10000,500000,2000000]",16265,[],"",4,[],[],[]
1,3809,"[0,150,500,1000,1500]",572,[],573,5,[],[],[]
2,3808,"[0,150,500,1000,1500]",575,[],576,5,[],[],[]
3,3872,"[74,75]",306,[],146,2,[],[],[]
4,3871,"[74,75]",307,[],144,2,[],[],[]
5,3873,"[74,75]",308,[],148,2,[],[],[]
6,3874,"[74,75]",16177,[],141,2,[],[],[]
7,3813,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[]
8,3814,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[]
9,3815,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[]
10,3816,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[]
11,3817,"[0,25,50,100,200,250,325]",242,[],177,7,[],[],[]
12,3827,"[0,1,3,7,13,25,30]",16333,[],"",7,[],[],[]
13,3828,"[0,1,3,7,13,25,30]",16333,[],"",7,[],[],[]
14,3829,"[0,1,3,7,13,25,30]",16333,[],"",7,[],[],[]
15,3830,"[0,1,3,7,13,25,30]",16333,[],"",7,[],[],[]
16,3831,"[0,1,3,7,13,25,30]",16333,[],"",7,[],[],[]
17,3818,"[0,20,30]",16331,[],"",3,[],[],[]
18,3819,"[0,20,30]",16331,[],"",3,[],[],[]
19,3820,"[0,20,30]",16331,[],"",3,[],[],[]
20,3821,"[0,20,30]",16331,[],"",3,[],[],[]
21,3843,"[0,1,3,5,7,9,11,12]",16409,[],"",8,[],[],[]
22,3844,"[0,1,3,5,7,9,11,12]",16409,[],"",8,[],[],[]
23,3845,"[0,1,3,5,7,9,11,12]",16409,[],"",8,[],[],[]
24,3846,"[0,1,3,5,7,9,11,12]",16409,[],"",8,[],[],[]
25,3863,"[0,1,5,10]",16385,[],"",4,[],[],[]
26,3864,"[0,1,5,10]",16385,[],"",4,[],[],[]
27,3865,"[0,1,5,10]",16385,[],"",4,[],[],[]
28,3866,"[0,1,5,10]",16385,[],"",4,[],[],[]
29,3839,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[]
30,3840,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[]
31,3841,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[]
32,3842,"[0,20,40,60,80,90,100]",0,[],"",7,[],[],[]
33,3855,"[0,1,3,5,7,9,11,13]",2649,[],8450,8,[],[],[]
34,3856,"[0,1,3,5,7,9,11,13]",2649,[],8450,8,[],[],[]
35,3857,"[0,1,3,5,7,9,11,13]",2649,[],8450,8,[],[],[]
36,3858,"[0,1,3,5,7,9,11,13]",2649,[],8450,8,[],[],[]
37,3792,"[0,1,10,15,20,25]",16164,[],"",6,[],[],[]
38,3822,"[0,50,100,150,200,250,300,350]",572,[],573,8,[],[],[]
39,3823,"[0,50,100,150,200,250,300,350]",578,[],579,8,[],[],[]
40,3824,"[0,50,100,150,200,250,300,350]",575,[],576,8,[],[],[]
41,3825,"[0,100,200,300,400,500,600,700]",16940,[],605,8,[],[],[]
42,3826,"[0,50,100,150,200,250,300,350]",15414,[],17305,8,[],[],[]
43,3967,"[0,50,100,150,200]",779,[],153,5,[],[],[]
44,3966,"[0,50,100,150,200]",779,[],153,5,[],[],[]
45,3965,"[0,50,100,150,200]",779,[],153,5,[],[],[]
46,3968,"[0,50,100,150,200]",779,[],153,5,[],[],[]
47,4563,"[0,10,20,30,40,50,60]",16174,[],"",7,[],[],[]
48,3793,"[0,12,20,29]",16808,[48],"",4,[],[],[]
49,3794,"[0,14,22,32]",16808,[48],"",4,[],[],[]
50,3798,"[0,16,24,35]",16808,[48],"",4,[],[],[]
51,3796,"[0,18,26,38]",16808,[48],"",4,[],[],[]
52,3993,"[0,20,50,100]",16688,[],"",4,[],[],[]
53,3995,"[0,20,50,100]",16688,[],"",4,[],[],[]
54,3994,"[0,20,50,100]",16688,[],"",4,[],[],[]
55,3996,"[0,20,50,100]",16688,[],"",4,[],[],[]
56,3810,"[0,30,65,100,150,200]",25,[],"",6,[],[],[]
57,4025,"[0,10,20,30]",0,[],"",4,[],[],[]
58,4011,"[0,25,50,75]",242,[],177,4,[],[],[]
59,3947,"[0,100000,1000000]",16265,[],"",3,[],[],[]
60,4062,"[0,18,26,38]",17443,[50],"",4,[],[],[]
61,4059,"[0,16,24,35]",17443,[50],"",4,[],[],[]
62,4061,"[0,12,20,29]",17443,[50],"",4,[],[],[]
63,4060,"[0,14,22,32]",17443,[50],"",4,[17495],[1],[4]
64,4051,"[1,34,70,90,120]",17640,[],123,5,[],[],[]
65,4082,"[0,22,55,88]",242,[],177,4,[],[],[]
66,4083,"[0,22,55,88]",242,[],177,4,[],[],[]
67,4084,"[0,22,55,88]",242,[],177,4,[],[],[]
68,4085,"[0,22,55,88]",242,[],177,4,[],[],[]
69,4115,"[0,1]",366,[],"",2,[],[],[]
70,4683,"[0,1,2]",367,[],"",3,[],[],[]
71,4254,"[0,1000,5000,10000,15000,20000]",240,[],116,6,[],[],[]
72,4221,"[0,18,26,38,38]",18359,"[52,53]",18293,5,"[18435,18435,17791,18435]","[1,1,1,1]","[3,4,5,5]"
73,4218,"[0,16,24,35]",18359,"[52,53]",18293,4,[],[],[]
74,4220,"[0,12,20,29]",18359,"[52,53]",18293,4,[],[],[]
75,4219,"[0,14,22,32]",18359,"[52,53]",18293,4,[],[],[]
76,4281,"[0,10,20,50,100,150,200]",18506,[],"",7,[],[],[]
