"rownum","string","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15172]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15172,15360]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15355]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15355,15360]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15356]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15356,15360]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15357]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15357,15360]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15358]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15358,15360]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15359]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15359,15360]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[15161]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[15161,15162]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[15161]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[15161]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[15161]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[15161]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[15163]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[15163,15162]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[15163]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[15163]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[15163]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[15163]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[15164]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[15164,15162]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[15164]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[15164]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[15164]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[15164]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[15165]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[15165,15162]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[15165]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[15165]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[15165]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[15165]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15166]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15166,15162]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15166]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15166]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15166]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15166]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15169,15167]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15169,15167,15162]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15169,15167]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15169,15167]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15169,15167]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15169,15167]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15170,15168]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15170,15168,15162]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15170,15168]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15170,15168]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15170,15168]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15170,15168]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15171,15161]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15171,15169]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[15161,15162,19922]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[15161,15162,19922]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[15161,15162,19922]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[15161,15162,19922]"
