"rownum","Id","PosX","PosY","Order","SizeX","SizeY","bool","Tab","i32","IsDisabled","Subtab","FragmentItems","bool","string","i32"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",220,74,0,1,1,"",0,70,"",0,[7121],"","",0
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",220,169,1,1,1,"",0,70,"",0,[7122],"","",0
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",122,169,2,1,1,"",0,70,"",0,[7123],"","",0
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",122,74,3,1,1,"",0,70,"",0,[7124],"","",0
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",744,74,4,1,1,"",0,70,"",0,[7126],"","",0
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",744,169,5,1,1,"",0,70,"",0,[7127],"","",0
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",647,169,6,1,1,"",0,70,"",0,[7128],"","",0
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",647,74,7,1,1,"",0,70,"",0,[7129],"","",0
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",482,74,8,1,1,"",0,70,1,0,[7131],"","",0
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",482,169,9,1,1,"",0,70,1,0,[7132],"","",0
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",385,169,10,1,1,"",0,70,1,0,[7133],"","",0
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",385,74,11,1,1,"",0,70,1,0,[7134],"","",0
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",482,697,12,1,1,"",0,70,"",0,[7136],"","",0
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",482,791,13,1,1,"",0,70,"",0,[7137],"","",0
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",385,791,14,1,1,"",0,70,"",0,[7138],"","",0
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",385,697,15,1,1,"",0,70,"",0,[7139],"","",0
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",122,584,16,1,1,"",0,70,"",0,[7156],"","",0
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",228,315,17,1,1,"",1,74,"",0,[7157],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsFireInvSlots",10
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",329,315,18,1,1,"",1,74,"",0,[7158],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsColdInvSlots",11
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",430,315,19,1,1,"",1,74,"",0,[7159],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsLightningInvSlots",12
20,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical",532,315,20,1,1,"",1,74,"",0,[7160],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsPhysicalInvSlots",13
21,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos",633,315,21,1,1,"",1,74,"",0,[7161],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsChaosInvSlots",14
22,"Metadata/Items/Currency/CurrencyBreachFireShard",228,197,22,1,1,1,1,74,"",0,[187],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardFireInvSlots",5
23,"Metadata/Items/Currency/CurrencyBreachColdShard",329,197,23,1,1,1,1,74,"",0,[188],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardColdInvSlots",6
24,"Metadata/Items/Currency/CurrencyBreachLightningShard",430,197,24,1,1,1,1,74,"",0,[189],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardLightningInvSlots",7
25,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",532,197,25,1,1,1,1,74,"",0,[190],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardPhysicalInvSlots",8
26,"Metadata/Items/Currency/CurrencyBreachChaosShard",633,197,26,1,1,1,1,74,"",0,[191],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardChaosInvSlots",9
27,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddess",247,584,27,1,1,"",0,70,"",0,[7193],"","",0
28,"Metadata/Items/Scarabs/ScarabBreach1",491,677,28,1,1,"",2,75,"",0,[9220],"","",0
29,"Metadata/Items/Scarabs/ScarabBreach2",592,677,29,1,1,"",2,75,"",0,[9221],"","",0
30,"Metadata/Items/Scarabs/ScarabBreach3",693,677,30,1,1,"",2,75,"",0,[9222],"","",0
31,"Metadata/Items/Scarabs/ScarabMaps1",491,287,31,1,1,"",2,75,"",0,[9224],"","",0
32,"Metadata/Items/Scarabs/ScarabMaps2",592,287,32,1,1,"",2,75,"",0,[9225],"","",0
33,"Metadata/Items/Scarabs/ScarabMaps3",693,287,33,1,1,"",2,75,"",0,[9226],"","",0
34,"Metadata/Items/Scarabs/ScarabUniques1",68,186,34,1,1,"",2,75,"",0,[9228],"","",0
35,"Metadata/Items/Scarabs/ScarabUniques2",169,186,35,1,1,"",2,75,"",0,[9229],"","",0
36,"Metadata/Items/Scarabs/ScarabUniques3",270,186,36,1,1,"",2,75,"",0,[9230],"","",0
37,"Metadata/Items/Scarabs/ScarabBeasts1",68,89,37,1,1,"",2,75,"",0,[9232],"","",0
38,"Metadata/Items/Scarabs/ScarabBeasts2",169,89,38,1,1,"",2,75,"",0,[9233],"","",0
39,"Metadata/Items/Scarabs/ScarabBeasts3",270,89,39,1,1,"",2,75,"",0,[9234],"","",0
40,"Metadata/Items/Scarabs/ScarabShaperRares1",491,89,40,1,1,"",2,75,"",0,[9240],"","",0
41,"Metadata/Items/Scarabs/ScarabShaperRares2",592,89,41,1,1,"",2,75,"",0,[9241],"","",0
42,"Metadata/Items/Scarabs/ScarabShaperRares3",693,89,42,1,1,"",2,75,"",0,[9242],"","",0
43,"Metadata/Items/Scarabs/ScarabElderRares1",491,482,43,1,1,"",2,75,"",0,[9244],"","",0
44,"Metadata/Items/Scarabs/ScarabElderRares2",592,482,44,1,1,"",2,75,"",0,[9245],"","",0
45,"Metadata/Items/Scarabs/ScarabElderRares3",693,482,45,1,1,"",2,75,"",0,[9246],"","",0
46,"Metadata/Items/Scarabs/ScarabSulphite1",68,382,46,1,1,"",2,75,"",0,[9248],"","",0
47,"Metadata/Items/Scarabs/ScarabSulphite2",169,382,47,1,1,"",2,75,"",0,[9249],"","",0
48,"Metadata/Items/Scarabs/ScarabSulphite3",270,382,48,1,1,"",2,75,"",0,[9250],"","",0
