"rownum","Id","SurgeEffects","IntId"
0,"FireBuffSurge","[3,46,48,49]",1
1,"ColdBuffSurge","[4,124]",2
2,"ColdAoESurge","[4,5]",3
3,"LightningBuffSurge",[6],4
4,"ChaosBuffSurge",[7],5
5,"HolySurge",[8],6
6,"PoisonSurge",[9],7
7,"AuraSurgeRed",[10],8
8,"AuraSurgePurple",[11],9
9,"AuraSurgeGreen",[12],10
10,"AuraSurgeLightGreen",[13],11
11,"AuraSurgeGolden",[14],12
12,"AuraSurgeBlue",[15],13
13,"FocusSurge",[16],14
14,"VortexSurge","[17,17,17,17,17,100,141]",15
15,"AuraSurgeHuntsman",[18],16
16,"AuraSurgeMapcap",[19],17
17,"MoltenShellCast","[20,21,22,114,125]",18
18,"VaalMoltenShellCast","[23,24,22,114,125]",19
19,"AuraSurgeOrange",[25],20
20,"MinionFocusFireSurge",[26],21
21,"AuraSurgePolarisBlack",[27],22
22,"AuraSurgePolarisWhite",[28],23
23,"FrenzyArrow","[29,81]",24
24,"BaseFireArrow","[30,101]",25
25,"BaseIceArrow","[31,90]",26
26,"BaseLightningArrow",[32],27
27,"BasePhysArrow",[33],28
28,"PunctureArrow","[34,92]",29
29,"BaseChaosArrow",[35],30
30,"BladeBurstSurge","[36,37,38,97]",31
31,"AuraSurgeScientist",[39],32
32,"StygianSurge",[40],33
33,"DarkSurge",[41],34
34,"AuraSurgeAngelic",[42],35
35,"AuraSurgeDemonic",[43],36
36,"DragonHunterSurge",[44],37
37,"DesecrateStygianSurge",[45],38
38,"GhostflameSurge",[46],39
39,"FlameBuffSurgeNew","[47,46,48,49,91,130]",40
40,"ColdBuffSurgeNew",[50],41
41,"LightningBuffSurgeNew",[51],42
42,"DetonateBrandsSurge",[52],43
43,"AuraSurgeSunrise",[53],44
44,"AuraSurgeNightfall",[54],45
45,"FireSurgeMultiSpeed",[0],46
46,"VoidSurge",[55],47
47,"BladeVortexIllusionist",[56],48
48,"AutomatonSurge",[57],49
49,"DeathWishSurge",[58],50
50,"DarkwoodSurge",[59],51
51,"LightningSurgeMultiSpeed","[2,76,48,57,8,77]",52
52,"ColdSurgeMultiSpeed",[1],53
53,"AuraSurgeEthercraftChaotic",[60],54
54,"AuraSurgeEthercraftEnraged",[61],55
55,"AuraSurgeEthercraftSavage",[62],56
56,"AuraSurgeEthercraftTranquil",[63],57
57,"BlasphemySurge",[64],58
58,"AuraSurgeSuffering",[65],59
59,"AuraSurgeMisery",[66],60
60,"AuraSurgeBlueDragon",[67],61
61,"AuraSurgeRedDragon",[68],62
62,"AuraSurgeCombinedDragon",[69],63
63,"AuraSurgeFrostViking",[70],64
64,"Firestorm","[47,46,49,71,117]",65
65,"AuraSurgeLightbringer",[72],66
66,"AuraSurgeDarkshard",[73],67
67,"BloodTendrils","[74,96]",68
68,"BloodSurgeSurge",[75],69
69,"AuraSurgeMerchant",[78],70
70,"CelestialSurge",[48],71
71,"CelestialWaveOfConvictionSurge",[79],72
72,"StygianWaveOfConvictionSurge",[80],73
73,"SummonRagingSpiritSurge","[3,46,82,83,84,85,86,107,108,118]",74
74,"PainSuppressionSurge",[87],75
75,"AuraSurgeSun",[88],76
76,"BloodreapSurge",[89],77
77,"AbsolutionBlastSurge",[93],79
78,"OverseerSurge",[94],80
79,"ScavengerSurge",[95],81
80,"ManaSurgeMultiSpeed",[98],82
81,"ColdSnapOverseerSurge",[99],83
82,"StormCultistLightning",[102],84
83,"EyeOfWinterCelestialSurge",[103],85
84,"TranscendenceSurge",[96],86
85,"AuraSurgeSiren",[104],87
86,"AuraSurgeDeepwater",[105],88
87,"FireballDirebladeSurge",[106],89
88,"CracklingLanceCelestialSurge",[109],90
89,"HeritageSurge",[110],91
90,"DivergenceSurge",[111],92
91,"FireballOblivionSurge",[112],93
92,"FireballOnyxOblivionSurge",[113],94
93,"ExsanguinateMercurialSurge",[115],95
94,"XenozakSurge",[116],96
95,"ForbiddenRiteCatSurge",[119],97
96,"FireballDemonicSurge",[120],98
97,"AuraSurgeCelestialNova",[121],99
98,"BloodSurgeHeritageSurge",[122],100
99,"LightningArrowDivineSurge",[123],101
100,"IceSpearVoidEmperorSurge",[124],102
101,"GalvanicFieldSurge",[127],103
102,"CelestialGalvanicFieldSurge",[128],104
103,"AutomatonGalvanicFieldSurge",[129],105
104,"StarfallReapSurge",[131],106
105,"PolymorphPlayerSurgeMTX",[132],107
106,"SummonerRingRitual",[133],108
107,"SummonerRingStygian",[134],109
108,"SummonerRingNecrotic",[135],110
109,"SummonerRingDivine",[136],111
110,"VaalVenomGyreSurge","[137,138]",112
111,"EyeOfWinterButterflySurge",[139],113
112,"ColdSnapBlightedSurge",[140],114
113,"ColdSnapDelirium",[142],115
114,"RollingThunderWaveOfConviction",[143],116
115,"FirestormMeteorShowerSurge",[117],117
116,"ArrowBaseSurgePhysRed",[34],118
117,"WildlifeGraceSurge",[144],119
118,"WildlifeDeterminationSurge",[145],120
119,"WildlifeDisciplineSurge",[146],121
120,"CorruptionCreepingFrostSurge",[147],122
