"rownum","Id","MinimapIconRadius","LargemapIconRadius","bool","bool","bool","MinimapIconPointerMaxDistance","i32"
0,"MyPlayer",1,1,1,"","",250,10
1,"PartyMember",1,1,1,"","",250,9
2,"OtherPlayer",1,1,1,"","",250,11
3,"NPC",1,1,"","",1,250,8
4,"Portal",2,2,1,"","",250,0
5,"QuestObject",3,2,"","",1,250,0
6,"QuestItem",3,2,"","","",250,0
7,"Shrine",2,2,1,"","",150,0
8,"StoryGlyph",2,2,"","",1,250,0
9,"Waypoint",2,2,"","",1,250,0
10,"RedFlag",2,2,1,"","",250,0
11,"BlueFlag",2,2,1,"","",250,0
12,"GreenFlag",2,2,1,"","",250,0
13,"Abyss",3,2,1,"","",250,0
14,"AbyssCrack",3,2,1,"","",250,0
15,"MissionTarget",3,2,1,"","",250,0
16,"MissionAlly",3,2,1,"","",250,0
17,"PartyLeader",1,1,1,"","",250,0
18,"Entrance",2,2,"","",1,250,0
19,"Labyrinth",3,3,1,"","",250,0
20,"StoneCircle",3,3,"","",1,250,0
21,"LabyrinthLever",2,2,"","",1,250,0
22,"LabyrinthDoor",2,2,"","",1,250,0
23,"VaalSideArea",2,2,"","",1,250,0
24,"LabyrinthEnchant",3,3,"","",1,250,0
25,"LabyrinthGoldKey",2,2,1,"","",250,0
26,"LabyrinthSilverKey",2,2,1,"","",250,0
27,"Essence",2,2,1,"","",150,0
28,"EntrancePortal",2,2,"","",1,250,0
29,"Breach",2,2,1,"","",150,0
30,"ConsoleMapArrowL",2,2,1,"","",250,0
31,"ConsoleMapArrowR",2,2,1,"","",250,0
32,"PCMapArrow",2,2,1,"","",250,0
33,"BestiaryBloodAlter",3,2,1,"","",250,0
34,"BestiaryRareMonster",3,2,1,"","",250,0
35,"BestiaryLegendaryBeast",3,2,1,"","",250,0
36,"BestiaryDeadMonster",3,2,1,"","",250,0
37,"IncursionArchitectUpgrade",2,2,1,"","",250,0
38,"IncursionArchitectReplace",2,2,1,"","",250,0
39,"IncursionDoorLocked",2,2,1,"","",250,0
40,"IncursionDoorOpen",2,2,1,"","",250,0
41,"IncursionCraftingBench",2,2,1,"","",250,0
42,"IncursionCraftingBenchSacrifice",2,2,1,"","",250,0
43,"IncursionCraftingBenchGem",2,2,1,"","",250,0
44,"DelveMapViewer",2,2,1,"","",250,0
45,"DelveMineralVein",2,2,1,"","",250,0
46,"LootFilterLargeBlueCircle",2,2,1,"","",250,0
47,"LootFilterMediumBlueCircle",2,2,1,"","",250,0
48,"LootFilterSmallBlueCircle",2,2,1,"","",250,0
49,"LootFilterLargeGreenCircle",2,2,1,"","",250,0
50,"LootFilterMediumGreenCircle",2,2,1,"","",250,0
51,"LootFilterSmallGreenCircle",2,2,1,"","",250,0
52,"LootFilterLargeBrownCircle",2,2,1,"","",250,0
53,"LootFilterMediumBrownCircle",2,2,1,"","",250,0
54,"LootFilterSmallBrownCircle",2,2,1,"","",250,0
55,"LootFilterLargeRedCircle",2,2,1,"","",250,0
56,"LootFilterMediumRedCircle",2,2,1,"","",250,0
57,"LootFilterSmallRedCircle",2,2,1,"","",250,0
58,"LootFilterLargeWhiteCircle",2,2,1,"","",250,0
59,"LootFilterMediumWhiteCircle",2,2,1,"","",250,0
60,"LootFilterSmallWhiteCircle",2,2,1,"","",250,0
61,"LootFilterLargeYellowCircle",2,2,1,"","",250,0
