"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2285,140,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4366,140,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",4928,140,1031,2,1
4,"EssenceBloodworm",4232,140,"",1,""
5,"Essence Elemental Swarm 1st stage",389,140,108,4,1
6,"Essence Elemental Swarm 2nd stage",390,140,108,2,1
7,"Essence Elemental Swarm 3rd stage",391,140,108,2,1
8,"Essence Rock Golem",4486,140,"",1,1
9,"Essence Explosive Insect",1536,140,"",1,1
10,"Volatile Flameblood",4955,140,"",1,1
11,"Obsidian Golem",4167,140,"",1,1
12,"TormentedBetrayerBeacon",7331,140,"",1,""
13,"BlightDaemonFire",7645,140,108,1,""
14,"BlightDaemonCold",7647,140,110,1,""
15,"BlightDaemonLightning",7649,140,441,1,""
16,"BlightDaemonPhysical",7651,140,516,1,""
17,"BlightDaemonChaos",7653,140,1046,1,""
