"rownum","Stat","StatValue"
0,0,100
1,8122,600
2,9898,1
3,8741,10
4,8742,10
5,2455,10
6,9852,10
7,9853,10
8,5613,10
9,5751,10
10,3619,10
11,2313,100
12,3360,1
13,3359,1
14,5804,10
15,2311,7
16,3046,10
17,4788,1
18,5827,1
19,8552,10
20,6547,5
21,13844,1
22,10341,1
23,9355,10
24,11793,1
25,13318,100
26,4947,0
27,10054,10
28,8454,4
29,11785,10
30,8067,1
31,12133,100
32,13520,10
33,13627,100
34,13628,100
35,13656,100
36,15899,100
37,13753,1
38,13797,100
39,14529,1
40,14589,10
41,15439,1
42,16143,100
43,16159,100
44,16987,1
45,16986,1
46,16155,1
47,16149,1
48,16153,1
49,16984,1
50,16684,10
51,16760,10
52,16826,10
53,16871,10
54,16974,0
55,2335,1
56,4931,1
57,16979,1
58,17027,100
59,17063,100
60,17058,100
61,17062,100
62,17107,10
63,17437,1
64,17707,1
