"rownum","RewardOffer","i32","Characters","Reward","RewardLevel","rid","i32","string","[rid]","RewardStack","bool","bool","[rid]","i32","i32","[rid]","i32","rid","i32","[rid]"
0,0,0,[1],5936,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
1,0,1,[1],6152,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
2,0,2,[1],6126,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
3,0,3,[1],5889,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
4,0,4,[1],6172,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
5,0,5,[1],6344,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
6,0,6,[6],6233,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
7,0,7,[6],6180,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
8,0,8,[6],6152,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
9,0,9,[6],6126,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
10,0,10,[6],6104,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
11,0,11,[6],6249,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
12,0,12,[0],5877,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
13,0,13,[0],6104,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
14,0,14,[0],6397,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
15,0,15,[4],5878,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
16,0,16,[4],6104,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
17,0,17,[4],6156,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
18,0,18,[4],6269,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
19,0,19,[4],6365,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
20,0,20,[3],5898,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
21,0,21,[3],5896,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
22,0,22,[3],6146,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
23,0,23,[3],6156,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
24,0,24,[3],5894,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
25,0,25,[5],5936,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
26,0,26,[5],6221,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
27,0,27,[5],6291,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
28,0,28,[5],6013,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
29,0,29,[5],6172,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
30,0,30,[5],6282,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
31,0,31,[2],6104,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
32,0,32,[2],5898,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
33,0,33,[2],6126,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
34,0,34,[2],6365,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
35,3,0,[1],6164,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
36,3,1,[1],6165,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
37,3,2,[1],6071,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
38,3,3,[1],6170,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
39,3,4,[1],5890,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
40,3,5,[1],6367,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
41,3,6,[6],6164,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
42,3,7,[6],6236,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
43,3,8,[6],6017,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
44,3,9,[6],6182,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
45,3,10,[6],6147,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
46,3,11,[6],6367,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
47,3,12,[0],6011,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
48,3,13,[0],5978,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
49,3,14,[0],6182,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
50,3,15,[0],6147,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
51,3,16,[4],5954,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
52,3,17,[4],6182,1,"",0,"",[],1,"","",[],1308,0,[],0,"",0,[]
