"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,7620,1164,120,79,"","g","Vaults of Atziri",""
1,8643,1142,171,149,"","Ç","Maelstrom of Chaos",""
2,8662,1198,175,153,"","Å","The Coward's Trial",""
3,8705,1215,177,159,"","Ô","Acton's Nightmare",""
4,8738,1184,207,191,"","ß","Poorjoy's Asylum",""
5,8755,1171,230,209,"","À","Mao Kun",""
6,8759,1220,234,213,"","#","Oba's Cursed Trove",""
7,8819,1154,237,216,"","$","Olmec's Sanctum",""
8,8820,1173,238,217,1,"","Untainted Paradise",""
9,8973,1222,324,303,"","¿","Death and Taxes",""
10,9140,1114,386,394,"","È","Whakawairua Tuahu",""
11,9874,1201,409,417,1,"Ù","Hall of Grandmasters",""
12,9875,1168,610,577,1,"²","The Vinktar Square",""
13,11174,1156,666,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,11243,1116,723,893,1,"™","The Perandus Manor",1
15,11560,1187,807,1049,"","Õ","The Putrid Cloister",""
16,11561,1144,809,1051,"","Ð","Hallowed Ground",""
17,11796,1252,959,1506,1,"","The Beachhead",""
18,11797,1253,959,1506,1,"","The Beachhead",""
19,11798,1254,959,1506,1,"","The Beachhead",""
20,11800,1176,961,1527,"","^","The Twilight Temple",""
21,11801,1126,965,1528,1,"‹","Doryani's Machinarium",""
22,11802,1152,969,1529,"","›","Pillars of Arun",""
23,12355,454,1189,2093,1,"","Altered Distant Memory",""
24,12356,455,1190,2094,1,"","Augmented Distant Memory",""
25,12357,456,1191,2095,1,"","Twisted Distant Memory",""
26,12358,457,1192,2096,1,"","Rewritten Distant Memory",""
27,12359,453,1193,2097,1,"","Cortex",""
28,11799,1255,1280,1506,1,"","Infused Beachhead",""
29,12360,453,1194,2097,1,"","Cortex",""
30,11803,1152,970,1529,1,"","Pillars of Arun",""
31,8739,1184,208,191,1,"","Poorjoy's Asylum",""
32,13029,1744,1408,1784,1,"","The Tower of Ordeals",""
