"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","IsSupport","bool","bool","bool","bool","bool","AwakenedVariant","RegularVariant","GrantedEffectHardMode","rid","i32","ItemExperienceType"
0,5870,0,0,0,100,"[11,25,5,4,14,0]",6080,"","","","","","","","","","",1,1,"","","","",3,0
1,6080,2985,0,0,100,"[11,25,5,4,14,24,0]","",1,"","",0,"","","","","","",1,1,"","","","",3,0
2,5871,58,0,0,100,"[11,25,4,14,1,38]",6089,"","","","","","","","","","",1,1,"","","","",3,4
3,5911,5137,0,0,100,"[11,25,4,14,5]",6080,"","","","","","","","","","",1,1,"","","","",3,0
4,6089,68,0,0,100,"[11,25,4,14,24,1,38]","",1,"","",58,"","","","","","",1,1,"","","","",3,4
5,5872,97,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","","","","","",1,1,"","",98,"",1,3
6,5924,5105,100,0,100,"[11,25,4,14,5,1]","","","","","","","","","","","",1,1,"","","","",3,8
7,5873,8081,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","","","","","",1,1,"","","","",2,8
8,5874,5123,0,60,40,"[10,25,13,14,30,33,7]",6588,"","","","","","","","","","",1,1,"","","","",2,8
9,5875,102,100,0,0,"[9,25,13,14,33,7]","","","","","","","","","","","",1,1,"","","","",1,4
10,5876,7423,100,0,0,"[9,25,13,14,7]","","","","","","","","","","","",1,1,"","","","",1,8
11,6110,104,100,0,0,"[9,25,13,14,24,33,7]","",1,"","","","","","","","","",1,1,"","","","",1,4
12,6090,5192,0,0,0,"[25,4,5,22]","","","","","","","","","","","",1,1,"","","","",4,3
13,5877,8142,100,0,0,"[9,25,13,14,40,7]",6092,"","","","","","","","","","",1,1,"","","","",1,0
14,6092,8146,100,0,0,"[9,25,13,14,24,40,7]","",1,"","",8142,"","","","","","",1,1,"","","","",1,0
15,5878,165,60,40,0,"[9,25,13,14,33,7]",6583,"","","","","","","","","","",1,1,"","","","",1,0
16,5879,186,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","","","","","",1,1,"","",187,"",1,3
17,5880,228,100,0,0,"[27,9,25,14,15]","","","","","","","","","","","",1,1,"","","","",1,3
18,5881,238,0,100,0,"[10,25,13,7,36,33]",6098,"","","","","","","","","","",1,1,"","","","",2,0
19,6098,8140,0,100,0,"[10,25,13,7,36,15,24,33]","",1,"","",238,"","","","","","",1,1,"","","","",2,0
20,5882,5171,40,60,0,"[10,25,13,14,33,7]","","","","","","","","","","","",1,1,"","","","",2,4
21,5883,246,0,100,0,"[10,25,13,5,7,36,0,1,2,14,45,6]","","","","","","","","","","","",1,1,"","","","",2,4
22,5884,258,100,0,0,"[9,25,4,15,34]","","","","","","","","","","","",1,1,"","","","",1,10
23,6086,260,100,0,0,"[9,25,4,15,24,34]","",1,"","",258,"","","","","","",1,1,"","","","",1,10
24,5885,264,40,60,0,"[47,10,25,13,7,36]","","","","","","","","","","","",1,1,"","","","",2,0
25,5886,275,0,60,40,"[10,25,13,22,35,7]","","","","","","","","","","","",1,1,"","",276,"",2,3
26,5887,310,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","","","","","",1,1,"","","","",2,5
27,5890,316,0,60,40,"[10,25,4,14,0]",6091,"","","","","","","","","","",1,1,"","","","",2,1
28,6091,8141,0,60,40,"[10,25,4,14,24,0]","",1,"","",316,"","","","","","",1,1,"","","","",2,1
29,5891,7415,0,60,40,"[10,25,4,14,0]","","","","","","","","","","","",1,1,"","","","",2,4
30,5892,7424,0,60,40,"[10,25,4,5,14,33]","","","","","","","","","","","",1,1,"","","","",2,3
31,5893,334,0,100,0,"[10,25,13,5,6]","","","","","","","","","","","",1,1,"","","","",2,3
32,5898,335,0,100,0,"[10,25,13,5,33,6]",6597,"","","","","","","","","","",1,1,"","","","",2,0
33,5899,534,100,0,0,"[0,33,9,16]","","","Supports any skill that hits enemies.",13640,"","","",1,"","","",1,1,435,"","","",1,2
34,5900,535,0,100,0,"[13,10,16]","","","Supports attack skills.",13735,"","","",1,"","","",1,1,"","","","",2,2
35,5901,537,0,100,0,"[10,16,5]","","","Supports projectile skills.",13679,"","","",1,"","","",1,1,452,"","","",2,11
36,5902,539,0,100,0,"[10,16,5]","","","Supports projectile skills.",13667,"","","",1,"","","",1,1,"","","","",2,2
37,5904,541,0,100,0,"[10,16,5]","","","Supports projectile skills.",13655,"","","",1,"","","",1,1,"","","","",2,9
38,5905,543,0,100,0,"[1,10,16]","","","Supports any skill that hits enemies.",13644,"","","",1,"","","",1,1,445,"","","",2,2
39,5906,545,40,60,0,"[13,10,16]","","","Supports attack skills.",13646,"","","",1,"","","",1,1,"","","","",2,2
40,5907,546,0,0,100,"[11,16,14]","","","Supports any skill with an area of effect.",13663,"","","",1,"","","",1,1,463,"","","",3,11
41,5908,548,0,0,100,"[2,11,16]","","","Supports any skill that hits enemies.",13743,"","","",1,"","","",1,1,457,"","","",3,2
42,5888,8072,0,40,60,"[11,25,4,14,1,15]",6094,"","","","","","","","","","",1,1,"","","","",3,5
43,6094,8079,0,40,60,"[11,25,4,14,15,24,1]","",1,"","",8072,"","","","","","",1,1,"","","","",3,5
44,5889,569,0,0,100,"[11,25,4,8]","","","","","",10242,"","","","","",1,1,"","","","",3,0
45,5894,581,0,100,0,"[10,25,13,5,14,15,3,6]",6585,"","","","","","","","","","",1,1,"","","","",2,0
46,5909,594,0,0,100,"[11,25,4,14]","","","","","","","","","","","",1,1,"","","","",3,3
47,5910,595,0,100,0,"[10,25,4,15,33]","","","","","","","","","","","",1,1,"","","","",2,5
48,5912,599,0,0,100,"[11,25,4,15,0]","","","","","","","","","","","",1,1,"","","","",3,3
49,5913,600,40,0,60,"[11,25,4,14,0]",6111,"","","","","","","","","","",1,1,"","","","",3,5
50,6111,8154,40,0,60,"[11,25,4,14,0,24,15]","",1,"","",600,"","","","","","",1,1,"","","","",3,5
51,5914,643,0,0,100,"[11,25,4,15,0]","","","","","","","","","","","",1,1,"","","","",3,3
52,5915,644,0,0,100,"[11,25,4,14,0,1,2,38]","","","","","","","","","","","",1,1,"","","","",3,8
53,5916,649,33,33,34,"[29,25,4]","","","","","","","","","","","",1,1,"","","","",4,12
54,6112,650,33,33,34,"[29,25,4,24]","",1,"","",649,"","","","","","",1,1,"","","","",4,12
55,5917,651,60,0,40,"[47,9,16]","","","Supports any skill. Minions, Totems, Traps and Mines cannot gain Inspiration Charges.",13645,"","","",1,"","","",1,1,"","","","",1,9
56,5918,656,0,0,100,"[47,11,16]","","","Supports any skill that hits enemies.",13680,"","","",1,"","","",1,1,"","","","",3,2
57,5919,658,0,0,100,"[47,11,16]","","","Supports any skill that hits enemies.",13669,"","","",1,"","","",1,1,"","","","",3,6
58,5920,659,100,0,0,"[9,16]","","","Supports any skill that hits enemies.",13664,"","","",1,"","","",1,1,"","","","",1,2
59,5921,661,100,0,0,"[9,16]","","","Supports any skill that hits enemies, causing those hits to leech life based on damage dealt.",13652,"","","",1,"","","",1,1,"","","","",1,9
60,5922,663,0,100,0,"[10,16]","","","Supports attack skills that hit enemies, causing those hits to leech mana based on damage dealt.",13643,"","","",1,"","","",1,1,"","","","",2,9
61,5923,664,0,0,100,"[3,11,16]","","","Supports any skill that hits enemies.",13744,"","","",1,"","","",1,1,456,"","","",3,9
62,5925,665,0,60,40,"[10,25,13,7,36]","","","","","","","","","","","",1,1,"","","","",2,0
63,5926,666,0,100,0,"[10,25,13,7,36,22,15]",6580,"","","","","","","","","","",1,1,"","","","",2,3
64,6580,674,0,100,0,"[10,25,13,7,36,22,24,15]","",1,"","",666,"","","","","","",1,1,"","","","",2,3
65,5927,813,0,0,100,"[11,25,4,5,15,2]",6082,"","","","","","","","","","",1,1,"","","","",3,0
66,6082,2989,0,0,100,"[11,25,4,5,15,24,2]","",1,"","",813,"","","","","","",1,1,"","","","",3,0
67,5996,5097,0,0,0,"[16,26]","","","","","","","",1,"","","",1,1,"","","","",4,12
68,5928,827,100,0,0,"[9,16]","","","Supports any skill that hits enemies, making it easier to stun enemies with those skills.",13658,"","","",1,"","","",1,1,"","","","",1,2
69,5929,829,0,0,100,"[47,11,25,4,5,1]","","","","","","","","","","","",1,1,"","","","",3,4
70,5930,845,0,100,0,"[10,16,5]","","","Supports projectile skills.",13734,"","","",1,"","","",1,1,"","","","",2,1
71,5931,846,0,60,40,"[10,16,20]","","","Supports spells, or attacks that use bows or wands. Instead of using that skill, you will throw a trap that will use the skill for you when an enemy walks near it. Traps cannot use channelling skills.",13673,"","","",1,"","","",1,1,"","","","",2,2
72,5932,848,0,0,100,"[11,25,4,8]","","","","","",10241,"","","","","",1,1,"","","","",3,8
73,5933,8144,100,0,0,"[9,25,13,14,7,36,0,15]","","","","","","","","","","","",1,1,"","","","",1,4
74,5934,856,100,0,0,"[9,25,13,7,36,1]",6099,"","","","","","","","","","",1,1,"","","","",1,0
75,6099,863,100,0,0,"[9,25,13,7,36,15,14,24,1]","",1,"","",856,"","","","","","",1,1,"","","","",1,0
76,5935,873,0,0,100,"[11,25,4,15,1]","","","","","","","","","","","",1,1,"","","","",3,1
77,5936,883,0,0,100,"[11,25,4,5,1]","","","","","","","","","","","",1,1,"","","","",3,0
78,5937,898,0,0,100,"[11,25,4,14,2,38]","","","","","","","","","","","",1,1,"","","","",3,8
79,5938,4260,0,0,100,"[11,25,4,14,2,38]","","","","","","","","","","","",1,1,"","","","",3,8
80,5939,934,0,100,0,"[10,25,13,15,7,36,3]","","","","","","","","","","","",1,1,"","","","",2,0
81,5940,4602,0,100,0,"[10,25,4,15,22,33,35]","","","","","","","","","","","",1,1,"","","","",2,8
82,5941,4602,0,100,0,"[10,25,4,15,22,33,35]","","","","","","","","","","","",1,1,"","","","",2,10
83,5942,943,100,0,0,"[7,33,9,16,13]","","","Supports melee attack skills.",13736,"","","",1,"","","",1,1,442,"","","",1,6
84,5943,944,100,0,0,"[9,16]","","","Supports any skill that can kill enemies.",13681,"","","",1,"","","",1,1,"","","","",1,7
85,5944,946,0,0,100,"[11,16]","","","Supports any skill that can kill enemies.",13682,"","","",1,"","","",1,1,"","","","",3,9
86,5945,947,0,0,100,"[11,16,4]","","","Supports non-instant spell skills.",13675,"","","",1,"","","",1,1,"","","","",3,6
87,5946,949,0,100,0,"[10,25,13,5,14,15,0,6]","","","","","","","","","","","",1,1,"","","","",2,8
88,5947,973,0,60,40,"[10,25,4,14,15,17,42]","","","","","","","","","","","",1,1,"","","","",2,7
89,5948,994,0,0,100,"[11,25,4,14,15,17,42]","","","","","","","","","","","",1,1,"","","","",3,7
90,5949,1004,60,40,0,"[9,25,4,17,43]","","","","","","","","","","","",1,1,"","","","",1,5
91,5950,1011,60,0,40,"[9,25,4,14,15,17,42]","","","","","","","","","","","",1,1,"","","","",1,7
92,5951,4497,60,0,40,"[9,25,4,14,15,17,42]","","","","","","","","","","","",1,1,"","","","",1,7
93,5952,1016,0,0,100,"[11,25,4,14,15,17,42]","","","","","","","","","","","",1,1,"","","","",3,7
94,5953,1029,0,40,60,"[47,11,25,4,17,43]","","","","","","","","","","","",1,1,"","","","",3,5
95,5954,1037,0,100,0,"[10,25,4,17,43]","","","","","","","","","","","",1,1,"","","","",2,1
96,5955,7944,0,40,60,"[11,25,4,14,15,3,17,42]","","","","","","","","","","","",1,1,"","","","",3,7
97,5956,1072,0,0,100,"[11,25,4,14,15,22,2,35]","","","","","","","","","","","",1,1,"","",1073,"",3,3
98,6085,1075,0,0,100,"[11,25,4,14,15,24,2,22,35]","",1,"","",1072,"","","","","","",1,1,"","","","",3,3
99,5957,1104,0,0,100,"[11,25,4,8,15]",6100,"","","","",10243,"","","","","",1,1,"","","","",3,3
