"rownum","rid","i32","i32","rid","bool","i32","i32","rid","rid","i32","i32"
0,2,0,1017370378,13265,1,7,3,"","",500,1500
1,3,0,1050253722,13304,1,7,3,"","",500,1500
2,6,0,1045220557,13314,1,7,3,"","",500,1500
3,4,0,1056964608,13281,1,7,3,"","",500,1500
4,5,0,1028443341,13290,1,7,3,"","",500,1500
5,1,0,1017370378,13244,1,7,3,"","",500,1500
6,7,0,1028443341,13334,1,7,3,"","",500,1500
7,8,0,1045220557,13322,1,7,3,"","",500,1500
8,9,0,1045220557,13332,1,7,3,"","",500,1500
9,2,0,1017370378,13370,1,7,3,"","",500,1500
10,3,0,1050253722,13409,1,7,3,"","",500,1500
11,6,0,1045220557,13419,1,7,3,"","",500,1500
12,4,0,1056964608,13386,1,7,3,"","",500,1500
13,5,0,1028443341,13395,1,7,3,"","",500,1500
14,1,0,1017370378,13342,1,7,3,"","",500,1500
15,7,0,1028443341,13446,1,7,3,"","",500,1500
16,8,0,1045220557,13427,1,7,3,"","",500,1500
17,9,0,1045220557,13437,1,7,3,"","",500,1500
18,2,0,1017370378,13477,1,7,3,"","",500,1500
19,3,0,1050253722,13514,1,7,3,"","",500,1500
20,6,0,1045220557,13523,1,7,3,"","",500,1500
21,4,0,1056964608,13493,1,7,3,"","",500,1500
22,5,0,1028443341,13502,1,7,3,"","",500,1500
23,1,0,1017370378,13455,1,7,3,"","",500,1500
24,7,0,1028443341,13543,1,7,3,"","",500,1500
25,8,0,1045220557,13531,1,7,3,"","",500,1500
26,9,0,1045220557,13540,1,7,3,"","",500,1500
27,2,0,1017370378,13572,1,7,3,"","",500,1500
28,3,0,1050253722,13611,1,7,3,"","",500,1500
29,6,0,1045220557,13620,1,7,3,"","",500,1500
30,4,0,1056964608,13588,1,7,3,"","",500,1500
31,5,0,1028443341,13598,1,7,3,"","",500,1500
32,1,0,1017370378,13551,1,7,3,"","",500,1500
33,7,0,1028443341,13640,1,7,3,"","",500,1500
34,8,0,1045220557,13628,1,7,3,"","",500,1500
35,9,0,1045220557,13637,1,7,3,"","",500,1500
36,11,0,1065353216,"","",5,3,"","",0,0
37,12,0,1065353216,"","",2,3,"","",0,0
38,13,0,1065353216,"","",2,3,"","",0,0
39,14,0,1065353216,"","",2,3,"","",0,0
40,15,0,1065353216,"","",7,3,"","",0,0
41,17,0,1065353216,"","",7,3,"","",0,0
42,16,0,1065353216,"","",7,3,"","",0,0
