"rownum","BlightTowersKey","i32","MonsterVarietiesKey","Cost","i32"
0,0,1,7402,0,0
1,1,1,7403,100,0
2,2,1,7404,150,0
3,3,1,7405,300,0
4,4,1,7406,500,0
5,5,1,7407,500,0
6,6,11,7408,100,0
7,7,11,7409,150,0
8,8,11,7410,300,0
9,9,11,7411,500,0
10,10,11,7412,500,0
11,11,45,7413,100,0
12,12,45,7414,150,0
13,13,45,7415,300,0
14,14,45,7416,500,0
15,15,45,7417,500,0
16,16,20,7418,100,0
17,17,20,7419,150,0
18,18,20,7420,300,0
19,19,20,7421,500,0
20,20,20,7422,500,0
21,21,6,7423,100,0
22,22,6,7424,150,0
23,23,6,7425,300,0
24,24,6,7426,500,0
25,25,6,7427,500,0
26,26,1,7428,100,0
27,27,1,7429,150,0
28,28,1,7430,300,0
29,29,1,7431,500,0
30,30,1,7432,500,0
