"rownum","WorldArea","CapturedVessel","QuestFlag","CapturedMonster","PanelLayout"
0,1141,9175,1389,1021,0
1,1147,9176,1390,4400,0
2,1206,9177,1391,4493,0
3,1214,9178,1392,5796,1
4,1192,9179,1393,2491,1
5,1135,9180,1394,2404,1
6,1120,9181,1395,4355,2
7,1224,9182,1396,4024,2
8,1183,9183,1397,5343,2
9,1175,9184,1398,5319,3
10,1266,9185,1399,5305,3
11,1260,9186,1400,8227,3
12,1146,9187,1402,2317,6
13,1143,9188,1405,5676,8
14,1228,9189,1406,5689,9
15,1231,9190,1407,5886,10
16,1189,9191,1401,5432,11
17,1134,9192,1404,5380,13
18,1238,9193,1408,5727,14
19,1161,9194,1403,1523,15
