"rownum","Id","BuffDefinitionsKeys","bool","BuffStacks","CharactersKey","StatsKeys","bool","StatValue","[rid]","bool"
0,"HasFority",[1892],"",1,"",[],"",1,[],""
1,"IsBurning",[],"",1,"",[3585],"",1,[],""
2,"IsCoveredInSpiders",[759],"",1,"",[],"",1,[],""
3,"HasWebbedX5",[820],"",5,"",[],"",1,[],""
4,"IsWebbed",[820],"",1,"",[],"",1,[],""
5,"HasGoddessBeam",[702],"",1,"",[],"",1,[],""
6,"IsFirebombed",[718],"",1,"",[],"",1,[],""
7,"HasGraspingVinesX10",[955],"",10,"",[],"",1,[],""
8,"HasCorruptedBloodX5",[],"",1,"",[1817],"",5,[],""
9,"HasPietysRage",[403],"",1,"",[],"",1,[],""
10,"IsJudged","[490,491]","",1,"",[],"",1,[],""
11,"IsWitch",[],"",1,1,[],"",1,[],""
12,"IsRanger",[],"",1,3,[],"",1,[],""
13,"IsMarauder",[],"",1,0,[],"",1,[],""
14,"IsTemplar",[],"",1,6,[],"",1,[],""
15,"IsDuelist",[],"",1,4,[],"",1,[],""
16,"IsShadow",[],"",1,5,[],"",1,[],""
17,"IsScion",[],"",1,2,[],"",1,[],""
18,"HasEffluentX10","[810,811,812]","",10,"",[],"",1,[],""
19,"HasRampage",[],"",1,"",[2330],"",1,[],""
20,"HasShrineBuff",[],"",1,"",[5701],"",1,[],""
21,"IsCursed",[],"",1,"",[719],"",1,[],""
22,"IsNotCursed",[],"",1,"",[719],"",0,[],""
23,"IsVulnerable",[77],"",1,"",[],"",1,[],""
24,"InSeaWitchBeam",[269],"",1,"",[],"",1,[],""
25,"HasTempleTempestBuff","[428,429,421,423,444,439,427]","",1,"",[],"",1,[],""
26,"HasTempleExposure",[1131],"",1,"",[],"",1,[],""
27,"AffectedByHereticalFlare",[22],"",1,"",[],"",1,[],""
28,"AffectedByDarkVortex",[865],"",1,"",[],"",1,[],""
29,"AffectedByMonsterConsecratedGround",[1239],"",1,"",[],"",1,[],""
30,"Rampage300",[313],"",299,"",[],"",1,[],""
31,"IsBleeding",[],"",1,"",[2035],"",1,[],""
32,"HasQuicksandX10",[923],"",10,"",[],"",1,[],""
33,"HasMortalCall",[108],"",1,"",[],"",1,[],""
34,"HasSapphireRingEquipped",[],"",1,"",[],"",1,[5110],""
35,"HasTopazRingEquipped",[],"",1,"",[],"",1,[5109],""
36,"HasSapphireRingAndTopazRingEquipped",[],"",1,"",[],"",1,"[5109,5110]",1
37,"IsBlinded",[],"",1,"",[969],"",1,[],""
38,"IsTaunted",[],"",1,"",[3418],"",1,[],""
39,"HasEmberstorm",[1603],"",1,"",[],"",1,[],""
40,"HasBoneRoil",[578],"",1,"",[],"",1,[],""
41,"HasDoedresTorment",[885],"",5,"",[],"",1,[],""
42,"HasDoedresWithering",[886],"",5,"",[],"",1,[],""
43,"HasDoedresSuffering",[887],"",5,"",[],"",1,[],""
44,"HasDivineShrine",[249],"",1,"",[],"",1,[],""
45,"HasCovetousShrine",[1962],"",1,"",[],"",1,[],""
46,"HasTemporalChains",[67],"",1,"",[],"",1,[],""
47,"HasConductivity",[71],"",1,"",[],"",1,[],""
48,"HasMoltenShell",[112],"",1,"",[],"",1,[],""
49,"HasTrialmasterTether",[1751],"",1,"",[],"",1,[],""
50,"AffectedByBearTrap",[159],"",1,"",[],"",1,[],""
51,"AffectedByToxicSwamp",[1716],"",1,"",[],"",1,[],""
52,"AffectedByScreechX4",[281],"",1,"",[],"",1,[],""
53,"HasRighteousFire",[13],"",1,"",[],"",1,[],""
54,"HasGlimpseOfInfinity",[1839],"",1,"",[],"",1,[],""
55,"HasIndifferenceOfTheCosmos",[1838],"",1,"",[],"",1,[],""
56,"IsPoisoned",[],"",1,"",[3673],"",1,[],""
57,"AffectedByTheBlackReaping",[1850],"",1,"",[],"",1,[],""
58,"AffectedByEnervation",[1860],"",1,"",[],"",1,[],""
59,"ActivatedEldritchAltarsWithWrathOfTheCosmosAllocatedX6",[2010],"",6,"",[],"",1,[],""
60,"IsChilled",[],"",1,"",[1802],"",1,[],""
61,"HasAnnihilatingLightX30",[1938],"",30,"",[],"",1,[],""
62,"HasCrushingDarknessX30",[1939],"",30,"",[],"",1,[],""
63,"HasCorrosiveHungerX50",[2012],"",50,"",[],"",1,[],""
64,"HasMavensPunishment","[1733,1734]","",1,"",[],"",1,[],""
65,"HasSearingRune",[2004],"",1,"",[],"",1,[],""
66,"HasDesolationoftheAwakener",[1417],"",1,"",[],"",1,[],""
67,"HasDecayandVortex","[692,989]",1,1,"",[],"",1,[],""
68,"PlayerinBreach",[],"",1,"",[8371],"",1,[],""
69,"HasShrineBuffX4",[],"",1,"",[5701],"",4,[],""
70,"KilledMetamorphin10seconds",[],"",1,"",[18454],"",1,[],""
