"rownum","Id","i32","Text"
0,"KeybladeText",28812,"Forged from thousands of unclaimed Beta keys"
1,"UniqueTwoHandAxe1",63457,"One by one, Kaom slaughtered the weakest tribe\r\nleaders until the others leapt to join his cause."
2,"UniqueOneHandSword1",55516,"As battle calms, blood turns to rust."
3,"UniqueAmulet1",34681,"You are slow, foolish and ignorant.\r\nI am not."
4,"UniqueRing1",65486,"Fear is highly infectious."
5,"UniqueRing2",28070,"A token from the sea\r\nA sign for Kaom\r\nto lead his Karui to Wraeclast."
6,"UniqueRing3",49827,"Danger is the price of wealth."
7,"UniqueBow1",32612,"\""See without doubt, slay without hesitation.\""\r\n- Marceus Lioneye of Sarn"
8,"UniqueAmulet2",55138,"The maidens of court swoon to see\r\nthe challengers crushed at your feet."
9,"UniqueBodyStrInt1",64924,"Although a great leader during the war,\r\nVoll proved disastrous in times of peace."
10,"UniqueDagger1",44922,"Divine intervention feels better\r\nwhen you do it yourself."
11,"UniqueBow2",33951,"\""The wild takes care of its own.\""\r\n- Hyrri of the Karui"
12,"UniqueOneHandSword2",35385,"In the rift between future and past,\r\nlife passes quickly."
13,"UniqueHelmetDexInt1",37403,"It was a sliver of Malachai's soul\r\nthat animated the first Eternal Guardian."
14,"UniqueHelmetStr1",60659,"Centuries of servitude, a day\r\nof glory, an eternity of death."
15,"UniqueBow3",47824,"The mournful music of the strings,\r\nThe creaking arch, the arrow sings.\r\nA choking cry, a rattled breath,\r\nThe Reaper's Song, the Harp of Death."
16,"UniqueStaff1",33121,"Burn to cinders, scar and maim,\r\nRule a world, bathed in flame."
17,"UniqueTwoHandMace1",1531,"\""The crack of bone, the spray of blood.\r\nIs there sweeter music?\""\r\n- Hrimnor of the Ezomytes."
18,"UniqueTwoHandMace2",41704,"\""One quick tap is all the persuasion you'll need.\""\r\n- Archbishop Geofri of Phrecia Cathedral"
19,"UniqueTwoHandSword1",27030,"\""Today, clansmen, my sword is my voice!\""\r\n- Rigwald, at the Battle of Glarryn"
20,"UniqueTwoHandSword2",35895,"Stoic visage, icy heart.\r\nLife of sorrow, lived apart."
21,"UniqueRing4",47327,"Where her mouth should have been\r\nthere was only a whirling, black void."
22,"UniqueRing4x",30722,"\""Prototype #8 makes it difficult to think negatively, but two fatalities\r\nresulted when a lead researcher used an epithet in its presence.\"""
23,"UniqueRing5",62611,"Doryani stumbled into a realm of madness\r\nAnd awoke its Master."
24,"UniqueQuiver1",60380,"Molten feathers, veiled spark,\r\nHissing arrows from the dark."
25,"UniqueQuiver2",17809,"Seeing only foot soldiers, the Sarn Knights cast aside\r\ntheir heavy shields... and paid dearly for their mistake."
26,"UniqueAmulet3",3906,"The breath of life is yours to give."
27,"UniqueAmulet5",6897,"\""Shoot first, ask no questions.\""\r\n- Karui wisdom"
28,"UniqueAmulet5x",23563,"\""In testing, Prototype #9 had no effect on fired arrows. However,\r\nan unknown spell did destroy the entire firing chamber.\"""
29,"UniqueAmulet6",53094,"Never blinking, always watching.\r\n\r\n<default>{This item can be transformed with a Blessing of Chayula}"
30,"UniqueBodyDex1",65142,"Hyrri loosed a barrage of arrows,\r\ntipped with a poisoned hatred\r\nonly oppression can ferment."
31,"UniqueBodyStr1",61508,"The warrior who\r\nfears will fall."
32,"UniqueBodyStr1x",49278,"\""Useless for our purposes, but perhaps we can sell Prototype #5\r\nto an archmage to fund other experiments.\"""
33,"UniqueDexHelmet1",47690,"Fairgraves' trusty tricorne accompanied him far across\r\nthe seas, deep under the ground, and even beyond death."
34,"UniqueDexHelmet2",36784,"Give of your heated passions.\r\nGive of your cold resolve.\r\nYou will be repaid."
35,"UniqueIntHelmet1",5018,"Lift it lightly, don it slow.\r\nThe spikes point out and in, you know."
36,"UniqueIntHelmet2",56458,"Asenath's mind was as quick and nimble\r\nas the fingers that drew her bowstring."
37,"UniqueIntHelmet3",18994,"\""It takes true strength to hold power,\r\nand my grip grows tighter by the day.\""\r\n - Emperor Chitus"
38,"UniqueStrHelmet2",53874,"Hrimnor's presence was as cold as ice,\r\nbut his heart burned for vengeance."
39,"UniqueStrDexHelmet1",41767,"We wander to pass time.\r\nWe travel to fulfill."
40,"UniqueHelmetStrInt1",34109,"\""The craven mind is sharp with self interest.\r\nThe honourable mind is much easier to manipulate.\""\r\n - Malachai the Soulless"
41,"UniqueHelmetStrInt2",23991,"In the battle for honour, Geofri won.\r\nNot so, the battle for survival."
42,"UniqueAmulet4",19103,"It is said to make you invisible when the Great\r\nSpirit comes to take you on your final journey."
43,"UniqueBootsInt1",21057,"Wonders abound at death's door."
44,"UniqueDagger2",64498,"A mighty beast, a lavish feast."
45,"UniqueBootsStrDex1",60090,"Stand and lead the righteous pride,\r\nFight till death, never hide."
46,"UniqueBootsStrDex1x",29092,"\""Twelve dead, and the seventh lab cannot be entered for several years.\r\nPrototype #12 is a 'success,' if we can ever reach it.\"""
47,"UniqueBootsStrInt1",48313,"Tempest's power given form,\r\nFlee before the walking storm."
48,"UniqueBootsInt2",33086,"All the world is my home."
49,"UniqueBootsInt3",35340,"Shavronne raced to Brutus' side,\r\nher last hope against the Karui tide."
50,"UniqueBootsDexInt1",27963,"Blazing body, shining bold.\r\nDance beneath the orb of gold!"
51,"UniqueBootsStr1",15639,"The mocking wind, a shielding spell,\r\nThe haunting screams, a maddening hell."
52,"UniqueGlovesDex1",43965,"Of ancient giants, none remain,\r\nTheir only trace is timeless pain."
53,"UniqueGlovesDex2",17141,"Maligaro operated effortlessly,\r\nwith great speed and terrible consequences."
