"rownum","Id","rid","rid","rid","[rid]","[rid]","[rid]","[rid]"
0,"Poisoner","","",410,[],[],[],[]
1,"VoidTouched","","",411,[],[],[],[]
2,"FrostTouched",6236,9,"",[1002],[],[],[]
3,"Freezer",6237,8,"",[],[],[],[]
4,"Raider","","",412,[],[],[],[]
5,"Deadeye","","",436,[],[],[],[]
6,"Bombardier","","","",[],[],[],[]
7,"FlameTouched",6232,9,"",[1001],[],[],[]
8,"Igniter",6233,8,"",[],[],[],[]
9,"ArcaneEnchanted","","",413,[],[8874],[],[]
10,"Echoist","","",414,[],[],[],[]
11,"StormTouched",6234,9,"",[1003],[],[],[]
12,"Shocker",6235,8,"",[],[],[],[]
13,"Bonebreaker","","","",[],[],[],[]
14,"Bloodletter","","","",[],[],[],[]
15,"BloodletterMagic","","",416,[],[],[],[]
16,"SteelAttuned",6238,9,"",[],[],[],[]
17,"Gargantuan","","","",[],[],[],[]
18,"Berserker","","",417,[],[],[],[]
19,"Defender","","","",[],[8990],[],[]
20,"Juggernaut","","",455,[],[],[],[]
21,"Vampiric","","",418,[],[],[],[]
22,"ChargeGenerator","","",419,[],[],[],[]
23,"SoulConduit","","","",[],[],[],[]
24,"Wealthy","","",420,[],[],[],[]
25,"Oppressor","","",433,[],[],[],[]
26,"Consecration","","",421,[],[],[],[]
27,"Rampage","","","",[],[],[],[]
28,"HeraldOfTheObelisk","","","",[],[8909],"[6218,6219]",[]
29,"UnionOfSouls","","","",[],[],[],[]
30,"Assassin","","",423,[],[],[],[]
31,"Trickster","","","",[1696],[],[],[]
32,"Necromancer","","",450,[],[],[],[]
33,"Rejuvenating","","","","[1692,1693]",[],[],[]
34,"Executioner","","","",[],[],[],[]
35,"Hexer","","","","[65,73]",[8905],[],[]
36,"FlaskDrain","","","",[],[],[],[]
37,"GraspingVines","","",425,[],[],[5085],[]
38,"TimeBubble","","","",[],[],[],[]
39,"Saplings","","","",[],[8966],[],[404]
40,"FrostWalker","","",426,[],[],[],[]
41,"GlacialCage",6242,10,"",[],[],[],[]
42,"SoulEater","","","",[],[],[],[]
43,"FlameWalker","","",427,[],[],[],[]
44,"CorpseExploder","","","",[],[],[],[]
45,"Prismatic",6350,9,"",[],[],[],[]
46,"VolatileFlameBlood","","","",[],[],[],[]
47,"MirrorImage","","","",[],[],[],[]
48,"LightningWalker","","",428,[],[],[],[]
49,"ManaDonut","","","",[],[],[],[]
50,"Corrupter","","",429,[],[],[],[]
51,"DivineTouched","","","",[],[],[],[]
52,"LivingCrystals","","",435,[],[8989],[],[]
53,"CycleOfElements","","","",[],[],[],[]
54,"VoodooDoll","","","",[],[],[],[]
55,"Lunaris","","","",[],[],[],[]
56,"Solaris","","","",[],[],[],[]
57,"Arakaali","","","",[],[],[],[]
58,"BrineKing","","","",[],[],[],[]
59,"Tukohama","","","",[],[],[],[]
60,"Abberath","","","",[],[],[],[]
61,"Shakari","","","",[],[],[],[]
62,"Innocence","","","",[],[],[],[]
63,"Kitava","","","",[],[],[],[]
