"rownum","string","rid","rid","i32"
0,"UniqueOneHandSword1",7046,9,1
1,"UniqueBow2",7055,13,1
2,"UniqueWand4",8951,8,1
3,"UniqueClaw4",8741,6,3
4,"UniqueStaff4",8988,14,4
5,"UniqueStaff9",9891,14,4
6,"UniqueBow4",8055,13,5
7,"UniqueDagger11",10590,7,5
8,"UniqueOneHandAxe3",8984,11,6
9,"UniqueRapier1",8034,10,7
10,"UniqueBow8",8553,13,9
11,"UniqueOneHandSword12",10599,9,10
12,"UniqueOneHandMace6",10601,12,10
13,"UniqueTwoHandSword2",7065,15,12
14,"UniqueClaw9",10595,6,12
15,"UniqueWand12",11142,8,24
16,"UniqueTwoHandAxe3",8058,16,13
17,"UniqueStaff13",10594,57,13
18,"UniqueDagger12",10591,7,15
19,"UniqueOneHandAxe7",10597,11,16
20,"UniqueTwoHandMace1",7061,17,17
21,"UniqueRapier2",8736,10,17
22,"UniqueDagger3",8048,56,20
23,"UniqueOneHandMace1",8053,12,20
24,"UniqueOneHandMace7",10602,12,20
25,"UniqueOneHandSword16",11210,9,20
26,"UniqueTwoHandMace7",8861,17,22
27,"UniqueOneHandSword7",9135,10,22
28,"UniqueTwoHandSword7",9387,15,22
29,"UniqueClaw6",8744,6,26
30,"UniqueRapier5",11569,10,26
31,"UniqueTwoHandMace2",7062,17,27
32,"UniqueOneHandSword4",8832,9,28
33,"UniqueBow11",9131,13,28
34,"UniqueOneHandSword13",10600,9,28
35,"UniqueOneHandAxe6",10433,11,29
36,"UniqueDagger2",7089,7,30
37,"UniqueWand9",10507,8,30
38,"UniqueBow3",7059,13,32
39,"UniqueOneHandMace8",10603,12,32
40,"UniqueTwoHandAxe2",8032,16,33
41,"UniqueClaw2",8079,6,34
42,"UniqueTwoHandMace10",11204,17,40
43,"UniqueSceptre1",8076,32,41
44,"UniqueSceptre2",8673,32,41
45,"UniqueRapier4",11212,10,43
46,"UniqueTwoHandSword1",7064,15,44
47,"UniqueDagger13",11206,56,44
48,"UniqueTwoHandAxe4",8552,16,45
49,"UniqueClaw8",10439,6,46
50,"UniqueOneHandClaw12",11188,6,46
51,"UniqueOneHandSword18",11244,9,47
52,"UniqueOneHandMace10",11208,12,50
53,"UniqueTwoHandSword3",8033,15,51
54,"UniqueStaff18",11714,14,52
55,"UniqueBow7",8068,13,53
56,"UniqueOneHandSword5",8895,9,53
57,"UniqueTwoHandMace4",8059,17,54
58,"UniqueTwoHandAxe14",11202,16,55
59,"UniqueSceptre10",10430,32,72
60,"UniqueWand11",11126,8,59
61,"UniqueTwoHandMace3",8043,17,57
62,"UniqueTwoHandAxe1",7045,16,58
63,"UniqueDagger8",8990,56,58
64,"UniqueOneHandSword11",10434,9,58
65,"UniqueWand1",8039,8,59
66,"UniqueOneHandAxe1",8764,11,65
67,"UniqueTwoHandSword10",11394,15,59
68,"UniqueOneHandMace4",10428,12,60
69,"UniqueOneHandSword19",11385,9,60
70,"UniqueClaw18",11789,6,60
71,"UniqueDagger16",11790,7,60
72,"UniqueDagger21",11855,7,60
73,"UniqueTwoHandSword11",11424,15,61
74,"UniqueBow5",8057,13,62
75,"UniqueBow6",8062,13,62
76,"UniqueClaw3",8707,6,62
77,"UniqueOneHandSword6",9132,9,62
78,"UniqueTwoHandAxe16",11993,16,62
79,"UniqueTwoHandMace11",11427,17,77
80,"UniqueOneHandAxe10",11830,11,63
81,"UniqueOneHandSword3",8753,9,64
82,"UniqueBow10",8871,13,64
83,"UniqueDagger9",9180,56,64
84,"UniqueTwoHandAxe10",11112,16,64
85,"UniqueOneHandSword17",11219,9,64
86,"UniqueOneHandAxe5",8976,11,65
87,"UniqueTwoHandSword8",9877,15,65
88,"UniqueTwoHandMace12",11693,17,65
89,"UniqueBow1",7051,13,66
90,"UniqueClaw1",8070,6,66
91,"UniqueBow9",8840,13,70
92,"UniqueOneHandMace5",10429,12,66
93,"UniqueClaw10",11060,6,66
94,"UniqueTwoHandAxe15",11689,16,66
95,"UniqueDagger17",11953,56,66
96,"UniqueTwoHandMace6",8830,17,67
97,"UniqueTwoHandSword6",8892,15,67
98,"UniqueStaff7",9139,57,71
99,"UniqueBow15",11232,13,68
100,"UniqueClaw14",11392,6,68
101,"UniqueOneHandSword20",11428,9,77
102,"UniqueBow17",11542,13,77
103,"UniqueTwoHandAxe13",11654,16,68
104,"UniqueOneHandSword24",11756,9,68
105,"UniqueOneHandAxe2",8916,11,69
106,"UniqueClaw13",11227,6,70
107,"UniqueClaw15",11545,6,77
108,"UniqueStaff20",11780,14,66
109,"UniqueStaff27",11840,57,60
110,"UniqueStaff22",11988,57,64
111,"UniqueStaff24",12109,57,68
112,"UniqueOneHandSword29",12040,9,56
113,"UniqueOneHandSword30",12041,9,56
114,"UniqueOneHandSword31",12393,9,62
115,"UniqueTwoHandSword12",11550,15,67
116,"UniqueTwoHandSword13",11550,15,67
117,"UniqueTwoHandSword14",13026,15,67
118,"UniqueDagger20",11836,7,60
119,"UniqueBow18",11589,13,58
120,"UniqueBow19",11590,13,58
121,"UniqueBow22",12163,13,57
122,"UniqueBow23",12972,13,58
123,"UniqueBow21",11973,13,75
124,"UniqueBow20",11954,13,62
125,"UniqueBow16",11409,13,64
126,"UniqueTwoHandAxe7",9104,16,64
127,"UniqueTwoHandAxe9",10517,16,66
