"rownum","RecipeId","Description","CraftingItemClassCategoriesKeys","UnlockDescription","Rank","UnlockArea"
0,146,"Movement Speed - Rank 1",[8],"",1,38
1,161,"Spell Damage - Rank 1","[0,1,2,3]","",1,39
2,158,"Physical Damage - Rank 1","[0,1,2,3,4,7,9,10,13]","",1,51
3,170,"Fire Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,49
4,173,"Cold Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,65
5,176,"Lightning Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,54
6,133,"Elemental Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,71
7,141,"Attributes - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,95
8,168,"Attack, Cast and Warcry Speed - Rank 1","[0,1,2,3,4,7,9,10]","",1,62
9,180,"Chaos Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,117
10,147,"Movement Speed and Exerted Attacks - Rank 2","[8,9,10,11]","",2,81
11,159,"Physical Damage - Rank 2","[0,1,2,3,4,9,10]","",2,82
12,183,"Accuracy - Rank 1","[0,1,2,3,4,5,7,9,10,13]","",1,83
13,142,"Attributes - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,1149
14,149,"Life and Mana - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,100
15,162,"Spell Damage - Rank 2","[0,1,2,3]","",2,93
16,187,"Defences - Rank 1","[4,5,6,7,8]","",1,44
17,171,"Fire Damage - Rank 2","[0,1,2,3,9,10]","",2,113
18,174,"Cold Damage - Rank 2","[0,1,2,3,9,10]","",2,114
19,178,"Lightning Damage - Rank 2","[0,1,2,3,9,10]","",2,107
20,185,"Accuracy - Rank 2","[0,1,2,3,4,5,7,9,10,13]","",2,151
21,135,"Elemental Resistances - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,121
22,228,"Minions - Rank 1","[0,1,2,3,5,7,9,10]","",1,127
23,230,"Traps and Mines - Rank 1","[0,1,2,3]","",1,133
24,160,"Physical Damage - Rank 3","[0,1,2,3]","",3,143
25,163,"Spell Damage - Rank 3","[0,1,2,3]","",3,141
26,169,"Attack and Cast Speed - Rank 2","[0,1,2,3,4,10]","",2,138
27,150,"Life and Mana - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,153
28,181,"Chaos Damage - Rank 2","[0,1,2,3,9,10]","",2,156
29,188,"Defences - Rank 2","[4,5,6,7,8]","",2,90
30,148,"Movement Speed and Flask Enchantments - Rank 3","[8,12]","Epilogue",3,165
31,139,"All Resistances - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Aspirant's Trial",1,530
32,137,"Double Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Cruel Aspirant's Trial",2,602
33,138,"Double Resistances - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Merciless Aspirant's Trial",3,674
34,140,"All Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Eternal Aspirant's Trial",2,746
35,166,"Elemental Damage with Attacks - Rank 1","[0,1,2,3,9,10,11,13]","Labyrinth Trial in The Catacombs",1,46
36,144,"All Attributes - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Imperial Gardens",1,55
37,136,"Double Resistances - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Lower Prison",1,92
38,164,"Damage over Time - Rank 1","[0,1,2,3]","Labyrinth Trial in The Crypt",1,106
39,156,"Mana Regen - Rank 1","[0,1,2,3,4,9,10]","Labyrinth Trial in The Chamber of Sins Level 2",1,108
40,192,"Flask Duration - Rank 1",[11],"Labyrinth Trial in The Bath House",1,124
41,145,"All Attributes - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Tunnel",2,142
42,234,"Socket Numbers - 2 to 4 Sockets","[0,1,2,3,6,7,8,5,4]","",0,69
43,237,"Socket Numbers - 5 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1192
44,238,"Socket Numbers - 6 Sockets","[0,1,2,3,6,7,8,5,4]","",0,1091
45,239,"Socket Links - 2 to 4 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,67
46,242,"Socket Links - 5 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1135
47,243,"Socket Links - 6 Linked Sockets","[0,1,2,3,6,7,8,5,4]","",0,1238
48,244,"Socket Colours","[0,1,2,3,6,7,8,5,4]","",0,63
49,151,"Life and Mana - Rank 4","[0,1,2,3,6,7,8,5,4]","",4,1229
50,196,"Attack and Spell Block - Rank 1",[4],"",1,1174
51,193,"Flask Duration - Rank 2",[11],"",2,1256
52,195,"Ailment, Stun and Curse Mitigation - Rank 2","[5,7,8,9]","",2,1237
53,191,"Criticals - Rank 2","[0,1,2,3,10,13]","",2,1236
54,199,"Special Defences - Rank 2","[6,4,5,7,8]","",2,1145
55,197,"Attack and Spell Block - Rank 2",[4],"",2,1193
56,253,"Global Energy Shield - Rank 2","[10,9]","",2,1267
57,172,"Fire Damage - Rank 3","[0,1,2,3]","",3,1098
58,190,"Criticals - Rank 1","[0,1,2,3,10,13]","",1,1143
59,175,"Cold Damage - Rank 3","[0,1,2,3]","",3,1217
60,179,"Lightning Damage - Rank 3","[0,1,2,3]","",3,1166
61,198,"Special Defences - Rank 1","[6,4,5,7,8]","",1,1258
62,157,"Mana Regen - Rank 2","[0,1,2,3,9,10,4]","",2,1136
63,165,"Damage over Time - Rank 2","[0,1,2,3]","",2,1210
64,229,"Minions - Rank 2","[0,1,2,3,7,5,9,10]","",2,1200
65,167,"Elemental Damage with Attacks - Rank 2","[0,1,2,3,9,10,11,13]","",2,1202
66,194,"Ailment, Stun and Curse Mitigation - Rank 1","[5,7,8,9,4,13]","",1,73
67,189,"Defences - Rank 3","[6,8,7,5,4]","",3,1109
68,252,"Global Energy Shield - Rank 1","[10,9]","",1,1120
69,261,"Physical Damage - Rank 4","[0,1,2,3]","",4,1227
70,262,"Spell Damage - Rank 4","[0,1,2,3]","",4,1186
71,109,"Attack and Cast Speed - Rank 3","[0,1,2,3]","",3,1104
72,153,"Life - Rank 5",[6],"",5,1190
73,154,"Leech - Rank 1","[0,1,2,3,7,9,10,13]","",1,1141
74,155,"Leech - Rank 2","[0,1,2,3,7,10]","",2,1189
75,182,"Chaos Damage - Rank 3","[0,1,2,3]","",3,1208
76,186,"Accuracy - Rank 3","[0,1,2,3,4,7,5,9,10,13]","",3,1167
77,226,"Reduced Damage over Time","[4,11]","",0,1263
78,227,"Animated Guardian and Light Radius",[6],"",0,1265
79,231,"Traps and Mines - Rank 2","[0,1,2,3]","",2,1099
80,254,"Criticals - Rank 3","[0,1,2,3]","",3,1228
81,255,"Minions - Rank 3","[0,1,2,3]","",3,1097
82,249,"Prefixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1198
83,250,"Suffixes cannot be Changed","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1220
84,251,"Can have up to 3 Crafted Modifiers","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1187
85,247,"Cannot roll Attack Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1156
86,248,"Cannot roll Caster Mods","[0,1,2,3,6,7,8,5,4,9,10,11,13]","",0,1114
