"rownum","Item","rid","rid","i32","rid","[rid]","bool","bool","rid","i32","rid","Script","rid"
0,9546,2284,"",225,"",[],"","","",1308,"","",""
1,9547,1870,"",351,"",[],"","","",1308,"","",""
2,9548,1869,"",352,"",[],"","","",1308,"","",""
3,9555,2301,"",979,"",[],"",1,888,1308,"","",""
4,9556,2302,"",980,"",[],"",1,888,1308,"","",""
5,9557,2303,"",981,"",[],"",1,888,1308,"","",""
6,9558,2304,"",982,"",[],"",1,888,1308,"","",""
7,5859,2583,"",1156,"",[],"","",903,1308,"","",""
8,5860,2584,"",1157,"",[],"","",904,1308,"","",""
9,5861,2594,"",1160,"",[],"","",905,1308,"","",""
10,10091,953,"",207,"",[],"",1,890,1308,"","",""
11,10093,954,"",212,"",[],"",1,6139,1308,"","",""
12,10095,955,"",323,"",[],"",1,891,1308,"","",""
13,10097,956,"",328,"",[],"",1,6140,1308,"","",""
14,5763,2007,"",662,"",[],"","",886,662,900,"skill_book",""
15,5764,2008,"",663,"",[],"","",886,663,900,"skill_book",""
16,5765,2009,"",664,"",[],"","",886,664,900,"skill_book",""
17,5766,2010,"",665,"",[],"","",886,665,900,"skill_book",""
18,5767,2012,"",675,"",[],"","",886,675,900,"skill_book",""
19,5768,2013,"",676,"",[],"","",886,676,900,"skill_book",""
20,5862,1518,1516,1308,1516,[],"","",906,1308,"","sentinel_controller",""
