"rownum","Id","MiscObject","i32","string","string","[i32]","bool","i32","bool"
0,"EpilogueTown",17,36,"Metadata/QuestObjects/MapRoom/Orrery","gear_jnt","[-24,0]",1,20,1
1,"Hideout_Small","",18,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","",[],1,0,""
2,"Hideout_Large",18,36,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","aux_potralbutton_attachment","[-24,0]",1,20,1
3,"Maligaro_Quest",16,36,"Metadata/QuestObjects/Act7/MaligaroOrrery_Main","",[],"",0,1
4,"SynthesisBoss1",271,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_FinalBoss","",[],"",0,""
5,"SynthesisGuardian1",271,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian1","",[],"",0,""
6,"SynthesisGuardian2",271,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian2","",[],"",0,""
7,"SynthesisGuardian3",271,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian3","",[],"",0,""
8,"SynthesisGuardian4",271,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian4","",[],"",0,""
9,"MiracleMapDevice",332,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice","aux_potralbutton_attachment","[-14,0]",1,0,1
10,"MiracleMapDevice1",332,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice1","aux_potralbutton_attachment","[-14,0]",1,0,1
11,"MiracleMapDevice2",332,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice2","aux_potralbutton_attachment","[-25,0]",1,0,1
12,"MiracleMapDevice3",332,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice3","aux_potralbutton_attachment","[-25,0]",1,0,1
13,"AstrolabeMapDevice","",18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/AstrolabeMapDevice","",[],1,0,""
14,"SyntheticMapDevice",560,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SyntheticMapDevice","aux_portalbutton_attachment","[-28,0]",1,0,1
15,"DemonicMapDevice",576,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/DemonicMapDevice","pyre_jntBnd","[-30,0]",1,0,1
16,"EldritchReaperMapDeviceSmall","",18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDevice","",[],1,0,""
17,"EldritchReaperMapDeviceLarge",619,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDevice","aux_brazier_attach","[-18,2]",1,0,1
18,"MagebloomMapDevice",621,24,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PauaMapDevice","aux_receptacle_jntBnd","[-17,0]",1,0,1
19,"SunMapDevice",1164,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SunMapDevice","aux_pedestal_attach","[-20,0]",1,20,1
20,"BloodlordMapDevice",1167,31,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PetBlenderMapDevice","aux_button_attach","[-31,0]",1,0,1
