"rownum","string","[rid]","[i32]","rid","rid","i32","bool","i32","bool"
0,"CultistSpiritWeapon",[16761],[1],179,40,1,1,16777216,""
1,"MercenarySpiritWeapon",[16762],[1],180,40,1,1,16777216,""
2,"PyromaniacSpiritWeapon",[16763],[1],181,40,1,1,16777216,""
3,"TemplarZealotSpiritWeapon",[16764],[1],182,40,1,1,16777216,""
4,"PredatoryFarrulsFurApparition",[16829],[1],183,0,3,1,16777216,""
5,"OshabisHeaddressStrApparition",[16837],[1],184,3,3,1,16777216,""
6,"OshabisHeaddressDexApparition",[16838],[1],185,3,3,1,16777216,""
7,"OshabisHeaddressIntApparition",[16839],[1],186,3,3,1,16777216,""
8,"HateforgeAtziriApparition",[17295],[1],194,4,2,1,0,""
9,"VentorsGambleBoxCars",[17355],[1],195,3,2,1,16777216,1
10,"VentorsGambleSnakeEyes",[17355],[1],196,3,2,1,16777216,1
