"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","[rid]","i32","i32","i32"
0,74,"","","","","","","","","","","","",1866,3135,"","",3135,"","","","","",-1010710615,1,47,"[12486,12502]",0,1,700,1854,"","","",1866,3135,"",3135,3135,3135,3135,1866,1854,1866,1866,1866,1866,1854,1854,1854,1854,1854,1854,1854,12339,35,3135,3641,3641,3641,3135,"","","[12494,12502]",1905,1,100
1,75,"","","","","","","","","","","","",1867,3136,"","",3136,"","","","","",1794042691,12,67,"[12487,12502]",0,2,770,1855,"","","",1867,3136,"",3136,3136,3136,3136,1867,1855,1867,1867,1867,1867,1855,1855,1855,1855,1855,1855,1855,12340,45,3136,3642,3642,3642,3136,"","","[12495,12502]",1905,12,100
2,76,"","","","","","","","","","","","",1869,3137,"","",3137,"","","","","",-1926556014,30,100,"[12488,12502]",0,3,847,1857,"","","",1869,3137,"",3137,3137,3137,3137,1869,1857,1869,1869,1869,1869,1857,1857,1857,1857,1857,1857,1857,12341,60,3137,3643,3643,3643,3137,"","","[12496,12502]",1905,30,100
3,77,"","","","","","","","","","","","",1871,3138,"","",3138,"","","","","",1130285480,48,100,"[12489,12502]",0,4,931,1859,"","","",1871,3138,"",3138,3138,3138,3138,1871,1859,1871,1871,1871,1871,1859,1859,1859,1859,1859,1859,1859,12342,75,3138,3644,3644,3644,3138,"","","[12497,12502]",841,48,100
4,78,"","","","","","","","","","","","",1873,3140,"","",3140,"","","","","",2062300730,68,100,"[12490,12502]",0,5,1024,1861,"","","",1873,3140,"",3140,3140,3140,3140,1873,1861,1873,1873,1873,1873,1861,1861,1861,1861,1861,1861,1861,12343,0,3140,3645,3645,3645,3140,"",1,"[12498,12502]",56,68,100
5,79,"","","","","","","","","","","","",1874,3141,"","",3141,"","","","","",-2071586625,0,0,"[12491,12502]",0,6,0,1862,"","","",1874,3141,"",3141,3141,3141,3141,1874,1862,1874,1874,1874,1874,1862,1862,1862,1862,1862,1862,1862,12344,0,3141,3646,3646,3646,3141,"","","[12499,12502]",0,0,0
6,80,"","","","","","","","","","","","",1886,3142,"","",3142,"","","","","",1769493148,0,0,"[12492,12502]",0,7,0,1864,"","","",1886,3142,"",3142,3142,3142,3142,1886,1864,1886,1886,1886,1886,1864,1864,1864,1864,1864,1864,1864,12345,0,3142,3647,3647,3647,3142,"","","[12500,12502]",0,0,0
7,81,"","","","","","","","","","","","","",13488,1973,634,634,"","","","","",-777397213,1,47,[12486],1,1,700,"","",2312,2324,"",717,"",717,717,717,717,2324,2312,2324,2324,2324,2324,2312,2312,2312,2312,2312,2312,2312,12431,35,634,1973,634,"",717,"","",[12494],1905,1,100
8,82,"","","","","","","","","","","","","",13489,1974,635,635,"","","","","",1672586153,12,67,[12487],1,2,770,"","",2313,2325,"",718,"",718,718,718,718,2325,2313,2325,2325,2325,2325,2313,2313,2313,2313,2313,2313,2313,12432,45,635,1974,635,"",718,"","",[12495],1905,12,100
9,83,"","","","","","","","","","","","","",13494,1975,638,638,"","","","","",1828846209,30,100,[12488],1,3,847,"","",2314,2326,"",720,"",720,720,720,720,2326,2314,2326,2326,2326,2326,2314,2314,2314,2314,2314,2314,2314,12433,60,638,1975,638,"",720,"","",[12496],1905,30,100
10,84,"","","","","","","","","","","","","",13495,1976,640,640,734,734,"","",723,-1245983058,48,100,[12489],1,4,931,"","",2315,2327,"",722,"",722,722,734,734,2327,2315,2327,2327,2327,2327,2315,2315,2315,2315,2315,2315,2315,12434,75,640,1976,640,"",723,"","",[12497],841,48,100
11,85,"","","","","","","","","","","","","",13491,1977,641,641,"","",724,738,731,-182539987,68,100,[12490],1,5,1024,"","",2320,2332,"",735,"",738,724,735,735,2332,2320,2332,2332,2332,2332,2320,2320,2320,2320,2320,2320,2320,12435,0,641,1977,641,"",731,"",1,[12498],56,68,100
12,86,"","","","","","","","","","","","","",13492,1983,643,642,"","",726,739,732,910335598,0,0,[12491],1,6,0,"","",2321,2333,"",736,"",739,726,736,736,2333,2321,2333,2333,2333,2333,2321,2321,2321,2321,2321,2321,2321,12436,0,642,1983,643,"",732,"","",[12499],0,0,0
13,87,"","","","","","","","","","","","","",13493,1984,644,643,"","",730,740,733,1591416724,0,0,[12492],1,7,0,"","",2322,2334,"",737,"",740,730,737,737,2334,2322,2334,2334,2334,2334,2322,2322,2322,2322,2322,2322,2322,12437,0,643,1984,644,"",733,"","",[12500],0,0,0
14,88,"","","","","","","","","","","","","",1026,"","",4653,"","","","","",1724552963,1,47,[12486],2,1,700,9410,"","","","",309,"",309,309,309,309,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,9410,12424,35,4653,2871,2871,2871,309,"","",[12494],1905,1,100
15,89,"","","","","","","","","","","","","",1027,"","",4654,"","","","","",-1337235593,12,67,[12487],2,2,770,9411,"","","","",310,"",310,310,310,310,9411,9411,9411,9411,9411,9411,9411,9411,9411,9411,9411,9411,9411,12425,45,4654,2872,2872,2872,310,"","",[12495],1905,12,100
16,90,"","","","","","","","","","","","","",1028,"","",4655,"","","","","",1334812465,30,100,[12488],2,3,847,9412,"","","","",311,"",311,311,311,311,9412,9412,9412,9412,9412,9412,9412,9412,9412,9412,9412,9412,9412,12426,60,4655,2873,2873,2873,311,"","",[12496],1905,30,100
17,91,"","","","","","","","","","","","","",1029,"","",4656,302,302,"","","",-669856137,48,100,[12489],2,4,931,9413,"","","","",303,"",303,303,302,302,9413,9413,9413,9413,9413,9413,9413,9413,9413,9413,9413,9413,9413,12427,75,4656,2874,2874,2874,303,"","",[12497],841,48,100
18,92,"","","","","","","","","","","","","",1030,"","",4657,"","",305,304,305,181619222,68,100,[12490],2,5,1024,9414,"","","","",303,"",304,305,303,303,9414,9414,9414,9414,9414,9414,9414,9414,9414,9414,9414,9414,9414,12428,0,4657,2875,2875,2875,305,"",1,[12498],56,68,100
19,93,"","","","","","","","","","","","","",1031,"","",4658,"","",307,305,306,2059925248,0,0,[12491],2,6,0,9415,"","","","",304,"",305,307,304,304,9415,9415,9415,9415,9415,9415,9415,9415,9415,9415,9415,9415,9415,12429,0,4658,2876,2876,2876,306,"","",[12499],0,0,0
20,94,"","","","","","","","","","","","","",1032,"","",4659,"","",312,314,313,-1356244188,0,0,[12492],2,7,0,9416,"","","","",315,"",314,312,315,315,9416,9416,9416,9416,9416,9416,9416,9416,9416,9416,9416,9416,9416,12430,0,4659,2877,2877,2877,313,"","",[12500],0,0,0
21,95,"","","","","","","","","","","","","",741,"","",4732,741,4732,4732,4732,4732,1018082169,1,47,[12486],3,1,700,"","",1327,1338,"",4732,"",4732,4732,4732,741,1338,1327,1338,1338,1338,1338,1327,1327,1327,1327,1327,1327,1327,12399,35,4732,741,741,741,4732,"","",[12494],1905,1,100
22,96,"","","","","","","","","","","","","",742,"","",4733,742,4733,4733,4733,4733,829889309,12,67,[12487],3,2,770,"","",1328,1339,"",4733,"",4733,4733,4733,742,1339,1328,1339,1339,1339,1339,1328,1328,1328,1328,1328,1328,1328,12400,45,4733,742,742,742,4733,"","",[12495],1905,12,100
23,97,"","","","","","","","","","","","","",744,"","",4734,743,4734,4734,4734,4734,2051179612,30,100,[12488],3,3,847,"","",1329,1340,"",4734,"",4734,4734,4734,743,1340,1329,1340,1340,1340,1340,1329,1329,1329,1329,1329,1329,1329,12401,60,4734,744,744,744,4734,"","",[12496],1905,30,100
24,98,"","","","","","","","","","","","","",746,746,745,4735,763,4735,4735,4735,4735,-743698363,48,100,[12489],3,4,931,"","",1330,1341,"",4735,"",4735,4735,4735,763,1341,1330,1341,1341,1341,1341,1330,1330,1330,1330,1330,1330,1330,12402,75,4735,746,745,"",4735,"","",[12497],841,48,100
25,99,"","","","","","","","","","","","","",748,748,760,4736,764,4736,4736,4736,4736,-205989316,68,100,"[12490,12406]",3,5,1024,"","",1332,1343,"",4736,"",4736,4736,4736,764,1343,1332,1343,1343,1343,1343,1332,1332,1332,1332,1332,1332,1332,12403,0,4736,748,760,"",4736,"",1,"[12498,12406]",56,68,100
26,100,"","","","","","","","","","","","","",749,749,761,4737,765,4737,4737,4737,4737,-1738015661,0,0,"[12491,12406]",3,6,0,"","",1333,1344,"",4737,"",4737,4737,4737,765,1344,1333,1344,1344,1344,1344,1333,1333,1333,1333,1333,1333,1333,12404,0,4737,749,761,"",4737,"","","[12499,12406]",0,0,0
27,101,"","","","","","","","","","","","","",759,759,762,4738,766,4738,4738,4738,4738,1330507188,0,0,"[12492,12406]",3,7,0,"","",1337,1348,"",4738,"",4738,4738,4738,766,1348,1337,1348,1348,1348,1348,1337,1337,1337,1337,1337,1337,1337,12405,0,4738,759,762,"",4738,"","","[12500,12406]",0,0,0
28,102,"","","","","","","","","","","","","",82,"","","","","","","","",535092733,12,67,"[12487,12502]",4,2,669,"","",8713,8719,"",82,"",82,82,82,82,8719,8713,8719,8719,8719,8719,8713,8713,8713,8713,8713,8713,8713,12393,45,82,82,82,82,82,82,"","[12495,12502]",1657,12,100
29,103,"","","","","","","","","","","","","",83,"","","","","","","","",-267836319,30,100,"[12488,12502]",4,3,736,"","",8714,8720,"",83,"",83,83,83,83,8720,8714,8720,8720,8720,8720,8714,8714,8714,8714,8714,8714,8714,12394,60,83,83,83,83,83,83,"","[12496,12502]",1657,30,100
30,104,"","","","","","","","","","","","","",85,"","","","","","","","",-880120152,48,100,"[12489,12502]",4,4,810,"","",8715,8721,"",85,"",85,85,85,85,8721,8715,8721,8721,8721,8721,8715,8715,8715,8715,8715,8715,8715,12395,75,85,85,85,85,85,85,"","[12497,12502]",731,48,100
31,105,"","","","","","","","","","","","","",86,"","","","","","","","",1066624914,68,100,"[12490,12502]",4,5,891,"","",8716,8722,"",86,"",86,86,86,86,8722,8716,8722,8722,8722,8722,8716,8716,8716,8716,8716,8716,8716,12396,0,86,86,86,86,86,86,1,"[12498,12502]",49,68,100
32,106,"","","","","","","","","","","","","",88,"","","","","","","","",993214565,0,0,"[12491,12502]",4,6,0,"","",8717,8723,"",88,"",88,88,88,88,8723,8717,8723,8723,8723,8723,8717,8717,8717,8717,8717,8717,8717,12397,0,88,88,88,88,88,88,"","[12499,12502]",0,0,0
33,107,"","","","","","","","","","","","","",91,"","","","","","","","",-558420537,0,0,"[12492,12502]",4,7,0,"","",8718,8724,"",91,"",91,91,91,91,8724,8718,8724,8724,8724,8724,8718,8718,8718,8718,8718,8718,8718,12398,0,91,91,91,91,91,91,"","[12500,12502]",0,0,0
34,108,"","","","","","","","","","","","",1813,3065,"","",3065,"","","","","",-36091224,12,67,"[12487,12504]",5,2,669,1801,"","","",1813,3065,"",3065,3065,3065,3065,1813,1801,1813,1813,1813,1813,1801,1801,1801,1801,1801,1801,1801,12333,45,3065,3604,3604,3604,3065,"","","[12495,12504]",1657,12,100
35,109,"","","","","","","","","","","","",1815,3066,"","",3066,"","","","","",-1327428615,30,100,"[12488,12504]",5,3,736,1803,"","","",1815,3066,"",3066,3066,3066,3066,1815,1803,1815,1815,1815,1815,1803,1803,1803,1803,1803,1803,1803,12334,60,3066,3605,3605,3605,3066,"","","[12496,12504]",1657,30,100
36,110,"","","","","","","","","","","","",1817,3067,"","",3067,"","","","","",891153638,48,100,"[12489,12504]",5,4,810,1805,"","","",1817,3067,"",3067,3067,3067,3067,1817,1805,1817,1817,1817,1817,1805,1805,1805,1805,1805,1805,1805,12335,75,3067,3606,3606,3606,3067,"","","[12497,12504]",731,48,100
37,111,"","","","","","","","","","","","",1819,3069,"","",3069,"","","","","",128783824,68,100,"[12490,12504]",5,5,891,1807,"","","",1819,3069,"",3069,3069,3069,3069,1819,1807,1819,1819,1819,1819,1807,1807,1807,1807,1807,1807,1807,12336,0,3069,3607,3607,3607,3069,"",1,"[12498,12504]",49,68,100
38,112,"","","","","","","","","","","","",1820,3070,"","",3070,"","","","","",-452117587,0,0,"[12491,12504]",5,6,0,1808,"","","",1820,3070,"",3070,3070,3070,3070,1820,1808,1820,1820,1820,1820,1808,1808,1808,1808,1808,1808,1808,12337,0,3070,3608,3608,3608,3070,"","","[12499,12504]",0,0,0
39,113,"","","","","","","","","","","","",1832,3071,"","",3071,"","","","","",1536872438,0,0,"[12492,12504]",5,7,0,1810,"","","",1832,3071,"",3071,3071,3071,3071,1832,1810,1832,1832,1832,1832,1810,1810,1810,1810,1810,1810,1810,12338,0,3071,3609,3609,3609,3071,"","","[12500,12504]",0,0,0
40,114,"","","","","","","","","","","","","",969,"","",4726,959,4726,11959,4726,11959,-475311494,12,67,"[12487,12503]",6,2,669,"","",9674,9712,"",4726,"",4726,11959,4726,959,9712,9674,9712,9712,9712,9712,9674,9674,9674,9674,9674,9674,9674,12357,45,4726,960,960,960,11959,"","","[12495,12503]",1657,12,100
41,115,"","","","","","","","","","","","","",971,"","",4727,960,4727,11960,4727,11960,1008794806,30,100,"[12488,12503]",6,3,736,"","",9676,9714,"",4727,"",4727,11960,4727,960,9714,9676,9714,9714,9714,9714,9676,9676,9676,9676,9676,9676,9676,12358,60,4727,962,962,962,11960,"","","[12496,12503]",1657,30,100
42,116,"","","","","","","","","","","","","",973,"","",4728,961,4728,11961,4728,11961,-1179354155,48,100,"[12489,12503]",6,4,810,"","",9678,9716,"",4728,"",4728,11961,4728,961,9716,9678,9716,9716,9716,9716,9678,9678,9678,9678,9678,9678,9678,12359,75,4728,964,964,964,11961,"","","[12497,12503]",731,48,100
43,117,"","","","","","","","","","","","","",975,"","",4729,962,4729,11962,4729,11962,747230036,68,100,"[12490,12503]",6,5,891,"","",9679,9717,"",4729,"",4729,11962,4729,962,9717,9679,9717,9717,9717,9717,9679,9679,9679,9679,9679,9679,9679,12360,0,4729,966,966,966,11962,"",1,"[12498,12503]",49,68,100
44,118,"","","","","","","","","","","","","",976,"","",4730,963,4730,11963,4730,11963,-826006652,0,0,"[12491,12503]",6,6,0,"","",9680,9718,"",4730,"",4730,11963,4730,963,9718,9680,9718,9718,9718,9718,9680,9680,9680,9680,9680,9680,9680,12361,0,4730,967,967,967,11963,"","","[12499,12503]",0,0,0
45,119,"","","","","","","","","","","","","",977,"","",4731,964,4731,11964,4731,11964,-1551618851,0,0,"[12492,12503]",6,7,0,"","",9681,9719,"",4731,"",4731,11964,4731,964,9719,9681,9719,9719,9719,9719,9681,9681,9681,9681,9681,9681,9681,12362,0,4731,978,978,978,11964,"","","[12500,12503]",0,0,0
46,120,"","","","","","","","","","","","","",4537,"","",4554,4586,"","",4580,"",697488794,12,67,[12487],7,2,669,"","",20070,20081,"",4554,"",4580,4554,4554,4586,20081,20070,20081,20081,20081,20081,20070,20070,20070,20070,20070,20070,20070,12365,45,4554,4537,4537,4537,4554,"","",[12495],1657,12,100
