"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2","rid","rid","i32","[i32]","i32","rid"
0,1,0,"Introduction",[],[],[13],"",13,3,"",13,"[0,1,2,3,4,5,6]","",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
1,1,1,"The Medicine Chest",[49],[41],[42],"",42,5,"",42,[7],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
2,1,2,"Medicine Chest Reward",[42],[41],[40],"",40,6,1,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
3,1,3,"Medicine Chest Reward 2",[42],[1877],[1876],"",1876,6,2,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
4,1,4,"Tarkleigh",[14],[],[278],"","",3,"",278,[8],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
5,1,5,"Lioneye's Watch",[],[42],[39],"",39,5,"",39,[9],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
6,1,6,"Lioneye's Watch",[42],[],[39],"","",3,"",39,[10],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
7,1,7,"Piety",[587],[],[279],"","",3,"",279,[11],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
8,1,8,"Rhoas",[30],[],[281],"","",3,"",281,[12],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
9,1,9,"Bestel",[31],[],[282],"","",3,"",282,[13],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
10,1,10,"Brutus",[130],"[797,0]",[284],"",284,5,"",284,[14],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
11,1,11,"Prison Reward",[284],"[797,0]",[798],"",798,6,8,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
12,1,12,"Brutus",[5],[],[43],"",43,3,"",43,[15],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
13,1,13,"Prison Reward",[43],[797],[798],"",798,6,8,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
14,1,14,"Reopened Passage",[233],[],[285],"","",3,"",285,[16],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
15,1,15,"Merveil",[33],[9],[8],"",8,5,"",8,[17],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
16,1,16,"Merveil's Lair",[132],"[72,0]","[73,0]","",73,5,"",73,[18],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
17,1,17,"Merveil Reward",[73],"[72,0]",[38],"",38,6,10,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
18,1,18,"Merveil",[9],[],"[34,0]","",272,3,"",272,[19],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
19,1,19,"Merveil Reward",[272],[72],[38],"",38,6,10,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
20,1,20,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",49,[],49,""
21,1,21,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",49,[],49,""
22,0,0,"Introduction",[],[2],[14],"",14,3,"",14,[20],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
23,0,1,"Introduction",[2],[],[14],"","",3,"",14,[21],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
24,0,2,"Hillock Reward",[0],[2],[12],"",12,6,0,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
25,0,3,"Brutus",[130],[5],[4],"",4,5,"",4,[22],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
26,0,4,"Brutus",[5],[6],[28],"",28,5,"",28,[23],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
27,0,5,"Brutus Reward",[5],[6],[15],"",15,6,7,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
28,0,6,"Lioneye's Watch",[],[],[286],"","",3,"",286,[24],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
29,0,7,"Drowned Dead",[],[],[287],"","",3,"",287,[25],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
30,0,8,"Merveil",[8],[9],[288],"","",3,"",288,[26],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
31,0,9,"Rhoas",[30],[],[29],"","",3,"",29,[27],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
32,0,10,"Cannibals",[126],[],[290],"","",3,"",290,[28],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
33,0,11,"Bestel",[31],[],[291],"","",3,"",291,[29],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
34,0,12,"Merveil",[9],[],[32],"",32,3,"",32,[30],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
35,0,13,"Nessa",[13],[],[292],"","",3,"",292,[31],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
36,0,14,"Glyph Wall",[25],[24],[293],"",293,5,"",293,[32],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
37,0,15,"Strange Glyphs",[23],[24],[294],"",294,5,"",294,[33],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
38,0,16,"Dweller of the Deep",[24],[116],[113],"",113,5,"",113,[34],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
39,0,17,"Glyph Reward",[24],[36],[35],"",35,6,3,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
40,0,18,"Glyph Reward 2",[24],[2148],[2147],"",2147,6,4,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
41,0,19,"Dweller of the Deep",[115],"[494,0]",[358],"",358,5,"",358,[35],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
42,0,20,"Dweller Reward",[358],"[494,0]",[359],"",359,6,6,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
43,0,21,"The Fetid Pool",[223],"[40,0]",[224],"",224,5,"",224,[36],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
44,0,22,"The Fetid Pool",[127],"[40,0,0]",[224],"",224,5,"",224,[37],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
45,0,23,"The Fetid Pool",[40],[227],[224],"",224,5,"",224,[36],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
46,0,24,"The Necromancer",[227],"[507,0]",[506],"",506,5,"",506,[38],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
47,0,25,"Necromancer Reward",[506],"[507,0]",[508],"",508,6,5,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
48,0,26,"The Blocked Road",[230],[233],[295],"","",5,"",295,[39],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
49,0,27,"Reaching the Forest",[508],"[10,0,0]",[229],"",229,5,"",229,[40],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
50,0,28,"Reaching the Forest",[3],"[10,0]",[229],"",229,5,"",229,[40],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
51,0,29,"Reopened Passage",[233],[],[296],"","",3,"",296,[41],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
52,0,30,"Goatmen",[3],[],[347],"","",3,"",347,[42],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
53,0,31,"Letters of Exile",[],[],[371],"","",3,"",371,[43],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
54,0,32,"Medicine Chest",[42],[],[378],"","",3,"",378,[44],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
55,0,33,"Purchase Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",49,[],49,""
56,0,34,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",49,[],49,""
57,2,0,"Introduction",[],[],[31],"",31,3,"",31,"[45,46,47,48,49,50,51]","",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
58,2,1,"Merveil",[9],[],[48],"",48,3,"",48,[52],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
59,2,2,"Marceus Lioneye",[418],[],[298],"","",3,"",298,[53],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
60,2,3,"Nessa",[13],[],[300],"","",3,"",300,[54],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
61,2,4,"The Medicine Chest",[39],"[42,0]",[44],"",44,5,"",44,[55],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
62,2,5,"Tarkleigh",[14],[],[301],"","",3,"",301,[56],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
63,2,6,"Drowned Dead",[],[],[302],"","",3,"",302,[57],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
64,2,7,"Merveil",[8],[9],[303],"","",3,"",303,[58],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
65,2,8,"Brutus",[4],[5],[304],"","",3,"",304,[59],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
66,2,9,"Undead Rhoas",[223],[228],[305],"","",3,"",305,[60],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
67,2,10,"Captain Fairgraves",[47],"[498,0]",[499],"",499,5,"",499,[61],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
68,2,11,"Captain Fairgraves",[45],[47],[68],"","",3,"",68,[62],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
69,2,12,"Fairgraves Reward",[499],"[498,0]",[65],"",65,6,9,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
70,2,13,"Prisoner's Gate",[231],[233],[482],"","",3,"",482,[66],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
71,2,14,"Inspirational Poem",[233],[],[268],"",268,3,"",268,[63],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
72,2,15,"Reopened Passage",[268],"[500,0]",[502],"",502,5,"",502,[64],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
73,2,16,"Road Reward",[268],"[500,0]",[66],"",66,6,11,71,[],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
74,2,17,"Medicine Chest",[42],[233],[117],"",117,3,"",117,[65],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
75,2,18,"Surviving Wraeclast",[229],[231],[299],"","",3,"",299,[67],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
76,2,19,"Gamble for Items",[],[],[],"","",23,"",71,[],"","","",[],[],1308,[],1308,"","","","","",1,"",48,[],49,""
77,2,20,"Sell Items",[],[],[],"","",24,"",71,[],"","","",[],[],1308,[],1308,"","","","","",0,"",48,[],49,""
78,9,0,"Introduction",[],[],[75],"",75,3,"",75,[75],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
79,9,1,"The Azmeri",[],[],[306],"","",3,"",306,[76],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
80,9,2,"Yeena",[91],[],[307],"","",3,"",307,[77],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
81,9,3,"Greust",[92],[],[308],"","",3,"",308,[78],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
82,9,4,"Silk",[93],[],[309],"","",3,"",309,[79],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
83,9,5,"Helena",[243],[],[310],"","",3,"",310,[80],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
84,9,6,"Blackguards",[97],[243],[311],"","",3,"",311,[81],"",1,"",[],[],1308,[],1308,"","","","","","","",49,[],49,""
85,9,7,"The Bandit Scourge",[],"[83,0,0,0]",[53],"",53,5,"",53,[82],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
86,9,8,"The Bandit Scourge",[17],"[83,0,0]",[53],"",53,5,"",53,[83],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
87,9,9,"The Bandit Scourge",[16],"[83,0,0]",[53],"",53,5,"",53,[84],"","","",[],[],1308,[],1308,"","","","","","","",49,[],49,""
