"rownum","Id","Tier","Mod","[i32]","[rid]","Icon","Type","Achievements"
0,"AddedPhysicalHighReducedAttackSpeed",1,31970,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
1,"AddedPhysicalHighReducedAttackSpeed",2,31971,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
2,"AddedPhysicalHighReducedAttackSpeed",3,31972,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
3,"AddedPhysicalHighReducedAttackSpeed",4,31973,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
4,"AddedPhysicalHighReducedAttackSpeed",5,31974,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
5,"AddedPhysical2hHighReducedAttackSpeed",1,31975,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
6,"AddedPhysical2hHighReducedAttackSpeed",2,31976,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
7,"AddedPhysical2hHighReducedAttackSpeed",3,31977,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
8,"AddedPhysical2hHighReducedAttackSpeed",4,31978,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
9,"AddedPhysical2hHighReducedAttackSpeed",5,31979,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
10,"AddedPhysical",1,31980,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
11,"AddedPhysical",2,31981,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
12,"AddedPhysical",3,31982,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
13,"AddedPhysical",4,31983,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
14,"AddedPhysical",5,31984,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
15,"AddedPhysical2h",1,31985,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
16,"AddedPhysical2h",2,31986,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
17,"AddedPhysical2h",3,31987,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
18,"AddedPhysical2h",4,31988,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
19,"AddedPhysical2h",5,31989,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
20,"AddedPhysicalLowFireConvert",1,31990,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
21,"AddedPhysicalLowFireConvert",2,31991,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
22,"AddedPhysicalLowFireConvert",3,31992,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
23,"AddedPhysicalLowFireConvert",4,31993,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
24,"AddedPhysicalLowFireConvert",5,31994,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
25,"AddedPhysical2hLowFireConvert",1,31995,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
26,"AddedPhysical2hLowFireConvert",2,31996,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
27,"AddedPhysical2hLowFireConvert",3,31997,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
28,"AddedPhysical2hLowFireConvert",4,31998,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
29,"AddedPhysical2hLowFireConvert",5,31999,[1],"[2,0]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
30,"AddedPhysicalLowColdConvert",1,32000,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
31,"AddedPhysicalLowColdConvert",2,32001,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
32,"AddedPhysicalLowColdConvert",3,32002,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
33,"AddedPhysicalLowColdConvert",4,32003,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
34,"AddedPhysicalLowColdConvert",5,32004,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
35,"AddedPhysical2hLowColdConvert",1,32005,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
36,"AddedPhysical2hLowColdConvert",2,32006,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
37,"AddedPhysical2hLowColdConvert",3,32007,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
38,"AddedPhysical2hLowColdConvert",4,32008,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
39,"AddedPhysical2hLowColdConvert",5,32009,[1],"[2,1]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
40,"AddedPhysicalLowLightningConvert",1,32010,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
41,"AddedPhysicalLowLightningConvert",2,32011,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
42,"AddedPhysicalLowLightningConvert",3,32012,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
43,"AddedPhysicalLowLightningConvert",4,32013,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
44,"AddedPhysicalLowLightningConvert",5,32014,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
45,"AddedPhysical2hLowLightningConvert",1,32015,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
46,"AddedPhysical2hLowLightningConvert",2,32016,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
47,"AddedPhysical2hLowLightningConvert",3,32017,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
48,"AddedPhysical2hLowLightningConvert",4,32018,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
49,"AddedPhysical2hLowLightningConvert",5,32019,[1],"[2,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
50,"AddedPhysicalLowChaosConvert",1,32020,[1],"[2,4]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
51,"AddedPhysicalLowChaosConvert",2,32021,[1],"[2,4]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
52,"AddedPhysicalLowChaosConvert",3,32022,[1],"[2,4]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
53,"AddedPhysicalLowChaosConvert",4,32023,[1],"[2,4]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
54,"AddedPhysicalLowChaosConvert",5,32024,[1],"[2,4]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
55,"AddedPhysical2hLowChaosConvert",1,32025,[1],"[2,4]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
56,"AddedPhysical2hLowChaosConvert",2,32026,[1],"[2,4]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
57,"AddedPhysical2hLowChaosConvert",3,32027,[1],"[2,4]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
58,"AddedPhysical2hLowChaosConvert",4,32028,[1],"[2,4]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
59,"AddedPhysical2hLowChaosConvert",5,32029,[1],"[2,4]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
60,"AddedPhysicalLowRandomElementConvert",1,32030,[1],"[2,0,1,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
61,"AddedPhysicalLowRandomElementConvert",2,32031,[1],"[2,0,1,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
62,"AddedPhysicalLowRandomElementConvert",3,32032,[1],"[2,0,1,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
63,"AddedPhysicalLowRandomElementConvert",4,32033,[1],"[2,0,1,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
64,"AddedPhysicalLowRandomElementConvert",5,32034,[1],"[2,0,1,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
65,"AddedPhysical2hLowRandomElementConvert",1,32035,[1],"[2,0,1,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
66,"AddedPhysical2hLowRandomElementConvert",2,32036,[1],"[2,0,1,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
67,"AddedPhysical2hLowRandomElementConvert",3,32037,[1],"[2,0,1,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
68,"AddedPhysical2hLowRandomElementConvert",4,32038,[1],"[2,0,1,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
69,"AddedPhysical2hLowRandomElementConvert",5,32039,[1],"[2,0,1,3]","Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
70,"AddedPhysicalLowBleedChance",1,32040,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
71,"AddedPhysicalLowBleedChance",2,32041,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
72,"AddedPhysicalLowBleedChance",3,32042,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
73,"AddedPhysicalLowBleedChance",4,32043,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
74,"AddedPhysicalLowBleedChance",5,32044,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
75,"AddedPhysical2hLowBleedChance",1,32045,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
76,"AddedPhysical2hLowBleedChance",2,32046,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
77,"AddedPhysical2hLowBleedChance",3,32047,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
78,"AddedPhysical2hLowBleedChance",4,32048,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
79,"AddedPhysical2hLowBleedChance",5,32049,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
80,"AddedPhysicalLowImpaleChance",1,32050,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
81,"AddedPhysicalLowImpaleChance",2,32051,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
82,"AddedPhysicalLowImpaleChance",3,32052,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
83,"AddedPhysicalLowImpaleChance",4,32053,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
84,"AddedPhysicalLowImpaleChance",5,32054,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
85,"AddedPhysical2hLowImpaleChance",1,32055,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
86,"AddedPhysical2hLowImpaleChance",2,32056,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
87,"AddedPhysical2hLowImpaleChance",3,32057,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
88,"AddedPhysical2hLowImpaleChance",4,32058,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
89,"AddedPhysical2hLowImpaleChance",5,32059,[1],[2],"Art/2DArt/SkillIcons/passives/ByTheBlade.dds",0,[]
90,"AddedFireHighReducedAttackSpeed",1,32060,[1],[0],"Art/2DArt/SkillIcons/passives/lavalash.dds",0,[]
91,"AddedFireHighReducedAttackSpeed",2,32061,[1],[0],"Art/2DArt/SkillIcons/passives/lavalash.dds",0,[]
92,"AddedFireHighReducedAttackSpeed",3,32062,[1],[0],"Art/2DArt/SkillIcons/passives/lavalash.dds",0,[]
93,"AddedFireHighReducedAttackSpeed",4,32063,[1],[0],"Art/2DArt/SkillIcons/passives/lavalash.dds",0,[]
94,"AddedFireHighReducedAttackSpeed",5,32064,[1],[0],"Art/2DArt/SkillIcons/passives/lavalash.dds",0,[]
95,"AddedFire2hHighReducedAttackSpeed",1,32065,[1],[0],"Art/2DArt/SkillIcons/passives/lavalash.dds",0,[]
96,"AddedFire2hHighReducedAttackSpeed",2,32066,[1],[0],"Art/2DArt/SkillIcons/passives/lavalash.dds",0,[]
97,"AddedFire2hHighReducedAttackSpeed",3,32067,[1],[0],"Art/2DArt/SkillIcons/passives/lavalash.dds",0,[]
