"rownum","Id","i32","f32","rid","rid","rid"
0,"Fire",4,24,3594,163,""
1,"Ice",4,0,6196,164,""
2,"CausticCloud",8,5,4588,466,""
3,"Tar",4,0,4937,165,""
4,"Smoke",8,0,12362,1480,""
5,"Desecration",4,24,2184,202,""
6,"Consecration",10,0,8670,203,1239
7,"Lightning",6,0,10265,227,""
8,"Maelstorm",4,4,4830,692,""
9,"Haste",4,0,"",778,""
10,"Sandstorm",0,24,"",867,""
11,"Blizzard",4,0,"",797,""
12,"Spores",4,24,7287,448,""
13,"DevouringDarkness",4,24,"",836,""
14,"Quicksand",0,24,7928,915,""
15,"Blood",0,24,14651,1113,""
16,"TemporalAnomaly",10,0,10065,1001,1391
17,"OrionMeteor",0,0,"",1417,227
18,"CrownOfThorns",4,24,"",1555,""
19,"VaalCloud",4,24,"",300,""
20,"Profane",10,0,"",1527,""
21,"ChaosOfferingOfJudgement",6,24,"",491,514
22,"FireOfferingOfJudgement",6,24,"",490,514
23,"DespairBearGeyser",0,24,"",860,""
24,"Fungal",0,0,"",1381,1383
25,"BestiarySpiderWeb",0,24,"",1031,""
26,"VaalColdSnap",4,24,7871,1107,""
27,"Oil",4,24,15897,1609,163
28,"Scorch",4,0,"",1698,""
29,"GravityWell",0,24,"",1736,""
30,"LightningVortex",4,4,13920,1762,227
31,"Brittle",4,0,"",1999,""
32,"Sapping",4,0,"",2000,""
33,"Sludge",4,0,"",2008,""
34,"Sanctum",4,0,17507,2091,""
