"rownum","Id","i32","AchievementItemsKey","i32","bool","bool","i32"
0,"KillPaleCouncilNoTomeSpark",1,4874,0,"","",0
1,"KillAtziriWithKilling3Clones",4,4876,3,"","",0
2,"KillShaper15AnomaliesExplode",1,4877,15,1,"",0
3,"KillPietyMapNoTransform",1,4879,0,"","",0
4,"KillElderWithoutEldritchDecay",1,4880,0,"","",0
5,"KillMirageOfBonesWithoutKillingClones",1,4775,0,"","",0
6,"KillGorgonAfterBeingPetrified",1,4777,1,"","",0
7,"KillWitchWithoutGettingSoulEater",1,4780,0,"","",0
8,"KillTitanWith3TitanTotemsActive",1,4782,3,1,"",0
9,"KillFireAndFuryWithLava",1,4778,0,"","",0
10,"KillAvatarOfUndoingWithAllChaosSentinels",1,4776,6,1,"",0
11,"KillElderAfter5EldritchDecay",1,5112,5,1,"",0
12,"KillBloodwingAfter100BloodRavensSummon",1,4957,100,1,"",0
13,"KillRiftWalkerAfter4RiftwalkUse",1,4961,4,1,"",0
14,"KillShockAndHorrorAfter2LightningBeam",1,5110,2,1,"",0
15,"KillGoatmenBeforeRektarEmerges",1,4958,8,1,"",0
16,"KillEaterOfSoulsAfterTriggering15RuneTraps",1,5111,15,1,"",0
17,"KillInfernalKingWithoutMortarDamage",1,5115,0,"","",0
18,"KillStormflayWithoutMartyrDamage",1,4960,0,"","",0
19,"KillIncarceratorWithoutBeingHooked",1,4955,0,"","",0
20,"KillMinotaurWithoutSlamDamage",1,5117,0,"","",0
21,"KillVaalPyramidBossesInReverse",3,4962,3,"","",0
22,"KillVaalOmnitectWithoutDamageFromFlameTurrets",1,"",0,"","",0
23,"KillVaalOmnitectWithoutDamageFromLightningDefences",1,5062,0,"","",0
24,"KillVaalOmnitectAfterKillingExperimentedHatchling",1,5064,0,1,"",0
25,"KillVaalOmnitectAfterKillingGuards",1,5065,2,1,"",0
26,"KillVaalOmnitectNoESHealFromPhantasms",1,5066,0,"","",0
27,"KillArbiterWithoutDamageFromBookTornado",1,5206,0,"","",0
28,"KillTunneltrapWithoutDamageFromProjectile",1,5207,0,"","",0
29,"KillForgottenSoliderWithoutDamageFromFireOrbs",1,5208,0,"","",0
30,"KillAtziriWithKilling3ClonesSame",6,5208,3,"","",0
31,"KillEshWithoutDamageFromShockNova",1,5302,0,"","",0
32,"KillHephaeusWhileEnraged",1,5306,0,"","",0
33,"KillCursedKingWithoutBleeding",1,5305,0,"","",0
34,"KillAhuatotliActivePyramidsCounter",1,"",1,1,"",0
35,"KillAhuatotliWithNoMoreThan1PyramidActiveTotal",1,5198,0,"","",0
36,"KillAhuatotliAllPyramidsActiveWithoutDamage",1,5199,0,"","",0
37,"KillAhuatotliLessThan5Darkness",1,5200,0,"","",0
38,"KillAhuatotliNoFlares",1,5201,0,"","",0
39,"KillCrystalKingWithoutAnyCocoonsOpening",1,9453,0,"",1,0
40,"KillCrystalKingWithoutAnyCocoonsDestroying",1,5272,0,"","",0
41,"KillCrystalKingWithAllCocoonsDestroyed",1,5273,8,1,"",0
42,"KillCrystalKingWithoutAnyFlares",1,5275,0,"","",0
43,"KillCrystalKingWithoutDetonatingAnyVolatiles",1,5274,0,"","",0
44,"KillKurgalWithoutAnyFlares",1,5211,0,"","",0
45,"KillKurgalWithoutDamageFromReflectingBeam",1,5212,0,"","",0
46,"KillKurgalWithoutDamageFromObelisks",1,5213,0,"","",0
47,"KillKurgalObselisksDetonatedCounter",1,"",8,1,"",0
48,"KillKurgalWithoutDamageDuringEmpoweredPhase",1,5214,0,"","",0
49,"RiddleStoneOfAgilityChecker",1,"",0,"","",0
50,"RiddleStoneOfPowerChecker",1,"",0,"","",0
51,"KillFireAndFuryWithLavaBetrayal",1,5397,0,"",1,0
52,"KillGisaleWithoutBeingShocked",1,5399,0,"",1,0
53,"KillVaalOmnitectNoESHealFromPhantasmsBetrayal",1,5488,0,"",1,0
54,"KillHighLithomancerWithoutDamageFromBoulders",1,5485,0,"",1,0
55,"KillCatarinaWithoutDamageFromPillarWave",1,5529,0,"",1,0
56,"KillCatarinaWithoutBlackPhaseOver20Sec",1,5530,0,"",1,0
57,"KillCatarinaWithoutAnyVolatileSkeletons",1,9110,0,"",1,0
58,"KillCatarinaWithoutDamageInFinalPhase",1,5532,0,"",1,0
59,"KillCatarinaWithout3OrMoreTeleports",1,5533,0,"",1,0
60,"KillGuardianOfTheVaultAfterKillingTreasureGolems",1,"",1,1,"",0
61,"KillGuardianOfTheVaultGolemsKilledNoMeteorDamage",1,5603,0,"",1,0
62,"KillStonebeakAndGnarWithin5Seconds",2,5604,1,"",1,0
63,"KillShaperWithoutDetonatingAnomaly",1,8837,0,"",1,0
64,"KillVesselsOfTheVaalWithin5Seconds",2,5719,1,"",1,0
65,"KillCatarinaWithoutDetonatingVolatileSkeletons",1,5720,0,"",1,0
66,"KillSynthesisGuardian1WithoutDamageFromDrones",1,5722,0,"",1,0
67,"KillSynthesisGuardian2WithoutDamageFromDrones",1,5723,0,"",1,0
68,"KillSynthesisGuardian3WithoutDamageFromDrones",1,5724,0,"",1,0
69,"KillSynthesisGuardian4WithoutDamageFromPylons",1,5725,0,"",1,0
70,"DefeatVenariusWithoutDamageInPhase1",1,5754,0,"",1,0
71,"DefeatVenariusWithoutDetonatingUnstableEnergy",1,5755,0,"",1,0
72,"DefeatVenariusWithAtMost6VoidPitsOrPylons",1,5756,1,"","",0
73,"DefeatVenariusWithAtLeast12VoidPitsOrPylons",1,5757,1,"","",0
74,"DefeatVenariusWithoutDamageFromMultiTeleport",1,5758,0,"",1,0
75,"KillDelveBossWithoutAnyFlaresAtLevel75",1,5940,0,"",1,0
76,"KillBazurWithoutDamageFromLiantraSkills",1,6351,0,"","",0
77,"KillBazurAfterKilling8ThunderTomes",1,"",1,1,"",0
78,"KillBaronConditionallyHasBeenHitByRune",1,6635,0,"",1,0
79,"KillBaronConditionallyAllSquaresActivated",1,"",1,"","",0
80,"KillSirusWithoutBeingAffectedByDeatomizationStorm",1,6643,0,"",1,0
81,"KillSirusWithoutBeingAffectedByDesolationOfTheAwakener",1,6644,0,"",1,0
82,"KillSirusWithoutBeingHitByCorridorBlast",1,6646,0,"",1,0
83,"KillSirusWithoutInterruptingCorridorBlast",1,6646,0,"",1,0
84,"KIllSirusWithoutBeingHitBySpinningNegationBeams",1,6645,0,"",1,0
85,"KillVeritaniaConditionallyWithoutEnteringHurricane",1,6636,0,"",1,0
86,"KillVeritaniaConditionallyWithoutHitFromTornado",1,6636,0,"",1,0
87,"KillAlHezminWithoutAnyTunnellingVipersEmerging",1,6637,0,"",1,0
88,"KillDroxAfterDestroyingAtLeast10VexillumImmortalis",1,"",1,1,"",0
89,"KillKitavaInBelfryMapWithoutBeingAffectedByDevouringDarkness",1,6733,0,"","",0
90,"KillNightmaresOmenInPrimordialPoolWithoutTakingDamageFromBloodProjectiles",1,6735,0,"","",0
91,"KillNightmaresOmenInPrimordialPoolAfter2Submerges",1,6735,1,1,"",0
