"rownum","Id","HideoutArea","HASH16","HideoutFile","SpawnAreas","ClaimSideArea","HideoutImage","IsEnabled","Weight","Rarity","NotActsArea","Name","[i32]","bool","bool","bool","bool"
0,"HideoutForest",1535,65379,"Metadata/Terrain/Missions/Hideouts/Forest/decoration.hideout",[37],1534,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LushHideout",1,10000,0,"","Lush Hideout",[],"",1,1,""
1,"HideoutArch",1515,2401,"Metadata/Terrain/Missions/Hideouts/Archaeological/decoration.hideout",[1238],1516,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TrenchHideout",1,33,3,1,"Robber's Trench Hideout",[],"",1,1,""
2,"HideoutBattleground",1563,28470,"Metadata/Terrain/Missions/Hideouts/Battleground/decoration.hideout",[1200],1564,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BattlescarredHideout",1,200,1,1,"Battle-scarred Hideout",[],"",1,1,""
3,"HideoutBeach",1559,33485,"Metadata/Terrain/Missions/Hideouts/Beach/decoration.hideout",[1141],1560,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoastalHideout",1,200,1,1,"Coastal Hideout",[],"",1,1,""
4,"HideoutLibrary",1565,8897,"Metadata/Terrain/Missions/Hideouts/Library/decoration.hideout",[1137],1566,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EnlightenedHideout",1,200,1,1,"Enlightened Hideout",[],"",1,1,""
5,"HideoutGardens",1569,62863,"Metadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",[1199],1570,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/OvergrownHideout",1,100,2,1,"Overgrown Hideout",[],"",1,1,""
6,"HideoutSolaris",1567,13485,"Metadata/Terrain/Missions/Hideouts/Solaris/decoration.hideout",[1130],1568,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ImmaculateHideout",1,200,1,1,"Immaculate Hideout",[],"",1,1,""
7,"HideoutFellshrine",1561,45200,"Metadata/Terrain/Missions/Hideouts/Fellshrine/decoration.hideout",[1092],1562,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UnearthedHideout",1,200,1,1,"Unearthed Hideout",[],"",1,1,""
8,"HideoutSlum",1557,62635,"Metadata/Terrain/Missions/Hideouts/Slums/decoration.hideout",[1109],1558,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BackstreetHideout",1,200,1,1,"Backstreet Hideout",[],"",1,1,""
9,"HideoutSewer",1537,29226,"Metadata/Terrain/Missions/Hideouts/Sewers/decoration.hideout",[51],1536,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UndercityHideout",1,10000,0,"","Undercity Hideout",[],"",1,1,""
10,"HideoutMine",1541,55535,"Metadata/Terrain/Missions/Hideouts/Mine/decoration.hideout",[65],1540,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ExcavatedHideout",1,10000,0,"","Excavated Hideout",[],"",1,1,""
11,"HideoutCourts",1527,31968,"Metadata/Terrain/Missions/Hideouts/Courts/decoration.hideout","[77,78]",1528,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/StatelyHideout",1,10000,0,"","Stately Hideout",[],"",1,1,""
12,"HideoutCoral",1518,18035,"Metadata/Terrain/Missions/Hideouts/Coral/decoration.hideout",[99],1517,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoralHideout",1,10000,0,"","Coral Hideout",[],"",1,1,""
13,"HideoutRuinedTemple",1543,6122,"Metadata/Terrain/Missions/Hideouts/RuinedTemple/decoration.hideout",[108],1542,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BalefulHideout",1,10000,0,"","Baleful Hideout",[],"",1,1,""
14,"HideoutOasis",1545,750,"Metadata/Terrain/Missions/Hideouts/Oasis/decoration.hideout",[139],1544,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DesertHideout",1,10000,0,"","Desert Hideout",[],"",1,1,""
15,"HideoutOssuary",1525,61235,"Metadata/Terrain/Missions/Hideouts/Ossuary/decoration.hideout",[156],1526,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SkeletalHideout",1,10000,0,"","Skeletal Hideout",[],"",1,1,""
16,"HideoutBaths",1523,55372,"Metadata/Terrain/Missions/Hideouts/Baths/decoration.hideout",[124],1524,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LuxuriousHideout",1,10000,0,"","Luxurious Hideout",[],"",1,1,""
17,"HideoutTemplarLab",1556,55414,"Metadata/Terrain/Missions/Hideouts/TemplarLab/decoration.hideout",[158],0,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CartographyHideout",1,0,0,1,"Cartographer's Hideout",[],"",1,1,""
18,"HideoutPillarsOfArun",1546,65044,"Metadata/Terrain/Missions/Hideouts/PillarsOfArun/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ToweringHideout",1,0,0,1,"Towering Hideout",[],"",1,1,1
19,"HideoutAtziriArena",1547,34352,"Metadata/Terrain/Missions/Hideouts/ArenaAtziri/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CorruptedHideout",1,0,0,1,"Corrupted Hideout",[],"",1,1,1
20,"HideoutInnocenceArena",1548,45610,"Metadata/Terrain/Missions/Hideouts/ArenaInnocence/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InnocentHideout",1,0,0,1,"Innocent Hideout",[],"",1,1,1
21,"HideoutShaperArena",1549,41490,"Metadata/Terrain/Missions/Hideouts/ArenaShaper/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShaperHideout",1,0,0,1,"Shaped Hideout",[],"",1,1,1
22,"HideoutKaomArena",1550,26625,"Metadata/Terrain/Missions/Hideouts/ArenaKaom/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FuriousHideout",1,0,0,1,"Furious Hideout",[],"",1,1,1
23,"HideoutDaressoArena",1551,49908,"Metadata/Terrain/Missions/Hideouts/ArenaDaresso/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChampionsHideout",1,0,0,1,"Champion's Hideout",[],"",1,1,1
24,"HideoutDominusArena",1552,52081,"Metadata/Terrain/Missions/Hideouts/ArenaDominus/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IndomitableHideout",1,0,0,1,"Indomitable Hideout",[],"",1,1,1
25,"HideoutPietyArena",1553,41981,"Metadata/Terrain/Missions/Hideouts/ArenaPiety/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MorbidHideout",1,0,0,1,"Morbid Hideout",[],"",1,1,1
26,"HideoutLunarisSolarisArena",1554,37028,"Metadata/Terrain/Missions/Hideouts/ArenaSolarisLunaris/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EclipsedHideout",1,0,0,1,"Eclipsed Hideout","[8,9]","",1,1,1
27,"HideoutKitavaArenaAct10",1555,36378,"Metadata/Terrain/Missions/Hideouts/ArenaKitavaAct10/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RavenousHideout",1,0,0,1,"Ravenous Hideout",[],"",1,1,1
28,"HideoutSunken",1529,18782,"Metadata/Terrain/Missions/Hideouts/Causeway/decoration.hideout",[1242],1530,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunkenCityHideout",1,33,3,1,"Sunken Hideout",[],"",1,1,""
