"rownum","UniqueBase","i32"
0,4747,1
1,4748,2
2,4749,3
3,4751,4
4,4752,5
5,4755,6
6,4758,7
7,4761,8
8,4764,9
9,4774,10
10,4776,11
11,4777,12
12,4782,13
13,4785,14
14,4787,15
15,4788,16
16,4791,17
17,4792,18
18,4793,19
19,4794,20
20,4795,21
21,4796,22
22,4804,23
23,4806,24
24,4809,25
25,4811,26
26,4813,27
27,4816,28
28,4822,29
29,4823,30
30,4825,31
31,4826,32
32,4827,33
33,4833,34
34,4835,35
35,4838,36
36,4842,37
37,4850,38
38,4853,39
39,4854,40
40,4855,41
41,4862,42
42,4864,43
43,4866,44
44,4868,45
45,4869,46
46,4875,47
47,4877,48
48,4880,49
49,4881,50
50,4882,51
51,4883,52
52,4884,53
53,4885,54
54,4891,55
55,4893,56
56,4894,57
57,4895,58
58,4901,59
59,4912,60
60,4917,61
61,4919,62
62,4922,63
63,4926,64
64,4929,65
65,4934,66
66,4937,67
67,4945,68
68,4949,69
69,4950,70
70,4952,71
71,4954,72
72,4957,73
73,4960,74
74,4961,75
75,4962,76
76,4963,77
77,4964,78
78,4965,79
79,4966,80
80,4971,81
81,4972,82
82,4973,83
83,4975,84
84,4977,85
85,4978,86
86,4986,87
87,4990,88
88,4991,89
89,4992,90
90,4993,91
91,4994,92
92,5000,93
93,5003,94
94,5005,95
95,5006,96
96,5010,97
97,5011,98
98,5012,99
99,5015,100
100,5016,101
101,5017,102
102,5018,103
103,5019,104
104,5020,105
105,5030,106
106,5031,107
107,5034,108
108,5036,109
109,5038,110
110,5041,111
111,5043,112
112,5045,113
113,5046,114
114,5047,115
115,5048,116
116,5055,117
117,5057,118
118,5058,119
119,5063,120
120,5065,121
121,5069,122
122,5070,123
123,5072,124
124,5073,125
125,5081,126
126,5082,127
127,5083,128
128,5087,129
129,5088,130
130,5091,131
131,5093,132
132,5096,133
133,5097,134
134,5098,135
135,5103,136
136,5213,137
137,5214,138
138,5216,139
139,5224,140
140,5226,141
141,5227,142
142,5232,143
143,5233,144
144,5235,145
145,5239,146
146,5243,147
147,5244,148
148,5253,149
149,5254,150
150,5255,151
151,5258,152
152,5259,153
153,5261,154
154,5264,155
155,5265,156
156,5269,157
157,5271,158
158,5277,159
159,5278,160
160,5281,161
161,5282,162
162,5288,163
163,5289,164
164,5291,165
165,5292,166
166,5293,167
167,5294,168
168,5301,169
169,5302,170
170,5306,171
171,5307,172
