"rownum","Id","Name","Description","ModsKey","ArtFile","BetrayalUpgradeSlotsKey","[i32]","ItemVisualIdentityKey0","ItemVisualIdentityKey1","GrantedEffectsKey","i32","ItemClassesKey"
0,"NoItem","None","",[],"",5,[],"","","",0,""
1,"Boots1","Korim's Journey","Increased Movement Speed",[17873],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/KorimsJourney",1,[],"","","",1,""
2,"Boots2","Azal's Alacrium","Attack Speed",[17874],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AzalsAlacrium",1,[],"","","",1,""
3,"Boots3","Harimal's Invasion","Onslaught on Hit",[17875],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsInvasion",1,[],"","","",1,""
4,"Boots4","Urdamel's Age","Increased Life",[17876],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/UrdamelsAge",1,[],"","","",1,""
5,"Boots5","Tau Poh's Toes","Cast Speed",[17877],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsToes",1,[],"","","",1,""
6,"Boots6","Lorag's Firestarter","Physical Damage added as Fire. All Damage Ignites",[17878],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/LoragsFirestarter",1,[],"","","",1,""
7,"Boots7","Tekiton's Heel","Stun Chance",[17879],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TekitonsHeel",1,[],"","","",1,""
8,"Boots8","Elgan's Crossing","Cannot be Slowed below Base Speed",[17880],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ElgansCrossing",1,[],"","","",1,""
9,"Boots9","Bu's Green Path","Poison on Hit",[17881],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusGreenPath",1,[],"","","",1,""
10,"Boots10","Cantar's Tangle","Explodes Corpses into Vines",[17882],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/CantarsTangle",1,[],"","","",1,""
11,"HelmetAttachment1","Raust's Blessings","Extra Energy Shield",[17883],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RaustsBlessings",0,[],"","","",1,""
12,"HelmetAttachment2","Gogori's Army","Bleed on Hit",[17884],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/GogorisArmy",0,[],"","","",1,""
13,"HelmetAttachment3","Urdamel's Madness","Creates Unholy Sentinels",[17885],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/UrdamelsMadness",0,[],"","","",1,""
14,"HelmetAttachment4","Silas' Spires","Increased Area of Effect",[17886],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SilasSpires",0,[],"","","",1,""
15,"HelmetAttachment5","Lorag's Dream","Hexproof",[17887],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/LoragsDream",0,[],"","","",1,""
16,"HelmetAttachment6","Azal's Eye","Physical Damage added as Cold. All Damage Chills",[17888],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AzalsEye",0,[],"","","",1,""
17,"HelmetAttachment7","Moknuma's Watch","Critical Strike and Accuracy",[17889],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/MoknumasWatch",0,[],"","","",1,""
18,"HelmetAttachment8","Bu's Delight","Consumes corpses for Life",[17890],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusDelight",0,[],"","","",1,""
19,"HelmetAttachment9","Harimal's Wall","Grants Summon Petrify Statue",[17891],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsWall",0,[],"","","",1,""
20,"HelmetAttachment10","Sen-Kin's Descent","Cannot be Leeched From",[17892],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SenKinsDescent",0,[],"","","",1,""
21,"BackAttachment1","Akanilim's Hide","Fire Resistance",[17893],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AkanilimsHide",3,[],"","","",1,""
22,"BackAttachment2","Shiaphet's Pall","Lightning Resistance",[17894],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ShiaphetsPall",3,[],"","","",1,""
23,"BackAttachment3","Xunti's Parasol","Cold Resistance",[17895],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/XuntisParasol",3,[],"","","",1,""
24,"BackAttachment4","Tekiton's Spine","Physical Reduction",[17896],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TekitonsSpine",3,[],"","","",1,""
25,"BackAttachment5","Gogori's Plague","Chaos Resistance",[17897],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/GogorisPlague",3,[],"","","",1,""
26,"BackAttachment6","Harimal's Campaign","Multiple Projectiles",[17898],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsCampaign",3,[],"","","",1,""
27,"BackAttachment7","Tau Poh's Banner","Ailment Avoidance",[17899],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsBanner",3,[],"","","",1,""
28,"BackAttachment8","Bu's Bottle","Creates Unholy Relics",[17900],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusBottle",3,[],"","","",1,""
29,"BackAttachment9","Rithkin's Dance","Physical Damage added as Lightning. All Damage Shocks",[17901],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RithkinsDance",3,[],"","","",1,""
30,"BackAttachment10","Cantar's Coffin","Explodes corpses into Acid",[17902],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/CantarsCoffine",3,[],"","","",1,""
31,"TwoHandAxe1","Silas' Flattener","Increased Area of Effect",[17886],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SilasFlattener",4,[],12181,"","",1,16
32,"TwoHandMace1","Moknuma's Storm","Maim on Hit",[17903],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/MoknumasStorm",4,[],12182,"","",1,17
33,"Bow1","Gogori's Stinger","Far Shot",[17904],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/GogorisStinger",4,[],"",12183,"",1,13
34,"Bow2","Xunti's Zither","Point Blank",[17905],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/XuntisZither",4,[],"",12184,"",1,13
35,"Bow3","Rithkin's Burden","Gain Frenzy Charge on Hit",[17906],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RithkinsBurden",4,[],"",12185,"",1,13
36,"OneHandSword1","Sen-Kin's Haunt","Critical Strike Chance and Multiplier",[17907],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SenkinsHaunt",4,[],12186,"","",1,9
37,"OneHandSword2","Akanilim's Pattern","Attack Speed",[17874],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AkanilimsPattern",4,[],12187,"","",1,9
38,"OneHandSword3","Korim's Decapitator","Attack Damage",[17908],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/KorimsDecapitator",4,[],12188,"","",1,9
39,"OneHandSword4","Shiaphet's Needle","Impale on Hit",[17909],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ShiaphetsNeedle",4,[],12189,"","",1,9
40,"OneHandMace1","Raust's Judgement","Gain Endurance Charge on Hit",[17910],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RaustsJudgement",4,[],12190,"","",1,12
41,"OneHandMace2","Elgan's Ritual","Attack Speed",[17874],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ElgansRitual",4,[],12191,"","",1,12
42,"Sceptre1","Urdamel's Tyranny","Elemental Damage",[17911],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/UrdamelsTyranny",4,[],12192,"","",1,32
43,"Dagger1","Tau Poh's Deception","Gain Power Charge on Hit",[17912],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsDeceoption",4,[],12193,"","",1,7
44,"Dagger2","Bu's Blossom","Blind on Hit",[17913],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusBlossom",4,[],12194,"","",1,7
45,"Shield1","Tekiton's Mountain","Additional Block Chance",[17914],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TekitonsMountain",4,[],"",12195,"",1,26
46,"Shield2","Harimal's Feint","Fortify on Hit",[17915],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsFeint",4,[],"",12196,"",1,26
47,"Claw1","Cantar's Pack","Life Leech",[17916],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/CantarsPack",4,[],12197,"","",1,6
48,"Gloves1","Moknuma's Conjuring","Arcane Surge on Hit",[17917],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/MoknumasConjuring",2,[],"","","",1,""
49,"Gloves2","Azal's Manipulation","Hinder on Hit",[17918],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AzalsManipulation",2,[],"","","",1,""
