"rownum","MonsterVarietiesKey","i32","MinLevel","MaxLevel","i32"
0,5461,100,0,25,100
1,5462,100,0,25,100
2,5463,100,0,25,100
3,5464,100,0,25,100
4,5465,100,0,25,100
5,5466,100,10,100,100
6,5467,100,10,100,100
7,5468,100,10,100,100
8,5469,100,10,100,100
9,5470,100,25,100,100
10,5471,100,25,100,100
11,5474,100,25,100,100
12,5477,100,25,100,100
13,5480,100,25,100,100
14,5483,100,46,100,100
15,5486,100,46,100,100
16,5489,100,46,100,100
17,5492,100,46,100,100
18,5495,100,46,100,100
19,5498,20,60,100,40
20,5499,20,60,100,40
21,5500,20,60,100,40
22,5501,20,60,100,40
23,5502,20,60,100,40
24,5503,20,60,100,40
25,5504,20,60,100,40
26,5505,20,60,100,40
27,5506,20,60,100,40
