"rownum","Id","bool","bool","rid","[rid]","rid","rid","rid","[rid]","rid","rid","i32","bool","rid","[rid]","bool","bool","[rid]"
0,"Anarchy",1,1,16985,[1850],17026,13800,"","[2234,3256]",5452,"",10,"",1389,[],"","",[]
1,"Shrine",1,1,16986,[],17027,13797,"","[2455,9853,9852]",5613,"",10,"","",[],1,"",[]
2,"VaalSideArea",1,1,16987,[],13627,"",2313,[5827],"","",1,"","",[],1,"",[2313]
3,"Ambush",1,1,16988,[2521],17028,"","",[2454],5656,"",2,"","",[],"","",[]
4,"Torment",1,1,16989,[2769],17029,"","","[2770,3257]",5579,"",10,"",13796,[],"","",[]
5,"Essence",1,1,16990,[],17030,15513,"","[4870,5593]",5464,"",10,"","",[],"","",[]
6,"Breach","",1,16151,[9280],13308,"",17059,"[5459,5592]",5458,"",3,"","","[5713,5714,16818,16739]","","",[17059]
7,"Abyss",1,"",16150,[9280],13742,"",17057,[6629],"","",10,"","",[16867],"","",[17057]
8,"MasterMission",1,1,"",[2335],"","","",[4931],"","",1,"","",[2311],1,1,[]
9,"Bestiary",1,1,"",[2335],"","","",[],"","",1,"","",[],"",1,[]
10,"Incursion","",1,"",[2335],"","","",[],"","",1,"","",[],1,1,[]
11,"Delve","",1,"",[2335],"","","",[],"","",1,"","",[],1,1,[]
12,"Betrayal","",1,"",[2335],"","","",[],"","",1,"","",[],1,1,[]
13,"Legion","",1,16153,[],13520,"",17063,[9355],"","",1,"","",[],1,"",[17063]
14,"Blight","",1,16155,[],13656,15899,17058,[10054],"","",1,"","",[],1,"",[17058]
15,"Metamorph","",1,16154,[],13660,"",17064,[11459],"","",1,"","",[],"","",[17064]
16,"Delirium","",1,16158,[],13648,"",17060,[12468],"","",1,"","",[11503],"","",[17060]
17,"Harvest","",1,16149,[],13318,"",17062,[11793],"","",1,"","",[16826],1,"",[17062]
18,"Heist","",1,16157,[],13682,"",13622,"[13245,14150]","","",1,"","",[],"","",[13622]
19,"Ritual","","",16156,[],14039,"",17065,[14038],"","",1,"","",[],"","",[17065]
20,"Expedition","",1,16152,[],14732,"",17061,[14207],"","",1,"","",[],"",1,[17061]
21,"Sanctum","",1,"",[],"","","",[16979],"","",1,1,"",[],1,"",[]
22,"Crucible","",1,"",[],"","","",[17707],"","",1,1,"",[],1,"",[]
