"rownum","Mod","TiersWhitelist","TransformAchievement","ModFamilies"
0,25101,[1],"",[63]
1,25102,[2],"",[63]
2,25103,[3],"",[63]
3,25104,[4],"",[63]
4,25105,[1],8327,"[1144,4740]"
5,25106,[2],8327,"[1144,4740]"
6,25107,[3],8327,"[1144,4740]"
7,25108,[4],8327,"[1144,4740]"
8,25109,[1],8327,"[1144,4740]"
9,25110,[2],8327,"[1144,4740]"
10,25111,[3],8327,"[1144,4740]"
11,25112,[4],8327,"[1144,4740]"
12,25113,[1],8327,"[1144,4740]"
13,25114,[2],8327,"[1144,4740]"
14,25115,[3],8327,"[1144,4740]"
15,25116,[4],8327,"[1144,4740]"
16,25117,[1],8327,"[4733,1144,4740]"
17,25118,[2],8327,"[4733,1144,4740]"
18,25119,[3],8327,"[4733,1144,4740]"
19,25120,[4],8327,"[4733,1144,4740]"
20,25121,[1],8327,"[1144,4740]"
21,25122,[2],8327,"[1144,4740]"
22,25123,[3],8327,"[1144,4740]"
23,25124,[4],8327,"[1144,4740]"
24,25125,[1],8327,"[1144,4740]"
25,25126,[2],8327,"[1144,4740]"
26,25127,[3],8327,"[1144,4740]"
27,25128,[4],8327,"[1144,4740]"
28,25129,[1],8327,"[1144,4740]"
29,25130,[2],8327,"[1144,4740]"
30,25131,[3],8327,"[1144,4740]"
31,25132,[4],8327,"[1144,4740]"
32,25133,[1],8327,"[1144,4740]"
33,25134,[2],8327,"[1144,4740]"
34,25135,[3],8327,"[1144,4740]"
35,25136,[4],8327,"[1144,4740]"
36,25137,[1],8327,"[1144,4740]"
37,25138,[2],8327,"[1144,4740]"
38,25139,[3],8327,"[1144,4740]"
39,25140,[4],8327,"[1144,4740]"
40,25141,[3],"",[]
41,25142,[4],"",[]
42,25143,[3],"",[]
43,25144,[4],"",[]
44,25145,[3],"",[]
45,25146,[4],"",[]
46,25147,[3],"",[]
47,25148,[4],"",[]
48,25149,[3],"",[]
49,25150,[4],"",[]
50,25151,[3],"",[]
51,25152,[4],"",[]
52,25153,[3],"",[]
53,25154,[4],"",[]
54,25155,[3],"",[]
55,25156,[4],"",[]
56,25157,"[2,3,4]","",[]
57,25158,[3],"",[]
58,25159,[4],"",[]
59,25160,[2],"",[]
60,25161,[3],"",[]
61,25162,[4],"",[]
62,25163,[3],"",[]
63,25164,[4],"",[]
64,25165,[2],"",[]
65,25166,[3],"",[]
66,25167,[4],"",[]
67,25168,[2],"",[]
68,25169,[3],"",[]
69,25170,[4],"",[]
70,25171,[2],"",[]
71,25172,[3],"",[]
72,25173,[4],"",[]
73,25174,[2],"",[]
74,25175,[3],"",[]
75,25176,[4],"",[]
76,25177,[2],"",[]
77,25178,[3],"",[]
78,25179,[4],"",[]
79,25180,"[2,3,4]","",[]
80,25181,[2],"","[3416,1163,1091]"
81,25182,[3],"","[3416,1163,1091]"
82,25183,[4],"","[3416,1163,1091]"
83,25184,[2],"","[3416,1163,1091]"
84,25185,[3],"","[3416,1163,1091]"
85,25186,[4],"","[3416,1163,1091]"
86,25187,[2],"",[]
87,25188,[3],"",[]
88,25189,[4],"",[]
89,25190,[2],"",[]
90,25191,[3],"",[]
91,25192,[4],"",[]
92,25193,"[3,4]","",[]
93,25194,"[3,4]","",[]
94,25195,"[3,4]","",[]
95,25196,[3],"",[]
96,25197,[4],"",[]
97,25198,"[3,4]",8326,[]
98,25199,"[3,4]",8326,[]
99,25200,"[3,4]",8326,[]
100,25201,"[3,4]",8326,[]
101,25202,"[3,4]",8326,[]
102,25203,"[3,4]",8326,[]
103,25204,"[3,4]",8326,[]
104,25205,"[3,4]",8326,[]
105,25206,"[3,4]",8326,[]
106,25207,"[3,4]",8326,[]
107,25208,"[3,4]",8326,[]
108,25209,[2],"",[4733]
109,25210,[3],"",[4733]
110,25211,[4],"",[4733]
111,25212,[3],"",[]
112,25213,[4],"",[]
113,25214,[2],"",[]
114,25215,[3],"",[]
115,25216,[4],"",[]
116,25217,[3],"",[]
117,25218,[4],"",[]
118,25219,[3],8327,[]
119,25220,[4],8327,[]
120,25221,[1],"",[]
121,25222,[2],"",[]
122,25223,[3],"",[]
123,25224,[4],"",[]
124,25225,[1],8421,[]
125,25226,[2],8421,[]
126,25227,[3],8421,[]
127,25228,[4],8421,[]
128,25229,[2],"",[]
129,25230,[3],"",[]
130,25231,[4],"",[]
131,25232,[1],8328,[]
132,25233,[2],8328,[]
133,25234,[3],8328,[]
134,25235,[4],8328,[]
135,25236,[1],8328,[]
136,25237,[2],8328,[]
137,25238,[3],8328,[]
138,25239,[4],8328,[]
139,25240,[1],8328,[]
140,25241,[2],8328,[]
141,25242,[3],8328,[]
142,25243,[4],8328,[]
143,25244,[1],8328,[]
144,25245,[2],8328,[]
145,25246,[3],8328,[]
146,25247,[4],8328,[]
147,25248,[1],8328,[]
148,25249,[2],8328,[]
149,25250,[3],8328,[]
150,25251,[4],8328,[]
151,25252,[2],8328,[]
152,25253,[3],8328,[]
153,25254,[4],8328,[]
154,25255,[2],8328,[]
155,25256,[3],8328,[]
156,25257,[4],8328,[]
157,25258,[2],"",[]
158,25259,[3],"",[]
159,25260,[4],"",[]
160,25261,[2],"",[]
161,25262,[3],"",[]
162,25263,[4],"",[]
163,25264,[2],"",[]
164,25265,[3],"",[]
165,25266,[4],"",[]
166,25267,[2],"",[]
167,25268,[3],"",[]
168,25269,[4],"",[]
169,25270,[2],"",[]
170,25271,[3],"",[]
171,25272,[4],"",[]
172,25273,[2],"",[]
173,25274,[3],"",[]
174,25275,[4],"",[]
175,25276,[2],"",[]
176,25277,[3],"",[]
177,25278,[4],"",[]
178,25279,[2],"",[]
179,25280,[3],"",[]
180,25281,[4],"",[]
181,25282,[2],"",[]
182,25283,[3],"",[]
183,25284,[4],"",[]
184,25285,[2],"",[]
185,25286,[3],"",[]
186,25287,[4],"",[]
187,25288,[2],"",[]
188,25289,[3],"",[]
189,25290,[4],"",[]
190,25291,[1],"",[]
191,25292,[2],"",[]
192,25293,[3],"",[]
193,25294,[4],"",[]
194,25295,[2],"",[]
195,25296,[3],"",[]
196,25297,[4],"",[]
197,25298,[2],"",[]
198,25299,[3],"",[]
199,25300,[4],"",[]
200,25301,[2],"",[]
201,25302,[3],"",[]
202,25303,[4],"",[]
203,25304,[2],"",[]
204,25305,[3],"",[]
205,25306,[4],"",[]
206,25307,[1],"",[]
207,25308,[2],"",[]
208,25309,[3],"",[]
209,25310,[4],"",[]
210,25311,[1],"","[125,4205,1523,52]"
211,25312,[2],"","[125,4205,1523,52]"
212,25313,[3],"","[125,4205,1523,52]"
213,25314,[4],"","[125,4205,1523,52]"
214,25315,[1],"","[4205,1523,52,125]"
215,25316,[2],"","[4205,1523,52,125]"
216,25317,[3],"","[4205,1523,52,125]"
217,25318,[4],"","[4205,1523,52,125]"
218,25319,[1],"","[4205,1523,52,125]"
219,25320,[2],"","[4205,1523,52,125]"
220,25321,[3],"","[4205,1523,52,125]"
221,25322,[4],"","[4205,1523,52,125]"
222,25323,[1],"","[125,4206,1522,50]"
223,25324,[2],"","[125,4206,1522,50]"
224,25325,[3],"","[125,4206,1522,50]"
225,25326,[4],"","[125,4206,1522,50]"
226,25327,[1],"","[4206,1522,50,125]"
227,25328,[2],"","[4206,1522,50,125]"
228,25329,[3],"","[4206,1522,50,125]"
229,25330,[4],"","[4206,1522,50,125]"
230,25331,[1],"","[4206,1522,50,125]"
231,25332,[2],"","[4206,1522,50,125]"
232,25333,[3],"","[4206,1522,50,125]"
