"rownum","rid","rid","i32"
0,16339,16339,3
1,16340,16340,3
2,16336,16336,0
3,16337,16337,0
4,16338,16338,0
5,16341,16341,0
6,16342,216,0
7,16344,6195,0
8,16347,216,1
9,16348,216,2
10,16349,216,3
11,16350,11828,1
12,16268,11828,2
13,16351,172,1
14,16352,172,2
15,16353,16095,1
16,16354,16095,2
17,16366,16263,3
18,16364,16364,1
19,16365,16365,3
20,16326,16326,4
21,16327,16327,4
22,16328,16328,4
23,16357,16357,0
24,16358,16357,1
25,16359,16357,3
26,16361,16360,1
27,16362,16360,2
28,16363,16363,3
29,16355,16355,0
30,16356,16355,3
31,16343,16343,0
32,16345,16343,2
33,16346,16343,3
34,16269,16269,4
35,16368,16389,1
36,16369,16369,0
37,16367,16367,3
38,16370,16390,3
39,16378,16378,3
40,16379,16379,2
41,16380,16380,1
42,16381,16381,2
43,16382,16382,2
44,16410,16357,2
45,16417,16417,4
46,16416,16416,4
