"rownum","string","rid","i32","string","string","rid","[rid]","i32"
0,"UpgradeRoom","",3,"[DNT] Upgrade Room","Art/2DArt/UIImages/InGame/Lake/LakeTileIconUpgradeRoom",3,[],65345
1,"DestroyReplaceTablet","",4,"Destroy Tablet","Art/2DArt/UIImages/InGame/Lake/LakeTileIconReroll",4,[],65348
2,"MoveEntrance","",1,"Swap Entrance with an Empty Tile","Art/2DArt/UIImages/InGame/Lake/LakeTileIconMoveEntrance",6,[8902],31427
3,"MoveBlockage","",2,"Swap Water Tile with an Empty Tile","Art/2DArt/UIImages/InGame/Lake/LakeTileIconMoveBlockage",6,[8901],45616
4,"SwapEncounters","",5,"Swap a Reflection with another Reflection","Art/2DArt/UIImages/InGame/Lake/LakeTileIconSwapEncounter",6,[8903],48327
5,"BlockageToEmpty","",6,"Change a Water Tile into an Empty Tile","Art/2DArt/UIImages/InGame/Lake/LakeTileIconWatertoEmpty",5,[9113],65086
6,"Breach1",3,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBreach",0,[],62572
7,"Breach2",4,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBreach",0,[],27117
8,"Breach3",5,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBreach",0,[],62935
9,"Delirium1",6,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelirium",2,[],22138
10,"Fire1_1",7,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",8,[],42468
11,"Fire1_2",8,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",8,[],42468
12,"Fire1_3",9,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",8,[],42468
13,"Fire1_4",10,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",8,[],42468
14,"Fire1_5",11,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",8,[],42468
15,"Fire1_6",12,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",8,[],42468
16,"Fire3_1",13,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",8,[],35395
17,"Fire3_2",14,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",8,[],1931
18,"Fire3_3",15,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",8,[],35950
19,"Fire4",16,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",8,[],60981
20,"Cold1_1",17,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",9,[],38110
21,"Cold1_2",18,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",9,[],38110
22,"Cold1_3",19,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",9,[],38110
23,"Cold1_4",20,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",9,[],38110
24,"Cold1_5",21,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",9,[],38110
25,"Cold1_6",22,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",9,[],38110
26,"Cold3_1",23,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",9,[],35395
27,"Cold3_2",24,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",9,[],1931
28,"Cold3_3",25,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",9,[],35950
29,"Cold4",26,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",9,[],60981
30,"Lightning1_1",27,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",10,[],2745
31,"Lightning1_2",28,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",10,[],2745
32,"Lightning1_3",29,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",10,[],2745
33,"Lightning1_4",30,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",10,[],2745
34,"Lightning1_5",31,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",10,[],2745
35,"Lightning1_6",32,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",10,[],2745
36,"Lightning3_1",33,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",10,[],35395
37,"Lightning3_2",34,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",10,[],1931
38,"Lightning3_3",35,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",10,[],35950
39,"Lightning4",36,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",10,[],60981
40,"Physical1_1",37,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",11,[],29096
41,"Physical1_2",38,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",11,[],29096
42,"Physical1_3",39,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",11,[],29096
43,"Physical1_4",40,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",11,[],29096
44,"Physical1_5",41,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",11,[],29096
45,"Physical1_6",42,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",11,[],29096
46,"Physical3_2",43,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",11,[],1931
47,"Physical3_3",44,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",11,[],35950
48,"Physical4",45,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",11,[],60981
49,"Chaos1_1",46,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",12,[],50834
50,"Chaos1_2",47,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",12,[],50834
51,"Chaos1_3",48,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",12,[],50834
52,"Chaos1_4",49,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",12,[],50834
53,"Chaos1_5",50,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",12,[],50834
54,"Chaos3_1",51,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",12,[],35395
55,"Chaos3_2",52,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",12,[],1931
56,"Chaos3_3",53,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",12,[],35950
57,"Chaos4",54,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",12,[],60981
58,"Strongbox1",55,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconStrongbox",13,[],48307
59,"Strongbox2",56,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconStrongbox",13,[],44399
60,"Strongbox3",57,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconStrongbox",13,[],46772
61,"Essence1",58,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconEssences",14,[],49862
62,"Essence2",59,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconEssences",14,[],10363
63,"Essence3",60,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconEssences",14,[],26813
64,"Harbinger1",61,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconHarbinger",15,[],37203
65,"Harbinger2",62,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconHarbinger",15,[],49488
66,"Harbinger3",63,0,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconHarbinger",15,[],7674
