"rownum","Id","rid","rid","rid","[rid]","bool","bool","[rid]","[rid]","i32","i32","i32","i32"
0,"IsNormalMonster",0,"","",[],"","",[],[],0,1,100,0
1,"IsMagicMonster",1,"","",[],"","",[],[],0,1,100,0
2,"IsRareMonster",2,"","",[],"","",[],[],0,1,100,0
3,"IsUniqueMonster",3,"","",[],"","",[],[],0,1,100,0
4,"IsMapBoss","","","",[],1,"",[],[],0,1,100,0
5,"IsNotUnique","","",3,[],"","",[],[],0,1,100,0
6,"IsBeyondMonster","",5735,"",[],"","",[],[],0,1,100,0
7,"IsInvasionBoss","",3534,"",[],"","",[],[],0,1,100,0
8,"IsTormentedSpirit","",5601,"",[],"","",[],[],0,1,100,0
9,"IsRogueExile","",8878,"",[],"","",[],[],0,1,100,0
10,"IsIzaro","",4140,"",[],"","",[],[],0,1,100,0
11,"IsNotIzaro","","","",[4140],"","",[],[],0,1,100,0
12,"IsSynthesisedMonster","","","",[],"","",[414],[],0,1,100,0
13,"IsNotConvertingPhysicalDamage","","","","[1105,1106,1107,1108]","","",[],[],0,1,100,0
14,"IsHarbinger","",9345,"",[],"","",[],[],0,1,100,0
15,"IsFirst3Possessed","",2620,"",[],"","",[],[],3,1,100,0
16,"IsCorruptedVaal","","","",[],"","",[441],[],0,1,100,0
17,"IsNotMapBoss","","","",[],"",1,[],[],0,1,100,0
18,"ShouldNotDropSplinters","",11667,"",[],"","",[],[],0,1,100,0
19,"IsWarband","",11668,"",[],"","",[],[],0,1,100,0
20,"IsElderPortal","",11669,"",[],"","",[],[],0,1,100,0
21,"IsMapBossUnderling","",11670,"",[],"","",[],[],0,1,100,0
22,"IsAfflictionWildBoss","",11671,"",[],"","",[],[],0,1,100,0
23,"IsTempleArchitect","",11704,"",[],"","",[],[],0,1,100,0
24,"IsNotTempleArchitect","","","",[11704],"","",[],[],0,1,100,0
25,"IsIncursionBoss","",11705,"",[],"","",[],[],0,1,100,0
26,"IsWarbandLeader","",11753,"",[],"","",[],[],0,1,100,0
27,"IsNotWarbandLeader","","","",[11753],"","",[],[],0,1,100,0
28,"IsBetrayalTarget","",11773,"",[],"","",[],[],0,1,100,0
29,"IsNotBetrayalTarget","","","",[11773],"","",[],[],0,1,100,0
30,"IsIncursionArchitect","",11774,"",[],"","",[],[],0,1,100,0
31,"IsNotIncursionArchitect","","","",[11774],"","",[],[],0,1,100,0
32,"IsBestiaryRedBeast","",11775,"",[],"","",[],[],0,1,100,0
33,"IsNotBestiaryRedBeast","","","",[11775],"","",[],[],0,1,100,0
34,"HeistGuard","","","",[],"","",[675],[],0,1,100,0
35,"IsNotRitualMonster","","","",[13407],"","",[],[],0,1,100,0
36,"IsShaperMonster","","","",[],"","",[685],[],0,1,100,0
37,"IsElderMonster","","","",[],"","",[686],[],0,1,100,0
38,"IsCrusaderMonster","","","",[],"","",[689],[],0,1,100,0
39,"IsEyrieMonster","","","",[],"","",[687],[],0,1,100,0
40,"IsBasiliskMonster","","","",[],"","",[688],[],0,1,100,0
41,"IsAdjudicatorMonster","","","",[],"","",[690],[],0,1,100,0
42,"IsBreachMonster","",5147,"",[],"","",[],[],0,1,100,0
43,"IsRitualRespawnedMapBoss","",7967,"",[],"","",[],[],0,1,100,0
44,"IsNotRitualRespawnedMapBoss","","","",[7967],"","",[],[],0,1,100,0
45,"IsAbyssMonster","","","",[],"","",[239],[],0,1,100,0
46,"IsEssenceMonster","",13749,"",[],"","",[],[],0,1,100,0
47,"IsInfluenceMonster","","","",[],"","",[695],[],0,1,100,0
48,"IsBlightBoss","","","",[],"","",[696],[],0,1,100,0
49,"Level4Plus","","","",[],"","",[],[],0,4,100,0
50,"IsBreachCommander","","","",[],"","",[199],[],0,1,100,0
51,"IsDelveBoss","","","",[],"","",[],[],0,1,100,11950100
52,"IsHellscapeMonster","","","",[],"","",[],[],0,1,100,-1520197555
53,"IsTangleInfluencedMonster","","","",[],"","",[],[],0,1,100,155062019
54,"IsCleansingFireInfluencedMonster","","","",[],"","",[],[],0,1,100,-1163185422
55,"Level1to45Monster","","","",[],"","",[],[],0,1,45,0
56,"Level46to67Monster","","","",[],"","",[],[],0,46,67,0
57,"Level68to72Monster","","","",[],"","",[],[],0,68,72,0
58,"Level73to77Monster","","","",[],"","",[],[],0,73,77,0
59,"Level78to84Monster","","","",[],"","",[],[],0,78,84,0
60,"Level81plusMonster","","","",[],"","",[],[],0,81,100,0
61,"Level85plusMonster","","","",[],"","",[],[],0,85,100,0
62,"IsBestiaryYellowBeast","",16835,"",[],"","",[],[],0,1,100,0
63,"IsIncursionMemoryLineMonster","",16843,"",[],"","",[],[],0,1,100,0
64,"IsMavenWitnessed","",17080,"",[],"","",[],[],0,1,100,0
65,"IsLastMapBoss","",17115,"",[],"","",[],[],0,1,100,0
66,"IsSanctumFloorBoss","",17379,"",[],"","",[],[],0,1,100,0
67,"IsSanctumGuard","",17398,"",[],"","",[],[],0,1,100,0
68,"IsSanctumBoss","",17466,"",[],"","",[],[],0,1,100,0
69,"IsBreachMonsterCold","","","",[],"","",[1042],[],0,1,100,0
70,"IsBreachMonsterFire","","","",[],"","",[1043],[],0,1,100,0
71,"IsBreachMonsterLightning","","","",[],"","",[1044],[],0,1,100,0
72,"IsBreachMonsterPhysical","","","",[],"","",[1045],[],0,1,100,0
73,"IsBreachMonsterChaos","","","",[],"","",[1046],[],0,1,100,0
74,"IsBlightMonster","",10340,"",[],"","",[],[],0,1,100,0
75,"IsAfflictionMonster","",11400,"",[],"","",[],[],0,1,100,0
76,"IsSanctumFinalBoss","",17656,"",[],"","",[],[],0,1,100,0
77,"IsCrucibleMonster","",18221,"",[],"","",[],[],0,1,100,0
78,"Level80OrBelowMonster","","","",[],"","",[],[],0,1,80,0
