"rownum","Id","Order","Width","Height","i32","i32","Name","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,40,2,"Flask",35,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Flask",35,""
1,"Amulet",2,1,1,108,1,"Amulet",77,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Amulet",77,""
2,"Ring",3,1,1,124,1,"Ring",92,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Ring",92,""
3,"Claw",4,2,2,44,2,"Claw",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Claw",20,""
4,"Dagger",5,1,3,25,3,"Dagger",21,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Dagger",21,""
5,"Wand",6,1,3,26,3,"Wand",22,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Wand",22,""
6,"Sword",7,2,3,132,3,"Sword",53,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Swords",54,""
7,"Axe",8,2,4,66,4,"Axe",27,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Axe",27,""
8,"Mace",9,2,4,114,4,"Mace",48,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maces",48,""
9,"Bow",10,2,4,70,4,"Bow",28,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Bow",28,""
10,"Staff",11,2,4,92,4,"Staff",35,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Staff",36,""
11,"Quiver",12,2,3,52,3,"Quiver",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Quiver",20,""
12,"Belt",13,2,1,132,1,"Belt",53,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Belt",53,""
13,"Gloves",14,2,2,178,2,"Gloves",80,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Gloves",80,""
14,"Boots",15,2,2,170,2,"Boots",70,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Boots",70,""
15,"Body Armour",16,2,3,202,3,"Body Armour",88,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Armour",88,""
16,"Helmet",17,2,2,244,2,"Helmet",99,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Helmet",100,""
17,"Shield",18,2,4,156,4,"Shield",66,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Shield",66,""
18,"Map",19,1,1,32,1,"Map",31,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Maps",31,""
19,"Jewel",20,1,1,186,1,"Jewel",106,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Jewels",105,""
20,"Watchstone",21,1,1,15,1,"Watchstone",15,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Watchstone",15,1
21,"HeistContract",22,1,1,6,1,"Contract",5,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/Filter Buttons/Contract",5,""
