"rownum","BaseType","Type","i32","i32","i32","Visual","i32","UseAchievement","bool"
0,10110,0,8,30,15,1769,5,8669,""
1,10111,0,10,30,25,1759,10,8670,""
2,10112,0,8,40,30,1757,16,8671,""
3,10113,0,8,40,50,1765,22,8672,""
4,10114,0,10,50,75,1758,28,8673,""
5,10115,0,8,50,85,1770,34,8674,""
6,10116,0,12,100,100,1760,40,8675,1
7,10117,0,18,60,100,1763,45,8676,1
8,10118,0,12,60,150,1764,50,8677,1
9,10119,1,8,10,30,1759,18,8678,""
10,10120,1,10,10,30,1757,20,8679,""
11,10121,1,8,10,50,1765,22,8680,""
12,10122,1,10,10,80,1758,24,8681,""
13,10123,1,8,10,100,1770,26,8682,""
14,10124,1,12,10,200,1760,20,8683,1
15,10125,1,18,10,120,1763,30,8684,1
16,10126,1,12,10,70,1764,35,8685,1
17,10127,2,12,20,2,1759,30,8686,""
18,10128,2,8,30,2,1773,35,8687,""
19,10129,2,8,50,3,1765,40,8688,""
20,10130,2,10,30,3,1758,45,8689,""
21,10131,2,8,40,4,1770,42,8690,""
22,10132,2,12,50,4,1760,45,8691,1
23,10133,2,18,30,4,1763,50,8692,1
24,10134,2,12,30,4,1764,55,8693,1
25,10135,2,5,20,1,1761,100,8694,""
