"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32","i32","OverrideWidth","OverrideHeight","ShowIfEmptyChallengeLeague","ShowIfEmptyStandard","RenamedVersion","BaseVersion","IsAlternateArt"
0,41,7045,7,0,0,0,0,1,1,"","",""
1,42,7046,6,0,0,1,3,1,1,"","",""
2,43,7047,1,0,0,0,0,1,1,"","",""
3,44,7048,2,0,0,0,0,1,1,"","",""
4,45,7049,2,1,0,0,0,1,1,"","",""
5,47,7050,2,2,0,0,0,1,1,"","",""
6,48,7051,9,0,0,0,0,1,1,"","",""
7,49,7052,1,1,0,0,0,"","","","",""
8,50,7053,15,0,0,0,0,1,1,"","",""
9,51,7054,4,0,0,0,0,1,1,"","",""
10,52,7055,9,2,0,0,0,1,1,"","",""
11,53,7056,6,2,0,2,3,1,1,"","",""
12,54,7057,16,0,0,0,0,1,1,"","",""
13,55,7058,16,2,0,0,0,1,1,"","",""
14,56,7059,9,4,0,0,0,1,1,"","",""
15,58,7061,8,0,0,0,0,1,1,"","",""
16,59,7062,8,2,0,0,0,1,1,"","",""
17,60,7064,6,4,0,0,0,1,1,"","",""
18,61,7065,6,6,0,0,0,1,1,"","",""
19,62,7066,2,3,0,0,0,1,1,"","",""
20,64,7068,2,4,0,0,0,1,1,"","",""
21,66,7070,11,0,0,0,0,"","","","",""
22,67,7071,1,2,0,0,0,1,1,"","",""
23,68,7072,1,3,0,0,0,1,1,"","",""
24,70,7074,1,4,0,0,0,1,1,"","",""
25,71,7075,15,2,0,0,0,1,1,"","",""
26,72,7076,15,4,0,0,0,1,1,"","",""
27,74,7078,16,4,0,0,0,1,1,"","",""
28,75,7079,16,6,0,0,0,1,1,"","",""
29,76,7080,16,8,0,0,0,1,1,"","",""
30,77,7081,16,10,0,0,0,1,1,"","",""
31,78,7082,16,12,0,0,0,1,1,"","",""
32,79,7083,16,14,0,0,0,1,1,"","",""
33,80,7084,16,16,0,0,0,"","","","",""
34,81,7085,16,18,0,0,0,1,1,"","",""
35,82,7086,16,20,0,0,0,1,1,"","",""
36,83,7087,1,5,0,0,0,1,1,"","",""
37,84,7088,14,0,0,0,0,1,1,"","",""
38,85,7089,4,1,0,0,0,1,1,"","",""
39,86,7090,14,2,0,0,0,1,1,"","",""
40,88,7092,14,4,0,0,0,1,1,"","",""
41,89,7093,14,6,0,0,0,1,1,"","",""
42,90,7094,14,8,0,0,0,1,1,"","",""
43,91,7095,14,10,0,0,0,1,1,"","",""
44,92,7096,14,12,0,0,0,1,1,"","",""
45,93,7097,13,0,0,0,0,1,1,"","",""
46,94,7098,13,2,0,0,0,1,1,"","",""
47,95,7099,13,4,0,0,0,1,1,"","",""
48,96,7100,13,6,0,0,0,1,1,"","",""
49,97,7101,13,8,0,0,0,1,1,"","",""
50,98,7102,13,10,0,0,0,1,1,"","",""
51,99,7103,13,12,0,0,0,1,1,"","",""
52,100,7104,13,14,0,0,0,1,1,"","",""
53,101,7632,1,6,0,0,0,1,1,"","",""
54,102,7633,1,7,0,0,0,1,1,"","",""
55,103,7634,12,0,0,0,0,1,1,"","",""
56,104,7635,12,2,0,0,0,1,1,"","",""
57,105,7636,12,4,0,0,0,1,1,"","",""
58,106,7637,12,6,0,0,0,1,1,"","",""
59,107,7638,17,0,0,0,0,1,1,"","",""
